shop_name,value
Bal/Kelb Armor,2.142857142857143
Bal/Kelb Weapon,2.2857142857142856
Carwen Armor,2.0
Carwen Inn,1.5
Carwen Magic,2.25
Carwen Weapon,2.625
Common World 1 Inn,1.75
Common World 2 Inn 1,2.5
Common World 2 Inn 2,2.3333333333333335
Common World 2 Magic 1,2.0
Common World 2 Magic 2,1.5
Common World 2 Magic 3,2.0
Crescent Armor,2.0
Crescent Weapon,1.6666666666666667
Dwarf Armor,2.0
Dwarf Magic,2.0
Dwarf Weapon,2.0
Istory Relic,1.6666666666666667
Jacole Armor,1.5
Jacole Weapon,2.125
Karnak Armor,2.0
Karnak Magic 1,2.5
Karnak Magic 2,1.875
Karnak Magic 3,2.1666666666666665
Karnak Weapon 1,2.0
Karnak Weapon 2,1.75
Kelb Armor,2.0
Kelb Weapon,2.25
Lix Armor,2.0
Lix Guild,1.5
Lix Inn,1.625
Lix Magic,1.8571428571428572
Mirage Armor,2.0
Mirage Guild,2.375
Mirage Inn 1,1.875
Mirage Inn 2,2.25
Mirage Magic 1,2.0
Mirage Magic 2,2.5
Mirage Relic,2.125
Mirage Weapon,2.3333333333333335
Mua Armor,2.5
Mua Magic 1,1.875
Mua Magic 2,2.375
Mua Magic 3,2.2857142857142856
Mua Weapon,2.3333333333333335
Rugor Armor,2.375
Rugor Weapon,2.5
Surgate Armor,2.0
Surgate Weapon,2.0
Tule Armor,2.3333333333333335
Tule Inn,1.8571428571428572
Tule Magic,1.875
Tule Weapon,2.0
Worus Armor,2.111111111111111
Worus Magic,1.6666666666666667
Worus Weapon,2.142857142857143
