check,value
12 Kuzar Events Assassin,4.0
12 Kuzar Events Earth Bell,4.0
12 Kuzar Events Flame Whip,4.0
12 Kuzar Events Masamune,2.0
12 Kuzar Events Sage's Staff,3.0
12 Kuzar Events Wizard Rod,4.0
"8 potions, Pirate after Torna Canal Key acquired Potion",1.0
AdamanTiMi New,4.0
Aegis Shield Chest Aegis Shield,2.0
Bahamut Bahmut,2.0
Bahamut New,4.0
Bal Castle Chest Angel Gwn,3.0
Barrier Tower Chest 18000,3.0
Barrier Tower Chest 9000,3.0
Barrier Tower Chest Drain Sword,4.0
Barrier Tower Chest Gold Hairpin,4.0
Beginner's House Chest Ether,3.0
Beginner's House Chest Leather Shoes,1.0
Beginner's House Chest Phoenix Down,3.0
Beginner's House Chest Tent,2.0
Black Choco Crystals Bard,2.0
Black Choco Crystals Hunter,3.0
Byblos New,4.0
Carwen Barrel Antidote,3.0
Carwen Box Ice Rod,2.0
Chancellor at Tycoon Healing Staff,2.0
Chim.Brain New,4.0
CornaJar at Kelb CornaJar,2.0
Earth Crystal Chemist,3.0
Earth Crystal Dancer,2.0
Earth Crystal Dragoon,2.0
Earth Crystal Samurai,1.0
Exdeath's Castle Chest 9900,2.0
Exdeath's Castle Chest DblLance,1.0
Exdeath's Castle Chest Diamond Shield,2.0
Exdeath's Castle Chest Ether,2.0
Exdeath's Castle Chest Gale Bow,3.0
Exdeath's Castle Chest Ice Shield,1.0
Exdeath's Castle Chest Kotetsu,5.0
Exdeath's Castle Chest Partisan,1.0
Exdeath's Castle Chest Pinwheel,4.0
Fire Crystal Geomancer,1.0
Fire Crystal Mediator,2.0
Flying Lonka Ruins Chest 5000,2.0
Flying Lonka Ruins Chest Ancient Sword,2.0
Flying Lonka Ruins Chest Elixir,2.0
Flying Lonka Ruins Chest Full Moon,2.0
Fork Tower L. Chest Wonder Wand,1.0
Fork Tower R. Chest Hi-Potion,2.0
Gilgamesh 1 New,4.0
Gilgamesh 2 New,4.0
Gilgamesh 3 & Enkidou New,4.0
Great Trench Chest DragonFang,3.0
Hero Song from Crescent Town Hero,2.0
Hiryuu Valley Chest 5000,3.0
Hiryuu Valley Chest Cabin,4.0
Hiryuu Valley Chest Phoenix Down,2.0
Hiryuu Valley Skull Bone Mail,1.0
HiryuuPlant New,4.0
Ifrit Ifrit,2.0
Ifrit New,4.0
Istory Falls Chest 12000,2.0
Istory Falls Chest Aegis Shield,3.0
