boss,key,seed
WingRaptor,Pyramid Page,599972
Karlabos,Big Bridge Key,599972
Siren,Canal Key,599972
Galura,Ifrit's Fire,599972
LiquiFlame,3rd Tablet,599972
Sergeant & DeathClaw,Bracelet,599972
Sol Cannon,Submarine Key,599972
ArchaeAvis,Anti Barrier,599972
Puroboros,2nd Tablet,599972
Abductor,1st Tablet,599972
Atmos,4th Tablet,599972
Guardians,Moogle Suit,599972
Carbunkle,Hiryuu Call,599972
Gilgamesh 4,Walse Tower Key,599972
Antlion,Adamantite,599972
Omniscient,Falls Page,599972
Leviathan,Trench Page,599972
GoGo,Shrine Page,599972
Shiva,Elder Branch,599972
Crayclaw,Sandworm Bait,599972
