boss,key,seed
WingRaptor,Hiryuu Call,904371
Karlabos,Walse Tower Key,904371
Siren,Pyramid Page,904371
Galura,Adamantite,904371
AdamanTiMi,1st Tablet,904371
Sol Cannon,Submarine Key,904371
Puroboros,3rd Tablet,904371
Gilgamesh 1,Ifrit's Fire,904371
Gilgamesh 2,Elder Branch,904371
Gilgamesh 3 & Enkidou,Big Bridge Key,904371
Atmos,Shrine Page,904371
Guardians,Falls Page,904371
Carbunkle,4th Tablet,904371
Gilgamesh 4,Moogle Suit,904371
"Triton, Neregeid & Phobos",Anti Barrier,904371
Minotauros,Trench Page,904371
Leviathan,Bracelet,904371
GoGo,2nd Tablet,904371
Ifrit,Canal Key,904371
Shiva,Sandworm Bait,904371
