shop_name,value
Bal/Kelb Armor,1.6666666666666667
Bal/Kelb Weapon,2.5
Carwen Armor,2.0
Carwen Inn,1.875
Carwen Magic,2.111111111111111
Carwen Weapon,1.8
Common World 1 Inn,2.142857142857143
Common World 2 Inn 1,2.125
Common World 2 Inn 2,1.5
Common World 2 Magic 1,2.0
Common World 2 Magic 2,1.6666666666666667
Common World 2 Magic 3,2.2
Crescent Armor,2.0
Crescent Weapon,1.875
Dwarf Armor,2.3333333333333335
Dwarf Magic,2.0
Dwarf Weapon,2.0
Istory Relic,2.0
Jacole Armor,2.142857142857143
Jacole Weapon,2.125
Karnak Armor,2.25
Karnak Magic 1,2.888888888888889
Karnak Magic 2,3.25
Karnak Magic 3,1.875
Karnak Weapon 1,2.125
Karnak Weapon 2,2.0
Kelb Armor,2.0
Kelb Weapon,2.142857142857143
Lix Armor,2.0
Lix Guild,2.2857142857142856
Lix Inn,2.25
Lix Magic,2.0
Mirage Armor,2.25
Mirage Guild,2.0
Mirage Inn 1,1.75
Mirage Inn 2,2.25
Mirage Magic 1,1.8571428571428572
Mirage Magic 2,1.6666666666666667
Mirage Relic,2.0
Mirage Weapon,2.0
Mua Armor,2.0
Mua Magic 1,2.0
Mua Magic 2,2.0
Mua Magic 3,2.0
Mua Weapon,1.5
Rugor Armor,2.125
Rugor Weapon,2.2857142857142856
Surgate Armor,2.0
Surgate Weapon,2.142857142857143
Tule Armor,1.5
Tule Inn,2.0
Tule Magic,3.3333333333333335
Tule Weapon,1.5714285714285714
Worus Armor,2.0
Worus Magic,2.0
Worus Weapon,2.3333333333333335
