check,value
12 Kuzar Events Assassin,1
12 Kuzar Events Earth Bell,2
12 Kuzar Events Excalibur,3
12 Kuzar Events Flame Whip,4
12 Kuzar Events Holy Lance,2
12 Kuzar Events Rune Axe,2
12 Kuzar Events Sasuke,2
12 Kuzar Events Yoichi Bow,2
"5 potions in Wind Shrine, bottom left guy Potion",3
"8 potions, Pirate after Torna Canal Key acquired Potion",1
Abductor New,4
Aegis Shield Chest Aegis Shield,3
Ancient Library Chest Ether,2
Antlion New,4
ArchaeAvis New,4
Bahamut Bahmut,1
Bahamut New,4
Bal Castle Chest Angel Gwn,3
Barrier Tower Chest 9000,4
Barrier Tower Chest Drain Sword,1
Barrier Tower Chest Gold Hairpin,3
Beginner's House Chest Ether,3
Beginner's House Chest Leather Shoes,1
Beginner's House Chest Phoenix Down,2
Beginner's House Chest Tent,3
Black Choco Crystals Hunter,1
Brave Blade Brave Blade,3
Byblos New,4
Carwen Barrel Antidote,1
Chicken Knife Chicken Knife,3
Chim.Brain New,4
CornaJar at Kelb CornaJar,2
Crayclaw New,4
Earth Crystal Dragoon,2
Earth Crystal Samurai,3
Exdeath's Castle Chest 8000,3
Exdeath's Castle Chest DblLance,3
Exdeath's Castle Chest Elixir,4
Exdeath's Castle Chest Gale Bow,2
Exdeath's Castle Chest Ice Shield,2
Exdeath's Castle Chest IceBrand,2
Fire Crystal Geomancer,2
Flying Lonka Ruins Chest Ancient Sword,2
Flying Lonka Ruins Chest Elixir,4
Flying Lonka Ruins Chest Full Moon,3
Flying Lonka Ruins Chest Phoenix Down,2
Flying Lonka Ruins Chest Shuriken,2
Fork Tower L. Chest Ether,1
"Fork Tower, two Magics Holy",2
Great Trench Chest DragonFang,4
Great Trench Chest Ether,4
Great Trench Chest Phoenix Down,4
Hero Song from Crescent Town Hero,3
Hiryuu Valley Chest 7000,2
Hiryuu Valley Chest Cabin,2
Hiryuu Valley Chest Phoenix Down,2
Hiryuu Valley Skull Bone Mail,1
HiryuuPlant New,4
Ifrit Ifrit,1
Istory Falls Chest Aegis Shield,4
Istory Falls Chest Air Lance,2
Istory Falls Chest Enhancer,3
Istory Falls Chest Ether,4
Istory Falls Chest Giant's Axe,2
Istory Falls Chest Phoenix Down,4
Istory Falls Chest Pinwheel,3
Istory Falls Chest RuneEdge,3
Istory Falls Chest TurtleShell,3
Karnak Castle Chest 2000,3
Karnak Castle Chest Elf Cape,3
Karnak Castle Chest Elixir,3
Karnak Castle Chest Guardian,3
Karnak Castle Chest Gungnir,3
Karnak Castle Chest Ribbon,3
Karnak Castle Chest Shuriken,3
Karnak Castle Chest Thunder Scroll,4
Karnak Town Barrel Fire Rod,2
Leviathan Esper Levia,4
Life (or Strength) Song from Crescent Town bard Vitality,4
LiquiFlame New,4
Lone Wolf Chest Thunder Whip,4
Love Song at Istory Love,3
Magic Song at Ancient Library Magic,2
Magisa & Forza New,4
Merugene New,4
Meteo Meteo,2
Mirage Vest from Chocobo Tour/Mirage Village Mirage Vest,1
Moat Item Epee,3
Moogle Cave Chest 4400,3
Moogle Village Chest Cabin,2
Moogle Village Chest Elf Cape,3
Moogle Village Chest Ether,2
Moogle Village Chest Phoenix Down,2
Mua Forest Chest 2500,2
Mua Forest Chest 4900,2
Mua Forest Chest Cabin,2
Mua Forest Chest Elixir,3
Mua Forest Chest Flametongue,1
Mua Forest Chest Giant Drink,4
Mua Forest Chest Morning Star,2
Mua Forest Chest Soot,3
Mua Town Barrel Guardian,3
Omniscient New,4
Phoenix Phenix,1
Phoenix Tower Pot 10000,1
Phoenix Tower Pot 15000,1
Phoenix Tower Pot 20000,1
Phoenix Tower Pot 25000,1
Phoenix Tower Pot 5000,1
Phoenix Tower Pot Avis Killer,1
Phoenix Tower Pot Phoenix Down,1
Pirate's Cave Chest 300,1
Pirate's Cave Chest Ether,1
Pirate's Cave Chest Leather Cap,1
Pirate's Cave Chest Tent,1
Pyramid Chest 10000,3
Pyramid Chest 12000,1
Pyramid Chest 8000,1
Pyramid Chest 9000,3
Pyramid Chest Black Robe,0
Pyramid Chest Cabin,1
Pyramid Chest Crystal Armor,2
Pyramid Chest Cursed Ring,2
Pyramid Chest DarkMatter,4
Pyramid Chest DarkSuit,3
Pyramid Chest Earth Hammer,4
Pyramid Chest Elixir,2
Pyramid Chest Flame Shield,2
Pyramid Chest Gold Hairpin,3
Pyramid Chest Guard Ring,3
Pyramid Chest Ice Shield,1
Pyramid Chest Thornlet,0
Pyramid Chest White Robe,3
Pyramid Top Pyramid Tablet,4
Requiem Song at Kelb Requiem,1
Ribbon from girl in Rugor Ribbon,3
Rift (Castle) Chest Running Shoes,1
Rift (Cave) Chest Coral Ring,2
Rift (Forest) Chest DragonFang,2
Rift (Forest) Chest Enhancer,3
Rift (Forest) Chest Lillith Rod,4
Rift (Forest) Chest Ribbon,2
Rift (Ruins) Chest DarkMatter,3
Rift (Ruins) Chest Drain Sword,3
Ruined City Chest Size,2
Sandworm New,4
Sergeant & DeathClaw New,4
Ship Graveyard Chest Flail,2
Ship Graveyard Chest Potion,2
Shop Backdoor Lamia Harp,2
Solitary Island Chest 9000,3
Solitary Island Chest BeastKiller,4
Solitary Island Chest DragonFang,3
Solitary Island Chest Elixir,1
Solitary Island Chest Ether,3
Solitary Island Chest Guard Ring,3
Solitary Island Chest Hi-Potion,3
Solitary Island Chest Protect Drink,2
Solitary Island Chest RisingSun,3
Stalker New,4
Steamship Chest Mythril Glove,4
Surgate Castle Chest Float,4
Syldra Syldra,1
Temptation Song at Lix Charm,4
The Void Chest Pinwheel,3
The Void Chest Ragnarok,3
Titan New,4
Tule Barrel 150,3
Tule Box Leather Shoes,3
Tule Box Tent,1
Tule Bush Phoenix Down,1
Tycoon Castle Barrel Elixir,2
Tycoon Castle Barrel Phoenix Down,4
Tycoon Castle Cabin Cabin,1
Tycoon Castle Pot Hi-Potion,2
Tycoon Castle Pot Maiden's Kiss,3
Tyrasaurus New,4
Walse Castle Barrel Tent,0
Walse Castle Box 490,2
Walse Castle Chest Elf Cape,1
Walse Castle Pot 1000,3
Walse Tower Chest Ether,2
Walse Tower Chest GoGo,3
Walse Tower Chest Silver Armlet,4
Walse Town Pot Glasses,2
Water Crystal Berserker,3
Water Crystal Summoner,4
Wind Crystal BlackMage,2
Wind Crystal BlueMage,1
Wind Crystal Knight,2
Wind Crystal Thief,2
Wind Crystal WhiteMage,3
Wind Shrine Chest Broadsword,3
Wind Shrine Chest Staff,3
Wind Shrine Chest Tent,3
