check,reward,mib,reward_value,seed
Wind Crystal Knight,Iron Armor,,250.0,904371
Wind Crystal BlueMage,Bronze Helm,,125.0,904371
Wind Crystal BlackMage,Drink,,0.0,904371
Wind Crystal WhiteMage,Wind Spear,,2700.0,904371
Wind Crystal Monk,Cure White Magic Progressive,,0.0,904371
Wind Crystal Thief,Medicine,,0.0,904371
Fire Crystal Mediator,Power->Vitality Song,,0.0,904371
Fire Crystal Geomancer,Ancient Sword,,2100.0,904371
Fire Crystal Ninja,Antdt->Image->Heal,,0.0,904371
Black Choco Crystals Bard,Fire Black Magic Progressive,,0.0,904371
Black Choco Crystals Hunter,Ether,,750.0,904371
Earth Crystal Samurai,Lamia's Tiara,,1250.0,904371
Earth Crystal Dragoon,Training Suit,,225.0,904371
Earth Crystal Chemist,Ice Sword Magic Progressive,,0.0,904371
Earth Crystal Dancer,Mute->Size->Bersk,,0.0,904371
Leviathan Esper Levia,Coral Ring,,25000.0,904371
Titan Titan,Regen->Float->Reset->Xzone,,0.0,904371
Carbuncle Crbnkl,Sleep->Psych->Doom,,0.0,904371
Syldra Syldra,Mythril Staff,,250.0,904371
Odin Odin,Fire Black Magic Progressive,,0.0,904371
Phoenix Phenix,Bandana,,1750.0,904371
Bahamut Bahmut,Kick,,0.0,904371
Life (or Strength) Song from Crescent Town bard Vitality,Judgement Staff,,15000.0,904371
Temptation Song at Lix Charm,Aegis Shield,,2250.0,904371
Love Song at Istory Love,Ice Shield,,20000.0,904371
Requiem Song at Kelb Requiem,Bronze Shield,,145.0,904371
Speed Song at Surgate Speed,Scan->Charm->Holy,,0.0,904371
Magic Song at Ancient Library Magic,Smoke,,0.0,904371
Power Song from Crescent Town Power,Magic->Love@Song,,0.0,904371
Hero Song from Crescent Town Hero,Black Robe,,4000.0,904371
"Fork Tower, two Magics Holy",Air Blade,,50.0,904371
"Fork Tower, two Magics Flare",Shiva->Ramuh->Ifrit->Bahmut,,0.0,904371
Meteo Meteo,Iron Armor,,250.0,904371
"5 potions in Wind Shrine, bottom left guy Potion",Wall Ring,,10000.0,904371
"8 potions, Pirate after Torna Canal Key acquired Potion",Antidote,,15.0,904371
Chancellor at Tycoon Healing Staff,Bolt Black Magic Progressive,,0.0,904371
Magisa & Forza Mythril Helm,TimeMage Job Crystal,,0.0,904371
CornaJar at Kelb CornaJar,Mantra,,0.0,904371
Ribbon from girl in Rugor Ribbon,Golden Shield,,1500.0,904371
Mirage Vest from Chocobo Tour/Mirage Village Mirage Vest,Plumed Hat,,175.0,904371
12 Kuzar Events Assassin,RegalCut,,240.0,904371
12 Kuzar Events Apollo's Harp,????->Fusion->Exploder->DrkShock,,0.0,904371
12 Kuzar Events Excalibur,Circlet,,2250.0,904371
12 Kuzar Events Flame Whip,Dragon's Whisker,,2200.0,904371
12 Kuzar Events Earth Bell,Giant Drink,,55.0,904371
12 Kuzar Events Holy Lance,Agility,,,904371
12 Kuzar Events Masamune,Red1->Red2->Red3->X-Magic,,0.0,904371
12 Kuzar Events Wizard Rod,Red1->Red2->Red3->X-Magic,,0.0,904371
12 Kuzar Events Rune Axe,Barrier,,0.0,904371
12 Kuzar Events Sage's Staff,Dimen Ability Progressive,,0.0,904371
12 Kuzar Events Sasuke,Ice Bow,,1250.0,904371
12 Kuzar Events Yoichi Bow,GilToss,,0.0,904371
Shiva Shiva,Regen->Float->Reset->Xzone,,0.0,904371
Ifrit Ifrit,Water Scroll,,100.0,904371
Water Crystal Samurai,White Ability Progressive,,0.0,904371
Water Crystal Berserker,Flame Whip,,10000.0,904371
Water Crystal MysticKnight,MgcSword Ability Progressive,,0.0,904371
Water Crystal TimeMage,Ice Sword Magic Progressive,,0.0,904371
Water Crystal Summoner,Angel Ring,,25000.0,904371
Brave Blade Brave Blade,Brave Blade,,15000.0,904371
Chicken Knife Chicken Knife,Chicken Knife,,12500.0,904371
Tycoon Castle Cabin Cabin,Cabin,,300.0,904371
Walse Tower Chest GoGo,ManEater,,12500.0,904371
Pyramid Top Pyramid Tablet,Mirage Vest,,5000.0,904371
Toad Event Toad,Summon Ability Progressive,,0.0,904371
