boss,key,seed
Karlabos,Elder Branch,8540028
Magisa & Forza,Submarine Key,8540028
LiquiFlame,Falls Page,8540028
Sergeant & DeathClaw,Canal Key,8540028
Sandworm,Moogle Suit,8540028
AdamanTiMi,Anti Barrier,8540028
ArchaeAvis,3rd Tablet,8540028
Chim.Brain,Walse Tower Key,8540028
Gilgamesh 1,Bracelet,8540028
Gilgamesh 2,Adamantite,8540028
Tyrasaurus,Sandworm Bait,8540028
Carbunkle,Ifrit's Fire,8540028
Merugene,2nd Tablet,8540028
Odin,4th Tablet,8540028
"Triton, Neregeid & Phobos",Steamship Key,8540028
Minotauros,Hiryuu Call,8540028
Leviathan,Pyramid Page,8540028
GoGo,Shrine Page,8540028
Ifrit,1st Tablet,8540028
Shiva,Big Bridge Key,8540028
