check,value
12 Kuzar Events Assassin,2.0
12 Kuzar Events Excalibur,3.0
12 Kuzar Events Holy Lance,1.0
12 Kuzar Events Sage's Staff,4.0
12 Kuzar Events Sasuke,4.0
12 Kuzar Events Wizard Rod,3.0
12 Kuzar Events Yoichi Bow,3.0
"5 potions in Wind Shrine, bottom left guy Potion",2.0
"8 potions, Pirate after Torna Canal Key acquired Potion",1.0
Abductor New,4.0
Aegis Shield Chest Aegis Shield,3.0
Ancient Library Chest Stealth Suit,2.0
Antlion New,4.0
Atmos New,4.0
Bahamut New,4.0
Bal Castle Chest Angel Gwn,3.0
Barrier Tower Chest 9000,3.0
Barrier Tower Chest Drain Sword,1.0
Barrier Tower Chest Gold Hairpin,3.0
Beginner's House Chest Ether,4.0
Beginner's House Chest Leather Shoes,2.0
Beginner's House Chest Phoenix Down,2.0
Beginner's House Chest Tent,4.0
Brave Blade Brave Blade,3.0
Byblos New,4.0
Carwen Barrel Antidote,3.0
Carwen Box Ice Rod,2.0
Carwen Pot 1000,2.0
Chancellor at Tycoon Healing Staff,3.0
Chicken Knife Chicken Knife,3.0
Crayclaw New,4.0
Earth Crystal Chemist,3.0
Earth Crystal Dancer,2.0
Earth Crystal Dragoon,4.0
Exdeath's Castle Chest 8000,3.0
Exdeath's Castle Chest 9900,3.0
Exdeath's Castle Chest DblLance,1.0
Exdeath's Castle Chest Gale Bow,4.0
Exdeath's Castle Chest IceBrand,2.0
Exdeath's Castle Chest Kotetsu,2.0
Exdeath's Castle Chest Pinwheel,3.0
Fire Crystal Mediator,2.0
Flying Lonka Ruins Chest 5000,2.0
Flying Lonka Ruins Chest Cabin,3.0
Flying Lonka Ruins Chest Golden Armor,2.0
Flying Lonka Ruins Chest Hi-Potion,1.0
Flying Lonka Ruins Chest Phoenix Down,3.0
Flying Lonka Ruins Chest Power Wrist,2.0
Fork Tower L. Chest Ether,2.0
Fork Tower L. Chest Wonder Wand,1.0
"Fork Tower, two Magics Flare",3.0
"Fork Tower, two Magics Holy",4.0
