check,reward,mib,seed
Wind Crystal Knight,White Robe,,8540028
Wind Crystal BlueMage,Cure White Magic Progressive,,8540028
Wind Crystal BlackMage,Chain Whip,,8540028
Wind Crystal WhiteMage,Fire Sword Magic Progressive,,8540028
Wind Crystal Monk,OmegaMedl,,8540028
Wind Crystal Thief,Red1->Red2->Red3->X-Magic,,8540028
Fire Crystal Mediator,Protect Drink,,8540028
Fire Crystal Geomancer,Regen->Float->Reset->Xzone,,8540028
Fire Crystal Ninja,Vampire->MindBlst->WhiteWind,,8540028
Black Choco Crystals Bard,White Ability Progressive,,8540028
Black Choco Crystals Hunter,FrogSong->TinySong->MoonFlut,,8540028
Earth Crystal Samurai,Aero Blue Magic Progressive,,8540028
Earth Crystal Dragoon,Diamond Shield,,8540028
Earth Crystal Chemist,Kodachi,,8540028
Earth Crystal Dancer,DragonFang,,8540028
Leviathan Esper Levia,Power Staff,,8540028
Titan Titan,Mirage Vest,,8540028
Carbuncle Crbnkl,Ice Sword Magic Progressive,,8540028
Syldra Syldra,Javelin,,8540028
Odin Odin,Bolt Sword Magic Progressive,,8540028
Phoenix Phenix,Thunder Scroll,,8540028
Bahamut Bahmut,Bard Job Crystal,,8540028
Life (or Strength) Song from Crescent Town bard Vitality,Air Blade,,8540028
Temptation Song at Lix Charm,Observe,,8540028
Love Song at Istory Love,Red Shoes,,8540028
Requiem Song at Kelb Requiem,DoomCut,,8540028
Speed Song at Surgate Speed,Sleep->Psych->Doom,,8540028
Magic Song at Ancient Library Magic,Condemn->Roulette->AquaRake,,8540028
Power Song from Crescent Town Power,Mythril Hammer,,8540028
Hero Song from Crescent Town Hero,Mute->Psych->Holy Sword,,8540028
"Fork Tower, two Magics Holy",Yoichi Bow,,8540028
"Fork Tower, two Magics Flare",Ice Shield,,8540028
Meteo Meteo,Gaia Gear,,8540028
"5 potions in Wind Shrine, bottom left guy Potion",Air Blade,,8540028
"8 potions, Pirate after Torna Canal Key acquired Potion",Soft,,8540028
Chancellor at Tycoon Healing Staff,Pinwheel,,8540028
Magisa & Forza Mythril Helm,Antdt->Image->Heal,,8540028
CornaJar at Kelb CornaJar,Void->Demi->Qrter->Old,,8540028
Ribbon from girl in Rugor Ribbon,Enhancer,,8540028
Mirage Vest from Chocobo Tour/Mirage Village Mirage Vest,Epee Sword,,8540028
12 Kuzar Events Assassin,Agility,,8540028
12 Kuzar Events Apollo's Harp,BlueMage Job Crystal,,8540028
12 Kuzar Events Excalibur,Giant's Axe,,8540028
12 Kuzar Events Flame Whip,Cure White Magic Progressive,,8540028
12 Kuzar Events Earth Bell,Shiva->Ramuh->Ifrit->Bahmut,,8540028
12 Kuzar Events Holy Lance,Antidote,,8540028
12 Kuzar Events Masamune,Flash->Time Slip->DethClaw,,8540028
12 Kuzar Events Wizard Rod,Pinwheel,,8540028
12 Kuzar Events Rune Axe,Flash->Time Slip->DethClaw,,8540028
12 Kuzar Events Sage's Staff,Tinkerbell,,8540028
12 Kuzar Events Sasuke,Crystal Shield,,8540028
12 Kuzar Events Yoichi Bow,Shuriken,,8540028
Shiva Shiva,Shoat,,8540028
Ifrit Ifrit,Equip Bows,,8540028
Water Crystal Samurai,HP +X%,,8540028
Water Crystal Berserker,Thunder Scroll,,8540028
Water Crystal MysticKnight,Life->Life2,,8540028
Water Crystal TimeMage,Jump,,8540028
Water Crystal Summoner,Coral Ring,,8540028
Brave Blade Brave Blade,Brave Blade,,8540028
Chicken Knife Chicken Knife,Chicken Knife,,8540028
Tycoon Castle Cabin Cabin,White Robe,,8540028
Walse Tower Chest GoGo,Soot,,8540028
Pyramid Top Pyramid Tablet,Ice Black Magic Progressive,,8540028
Toad Event Toad,White Ability Progressive,,8540028
Aegis Shield Chest Aegis Shield,Wind Spear,,8540028
Lone Wolf Barrel Cabin,Angel Gwn,,8540028
Lone Wolf Chest Thunder Whip,Thunder Whip,,8540028
Moat Item Epee,Eyedrop,,8540028
Shop Backdoor Lamia Harp,WhiteMage Job Crystal,,8540028
Top of the Falls Magic Lamp,Charm->Hero@Song,,8540028
Wind Shrine Chest Broadsword,9000 gil,,8540028
Beginner's House Chest Ether,DarkSuit,MIB,8540028
Beginner's House Chest 100,5000 gil,,8540028
Beginner's House Chest Potion,GbnPnch->Emision->Missle->Blwfsh,,8540028
Beginner's House Chest Phoenix Down,Dancing Dagger,,8540028
Beginner's House Chest Tent,Avis Killer,,8540028
Beginner's House Chest Leather Shoes,Spear,,8540028
Pirate's Cave Chest Leather Cap,Javelin,,8540028
Pirate's Cave Chest Tent,Giyaman,,8540028
Pirate's Cave Chest Ether,Bronze Helm,,8540028
Pirate's Cave Chest 300,Giyaman,,8540028
Wind Shrine Chest Tent,Rune Axe,,8540028
