check,value
12 Kuzar Events Assassin,3
12 Kuzar Events Flame Whip,4
12 Kuzar Events Masamune,3
12 Kuzar Events Rune Axe,3
12 Kuzar Events Sage's Staff,1
12 Kuzar Events Wizard Rod,2
12 Kuzar Events Yoichi Bow,2
"8 potions, Pirate after Torna Canal Key acquired Potion",1
Aegis Shield Chest Aegis Shield,2
Ancient Library Chest Phoenix Down,4
ArchaeAvis New,4
Bal Castle Chest Angel Gwn,3
Bal Castle Chest Exit,3
Bal Castle Chest Hero Drink,2
Barrier Tower Chest 18000,2
Barrier Tower Chest 9000,3
Barrier Tower Chest Drain Sword,3
Barrier Tower Chest Gold Hairpin,4
Beginner's House Chest Leather Shoes,3
Beginner's House Chest Phoenix Down,2
Brave Blade Brave Blade,2
Byblos New,4
Carbunkle New,4
Chancellor at Tycoon Healing Staff,2
CornaJar at Kelb CornaJar,1
Earth Crystal Chemist,4
Earth Crystal Dancer,2
Earth Crystal Dragoon,3
Exdeath's Castle Chest 8000,3
Exdeath's Castle Chest 9900,3
Exdeath's Castle Chest DblLance,4
Exdeath's Castle Chest Diamond Shield,4
Exdeath's Castle Chest Elixir,2
Exdeath's Castle Chest Gale Bow,2
Exdeath's Castle Chest Partisan,1
Fire Crystal Geomancer,2
Fire Crystal Mediator,3
Flying Lonka Ruins Chest 5000,4
Flying Lonka Ruins Chest Ancient Sword,2
Flying Lonka Ruins Chest Cabin,2
Flying Lonka Ruins Chest Ether,3
Flying Lonka Ruins Chest Golden Shield,2
Flying Lonka Ruins Chest Phoenix Down,2
Flying Lonka Ruins Chest Shuriken,3
Fork Tower L. Chest Ether,3
Fork Tower R. Chest Hi-Potion,4
"Fork Tower, two Magics Flare",4
Galura New,4
Gilgamesh 2 New,4
Gilgamesh 3 & Enkidou New,4
Gilgamesh 4 New,4
GoGo New,4
Great Trench Chest Kaiser Knuckles,3
Great Trench Chest Phoenix Down,2
Great Trench Chest Water Scroll,3
Hiryuu Valley Chest 5000,2
Hiryuu Valley Chest Phoenix Down,0
Hiryuu Valley Skull Bone Mail,3
Ifrit Ifrit,2
Istory Falls Chest 12000,1
Istory Falls Chest Air Lance,3
Istory Falls Chest Artemis Bow,3
Istory Falls Chest Ether,1
Istory Falls Chest Giant Drink,2
Istory Falls Chest Giant's Axe,5
Istory Falls Chest Guard Ring,3
Istory Falls Chest Phoenix Down,2
Istory Falls Chest RuneEdge,4
Istory Falls Chest TurtleShell,5
Karnak Castle Chest 2000,1
Karnak Castle Chest Elf Cape,2
Karnak Castle Chest Elixir,2
Karnak Castle Chest Guardian,3
Karnak Castle Chest Gungnir,3
Karnak Castle Chest Ribbon,2
Karnak Castle Chest Shuriken,3
Karnak Castle Chest Thunder Scroll,2
Leviathan Esper Levia,3
Leviathan New,4
Life (or Strength) Song from Crescent Town bard Vitality,3
