check,reward,mib,reward_value,seed
Wind Crystal Knight,Iron Helm,,175.0,2231696
Wind Crystal BlueMage,BuildUp,,0.0,2231696
Wind Crystal BlackMage,Red1->Red2->Red3->X-Magic,,0.0,2231696
Wind Crystal WhiteMage,Power Drink,,55.0,2231696
Wind Crystal Monk,Darkness Bow,,1900.0,2231696
Wind Crystal Thief,Haste->Exit->Hast2->Quick,,0.0,2231696
Fire Crystal Mediator,Golden Shield,,1500.0,2231696
Fire Crystal Geomancer,Morning Star,,3900.0,2231696
Fire Crystal Ninja,Charm->Hero@Song,,0.0,2231696
Black Choco Crystals Bard,Charm->Hero@Song,,0.0,2231696
Black Choco Crystals Hunter,White Ability Progressive,,0.0,2231696
Earth Crystal Samurai,TimeMage Job Crystal,,0.0,2231696
Earth Crystal Dragoon,IceBrand,,5500.0,2231696
Earth Crystal Chemist,Avis Killer,,10000.0,2231696
Earth Crystal Dancer,Dream Harp,,800.0,2231696
Leviathan Esper Levia,Angel Gwn,,1500.0,2231696
Titan Titan,Mirage Vest,,5000.0,2231696
Carbuncle Crbnkl,Condemn->Roulette->AquaRake,,0.0,2231696
Syldra Syldra,Cabin,,300.0,2231696
Odin Odin,Dancing Dagger,,2900.0,2231696
Phoenix Phenix,Maiden's Kiss,,30.0,2231696
Bahamut Bahmut,Shiva->Ramuh->Ifrit->Bahmut,,0.0,2231696
Life (or Strength) Song from Crescent Town bard Vitality,Angel Gwn,,1500.0,2231696
Temptation Song at Lix Charm,Cursed Ring,,2500.0,2231696
Love Song at Istory Love,Drain Sword,,8000.0,2231696
Requiem Song at Kelb Requiem,Earth Hammer,,6400.0,2231696
Speed Song at Surgate Speed,Leather Cap,,25.0,2231696
Magic Song at Ancient Library Magic,TurtleShell,,75.0,2231696
Power Song from Crescent Town Power,Sylph->Crbnkl->Phenix->Syldra,,0.0,2231696
Hero Song from Crescent Town Hero,White Ability Progressive,,0.0,2231696
"Fork Tower, two Magics Holy",Flash->Time Slip->DethClaw,,0.0,2231696
"Fork Tower, two Magics Flare",DblLance,,5400.0,2231696
Meteo Meteo,Cure White Magic Progressive,,0.0,2231696
"5 potions in Wind Shrine, bottom left guy Potion",Armor->Shell->Wall->Dispel,,0.0,2231696
"8 potions, Pirate after Torna Canal Key acquired Potion",Ether,,750.0,2231696
Chancellor at Tycoon Healing Staff,Equip Spears,,0.0,2231696
Magisa & Forza Mythril Helm,Condemn->Roulette->AquaRake,,0.0,2231696
CornaJar at Kelb CornaJar,Chain Whip,,1650.0,2231696
Ribbon from girl in Rugor Ribbon,Wonder Wand,,5000.0,2231696
Mirage Vest from Chocobo Tour/Mirage Village Mirage Vest,Void->Demi->Qrter->Old,,0.0,2231696
12 Kuzar Events Assassin,Orialcon,,1700.0,2231696
12 Kuzar Events Apollo's Harp,Regen->Float->Reset->Xzone,,0.0,2231696
12 Kuzar Events Excalibur,Venom->Drain->Break,,0.0,2231696
12 Kuzar Events Flame Whip,Thor Hammer,,15000.0,2231696
12 Kuzar Events Earth Bell,Dimen Ability Progressive,,0.0,2231696
12 Kuzar Events Holy Lance,Chocob->Titan->Golem->Odin,,0.0,2231696
12 Kuzar Events Masamune,Elven Bow,,3750.0,2231696
12 Kuzar Events Wizard Rod,Katana,,2900.0,2231696
12 Kuzar Events Rune Axe,IceBrand,,5500.0,2231696
12 Kuzar Events Sage's Staff,Steal,,0.0,2231696
12 Kuzar Events Sasuke,Haste->Exit->Hast2->Quick,,0.0,2231696
