boss,key,seed
Karlabos,Sandworm Bait,2231696
Siren,Trench Page,2231696
Sandworm,Anti Barrier,2231696
AdamanTiMi,3rd Tablet,2231696
Chim.Brain,Canal Key,2231696
Puroboros,Falls Page,2231696
Titan,Ifrit's Fire,2231696
Gilgamesh 1,Pyramid Page,2231696
Tyrasaurus,Moogle Suit,2231696
Abductor,Steamship Key,2231696
HiryuuPlant,4th Tablet,2231696
Atmos,Big Bridge Key,2231696
Guardians,Shrine Page,2231696
Antlion,2nd Tablet,2231696
Merugene,1st Tablet,2231696
Odin,Walse Tower Key,2231696
"Triton, Neregeid & Phobos",Bracelet,2231696
Minotauros,Hiryuu Call,2231696
Bahamut,Elder Branch,2231696
Crayclaw,Adamantite,2231696
