shop_name,value
Bal/Kelb Armor,2.142857142857143
Bal/Kelb Weapon,2.142857142857143
Carwen Armor,1.75
Carwen Inn,2.0
Carwen Magic,2.0
Carwen Weapon,2.0
Common World 1 Inn,1.6666666666666667
Common World 2 Inn 1,2.0
Common World 2 Inn 2,2.625
Common World 2 Magic 1,2.1666666666666665
Common World 2 Magic 2,1.0
Common World 2 Magic 3,1.25
Crescent Armor,1.0
Crescent Weapon,2.0
Dwarf Armor,2.142857142857143
Dwarf Magic,2.2857142857142856
Dwarf Weapon,1.75
Istory Relic,2.0
Jacole Armor,2.4
Jacole Weapon,2.2857142857142856
Karnak Armor,2.1666666666666665
Karnak Magic 1,2.125
Karnak Magic 2,2.5
Karnak Magic 3,1.5
Karnak Weapon 1,2.2857142857142856
Karnak Weapon 2,2.25
Kelb Armor,2.0
Kelb Weapon,2.0
Lix Guild,1.4285714285714286
Lix Inn,2.25
Lix Magic,2.2
Mirage Armor,1.75
Mirage Guild,2.2857142857142856
Mirage Inn 1,1.6666666666666667
Mirage Inn 2,1.5
Mirage Magic 1,2.125
Mirage Magic 2,2.5
Mirage Relic,2.5
Mirage Weapon,2.5
Mua Armor,2.0
Mua Magic 1,2.0
Mua Magic 2,2.2857142857142856
Mua Magic 3,2.5
Mua Weapon,1.8333333333333333
Rugor Armor,2.0
Rugor Weapon,1.875
Surgate Armor,2.2857142857142856
Surgate Weapon,1.75
Tule Armor,2.6
Tule Inn,1.75
Tule Magic,1.6666666666666667
Tule Weapon,2.25
Worus Armor,2.142857142857143
Worus Magic,2.0
Worus Weapon,2.3333333333333335
