check,value
12 Kuzar Events Apollo's Harp,2.0
12 Kuzar Events Earth Bell,1.0
12 Kuzar Events Flame Whip,2.0
12 Kuzar Events Holy Lance,5.0
12 Kuzar Events Rune Axe,2.0
12 Kuzar Events Sage's Staff,3.0
12 Kuzar Events Sasuke,2.0
12 Kuzar Events Yoichi Bow,3.0
"8 potions, Pirate after Torna Canal Key acquired Potion",1.0
Aegis Shield Chest Aegis Shield,4.0
Ancient Library Chest Ether,3.0
Ancient Library Chest Stealth Suit,1.0
Antlion New,4.0
Bahamut Bahmut,2.0
Bal Castle Chest Exit,2.0
Barrier Tower Chest 18000,4.0
Barrier Tower Chest 9000,1.0
Barrier Tower Chest Drain Sword,3.0
Barrier Tower Chest Gold Hairpin,4.0
Beginner's House Chest Ether,1.0
Beginner's House Chest Potion,1.0
Beginner's House Chest Tent,3.0
Black Choco Crystals Bard,3.0
Black Choco Crystals Hunter,3.0
Brave Blade Brave Blade,2.0
Byblos New,4.0
Carbuncle Crbnkl,3.0
Carwen Barrel Antidote,1.0
Carwen Box Ice Rod,3.0
Chancellor at Tycoon Healing Staff,3.0
Chicken Knife Chicken Knife,2.0
Chim.Brain New,4.0
CornaJar at Kelb CornaJar,4.0
Crayclaw New,4.0
Exdeath's Castle Chest DblLance,2.0
Exdeath's Castle Chest Diamond Shield,4.0
Exdeath's Castle Chest Ether,4.0
Exdeath's Castle Chest Gale Bow,4.0
Exdeath's Castle Chest Ice Shield,2.0
Exdeath's Castle Chest IceBrand,2.0
Exdeath's Castle Chest Partisan,3.0
Exdeath's Castle Chest Pinwheel,1.0
Fire Crystal Geomancer,2.0
Fire Crystal Ninja,2.5
Flying Lonka Ruins Chest Ether,4.0
Flying Lonka Ruins Chest Full Moon,2.0
Flying Lonka Ruins Chest Hi-Potion,2.0
Flying Lonka Ruins Chest Phoenix Down,2.0
Flying Lonka Ruins Chest Shuriken,2.0
Fork Tower L. Chest Wonder Wand,2.0
Fork Tower R. Chest Defender Sword,2.0
Galura New,4.0
Gilgamesh 3 & Enkidou New,4.0
GoGo New,4.0
Great Trench Chest DragonFang,1.0
Great Trench Chest Flame Ring,2.0
Great Trench Chest Kaiser Knuckles,4.0
Hiryuu Valley Chest 5000,1.0
Hiryuu Valley Chest 7000,3.0
Hiryuu Valley Chest Coronet,1.0
Hiryuu Valley Skull Bone Mail,1.0
HiryuuPlant New,4.0
Istory Falls Chest Aegis Shield,4.0
Istory Falls Chest Enhancer,4.0
Istory Falls Chest Ether,3.0
Istory Falls Chest Giant Drink,3.0
Istory Falls Chest Giant's Axe,2.0
Istory Falls Chest Guard Ring,4.0
Istory Falls Chest Phoenix Down,3.0
Istory Falls Chest Pinwheel,2.0
Istory Falls Chest Wall Ring,2.0
Karnak Castle Chest 2000,2.0
Karnak Castle Chest Elf Cape,3.0
Karnak Castle Chest Elixir,3.0
Karnak Castle Chest Guardian,2.0
Karnak Castle Chest Gungnir,3.0
Karnak Castle Chest Ribbon,3.0
Karnak Castle Chest Shuriken,4.0
Karnak Castle Chest Thunder Scroll,3.0
Leviathan New,4.0
Life (or Strength) Song from Crescent Town bard Vitality,3.0
LiquiFlame New,4.0
