boss,key,seed
Karlabos,Anti Barrier,9247417
Siren,Bracelet,9247417
Sergeant & DeathClaw,Moogle Suit,9247417
AdamanTiMi,Canal Key,9247417
Sol Cannon,Walse Tower Key,9247417
ArchaeAvis,3rd Tablet,9247417
Titan,Elder Branch,9247417
Gilgamesh 1,Adamantite,9247417
Gilgamesh 2,Trench Page,9247417
Abductor,Ifrit's Fire,9247417
Atmos,Pyramid Page,9247417
Guardians,Hiryuu Call,9247417
Carbunkle,Shrine Page,9247417
Gilgamesh 4,Falls Page,9247417
Merugene,Steamship Key,9247417
Odin,4th Tablet,9247417
"Triton, Neregeid & Phobos",1st Tablet,9247417
Stalker,Sandworm Bait,9247417
Bahamut,2nd Tablet,9247417
Ifrit,Submarine Key,9247417
