check,reward,mib,reward_value,seed
Wind Crystal Knight,Black Ability Progressive,,0,9247417
Wind Crystal BlueMage,Pinwheel,,12500,9247417
Wind Crystal BlackMage,Haste->Exit->Hast2->Quick,,0,9247417
Wind Crystal WhiteMage,Mythril Sword,,440,9247417
Wind Crystal Monk,Armor->Shell->Wall->Dispel,,0,9247417
Wind Crystal Thief,Silk robe,,250,9247417
Fire Crystal Mediator,Mediator Job Crystal,,0,9247417
Fire Crystal Geomancer,Image,,0,9247417
Fire Crystal Ninja,Shoat,,0,9247417
Black Choco Crystals Bard,Golden Helm,,1750,9247417
Black Choco Crystals Hunter,Lillith Rod,,1500,9247417
Earth Crystal Samurai,Speed->Requiem Song,,0,9247417
Earth Crystal Dragoon,Black Ability Progressive,,0,9247417
Earth Crystal Chemist,Condemn->Roulette->AquaRake,,0,9247417
Earth Crystal Dancer,Freelancer Job Crystal,,0,9247417
Leviathan Esper Levia,Ice Black Magic Progressive,,0,9247417
Titan Titan,Equip Harps,,0,9247417
Carbuncle Crbnkl,Diamond Armor,,4000,9247417
Syldra Syldra,Maiden's Kiss,,30,9247417
Odin Odin,Throw,,0,9247417
Phoenix Phenix,Antidote,,15,9247417
Bahamut Bahmut,Equip Katana,,0,9247417
Life (or Strength) Song from Crescent Town bard Vitality,Diamond Helm,,3500,9247417
Temptation Song at Lix Charm,MP +X%,,0,9247417
Love Song at Istory Love,Thief's Glove,,1500,9247417
Requiem Song at Kelb Requiem,Control,,0,9247417
Speed Song at Surgate Speed,Elf Cape,,2000,9247417
Magic Song at Ancient Library Magic,Air Lance,,3400,9247417
Power Song from Crescent Town Power,ManEater,,12500,9247417
Hero Song from Crescent Town Hero,Vampire->MindBlst->WhiteWind,,0,9247417
"Fork Tower, two Magics Holy",Sleep->Psych->Doom,,0,9247417
"Fork Tower, two Magics Flare",Power->Vitality Song,,0,9247417
Meteo Meteo,Armor->Shell->Wall->Dispel,,0,9247417
"5 potions in Wind Shrine, bottom left guy Potion",MgcSword Ability Progressive,,0,9247417
"8 potions, Pirate after Torna Canal Key acquired Potion",Plumed Hat,,175,9247417
Chancellor at Tycoon Healing Staff,Circlet,,2250,9247417
Magisa & Forza Mythril Helm,Black Ability Progressive,,0,9247417
CornaJar at Kelb CornaJar,Yoichi Bow,,10000,9247417
Ribbon from girl in Rugor Ribbon,Thunder Bow,,1250,9247417
Mirage Vest from Chocobo Tour/Mirage Village Mirage Vest,Summon Ability Progressive,,0,9247417
12 Kuzar Events Assassin,Sleep->Bio->Flare Sword,,0,9247417
12 Kuzar Events Apollo's Harp,Darkness Bow,,1900,9247417
12 Kuzar Events Excalibur,Red1->Red2->Red3->X-Magic,,0,9247417
12 Kuzar Events Flame Whip,Iron Shield,,195,9247417
12 Kuzar Events Earth Bell,Silk robe,,250,9247417
12 Kuzar Events Holy Lance,Dragoon Lance,,15000,9247417
12 Kuzar Events Masamune,Venom->Drain->Break,,0,9247417
12 Kuzar Events Wizard Rod,GuardOff->Hammer->MghtyGrd,,0,9247417
12 Kuzar Events Rune Axe,Fire Bow,,1250,9247417
12 Kuzar Events Sage's Staff,Partisan,,5100,9247417
12 Kuzar Events Sasuke,Gaia Gear,,1000,9247417
12 Kuzar Events Yoichi Bow,Killer Bow,,2500,9247417
Shiva Shiva,GuardOff->Hammer->MghtyGrd,,0,9247417
Ifrit Ifrit,Dimen Ability Progressive,,0,9247417
Water Crystal Samurai,FrogSong->TinySong->MoonFlut,,0,9247417
Water Crystal Berserker,Berserker Job Crystal,,0,9247417
Water Crystal MysticKnight,Analyze,,0,9247417
Water Crystal TimeMage,Comet->Meteo,,0,9247417
Water Crystal Summoner,Equip Bows,,0,9247417
Brave Blade Brave Blade,Gaia Gear,,1000,9247417
Chicken Knife Chicken Knife,BuildUp,,0,9247417
Tycoon Castle Cabin Cabin,Cabin,,300,9247417
Walse Tower Chest GoGo,Bandana,,1750,9247417
Pyramid Top Pyramid Tablet,ManEater,,12500,9247417
Toad Event Toad,????->Fusion->Exploder->DrkShock,,0,9247417
Aegis Shield Chest Aegis Shield,Aegis Shield,,2250,9247417
Lone Wolf Barrel Cabin,Speed Drink,,55,9247417
Lone Wolf Chest Thunder Whip,Thunder Whip,,1100,9247417
Moat Item Epee,Revivify,,75,9247417
Shop Backdoor Lamia Harp,Medicine,,0,9247417
Top of the Falls Magic Lamp,Magic Lamp,,5000,9247417
Wind Shrine Chest Broadsword,GrnBeret,,1250,9247417
Beginner's House Chest Ether,Bandana,,1750,9247417
Beginner's House Chest 100,Scan->Charm->Holy,,0,9247417
Beginner's House Chest Potion,Knife,,75,9247417
Beginner's House Chest Phoenix Down,5000 gil,,5000,9247417
Beginner's House Chest Tent,Venom Rod,,750,9247417
Beginner's House Chest Leather Shoes,5000 gil,,5000,9247417
Pirate's Cave Chest Leather Cap,Rod,,100,9247417
Pirate's Cave Chest Tent,Giyaman,,250,9247417
Pirate's Cave Chest Ether,Ether,,750,9247417
Pirate's Cave Chest 300,Giyaman,,250,9247417
Wind Shrine Chest Tent,Cursed Ring,,2500,9247417
Wind Shrine Chest Leather Cap,Ice Black Magic Progressive,,0,9247417
Wind Shrine Chest Staff,Darkness Bow,,1900,9247417
Tule Barrel 150,Golden Helm,,1750,9247417
Tule Box Leather Shoes,2500 gil,,2500,9247417
Tule Barrel Potion,Eyedrop,MIB,10,9247417
Tule Box Tent,Genji Helm,,12500,9247417
Tule Bush Phoenix Down,Fire Rod,,375,9247417
Ship Graveyard Chest Flail,Slow->Stop->Slow2,,0,9247417
Ship Graveyard Chest Phoenix Down,Venom->Drain->Break,,0,9247417
Ship Graveyard Chest Tent,12000 gil,,12000,9247417
Ship Graveyard Box 990,Regen->Float->Reset->Xzone,,0,9247417
Ship Graveyard Chest Potion,Wonder Wand,,5000,9247417
Ship Graveyard Chest Antidote,Summon Ability Progressive,,0,9247417
Carwen Barrel Antidote,Antidote,,15,9247417
Carwen Box Ice Rod,Elven Bow,,3750,9247417
Carwen Pot 1000,10000 gil,,10000,9247417
North Mountain Chest Soft,9000 gil,,9000,9247417
North Mountain Chest Phoenix Down,Dimen Ability Progressive,,0,9247417
Walse Town Pot Glasses,Elixir,,25000,9247417
Tycoon Castle Pot Hi-Potion,Mantra,,0,9247417
Tycoon Castle Pot Ether,L4Qrter->L3Flare->L2Old->L5Doom,,0,9247417
Tycoon Castle Barrel Elixir,Caution,,0,9247417
Tycoon Castle Barrel Phoenix Down,2000 gil,,2000,9247417
Tycoon Castle Barrel Cabin,300 gil,,300,9247417
Tycoon Castle Pot Elixir,Leather Cap,,25,9247417
Tycoon Castle Pot Phoenix Down,Cure White Magic Progressive,,0,9247417
Tycoon Castle Pot Maiden's Kiss,9000 gil,,9000,9247417
Tycoon Castle Chest Shuriken,Mute->Size->Bersk,,0,9247417
Tycoon Castle Chest Giyaman,Ancient Sword,,2100,9247417
Tycoon Castle Chest Katana,Bronze Armor,,200,9247417
Walse Castle Chest Elf Cape,4400 gil,,4400,9247417
Walse Castle Pot 1000,Mute->Psych->Holy Sword,,0,9247417
Walse Castle Pot Drag,L4Qrter->L3Flare->L2Old->L5Doom,,0,9247417
Walse Castle Box 490,Morning Star,,3900,9247417
Walse Castle Barrel Tent,Angel Ring,,25000,9247417
Walse Castle Barrel Phoenix Down,Phoenix Down,,500,9247417
Walse Tower Chest Silk robe,Condemn->Roulette->AquaRake,,0,9247417
Walse Tower Chest Maiden's Kiss,RedMage Job Crystal,,0,9247417
Walse Tower Chest Silver Armlet,Killer Bow,,2500,9247417
Walse Tower Chest Ether,Magic->Love@Song,,0,9247417
Tycoon Meteor Chest Phoenix Down,Phoenix Down,,500,9247417
Karnak Castle Chest Gungnir,Epee Sword,MIB,4200,9247417
Karnak Castle Chest Thunder Scroll,Slumber Sword,,2800,9247417
Karnak Castle Chest 2000,Speed Drink,,55,9247417
Karnak Castle Chest Elixir,Stealth Suit,MIB,1500,9247417
