shop_name,value
Bal/Kelb Armor,2.5
Bal/Kelb Weapon,2.1666666666666665
Carwen Armor,2.25
Carwen Inn,1.75
Carwen Magic,2.2222222222222223
Carwen Weapon,2.5
Common World 1 Inn,1.4285714285714286
Common World 2 Inn 1,2.5
Common World 2 Inn 2,2.3333333333333335
Common World 2 Magic 1,2.0
Common World 2 Magic 2,2.2
Common World 2 Magic 3,1.5714285714285714
Crescent Armor,2.0
Crescent Weapon,2.0
Dwarf Armor,1.3333333333333333
Dwarf Magic,1.5
Dwarf Weapon,3.0
Istory Relic,1.625
Jacole Armor,2.2
Jacole Weapon,2.142857142857143
Karnak Armor,2.25
Karnak Magic 1,1.75
Karnak Magic 2,2.142857142857143
Karnak Magic 3,1.75
Karnak Weapon 1,2.0
Karnak Weapon 2,2.0
Kelb Armor,2.0
Kelb Weapon,2.5
Lix Armor,2.0
Lix Guild,2.0
Lix Inn,2.5
Lix Magic,2.125
Mirage Armor,2.0
Mirage Guild,1.75
Mirage Inn 1,2.25
Mirage Inn 2,2.5
Mirage Magic 1,2.0
Mirage Magic 2,2.5
Mirage Relic,2.375
Mirage Weapon,1.75
Mua Armor,2.0
Mua Magic 1,2.7142857142857144
Mua Magic 2,2.0
Mua Magic 3,2.0
Mua Weapon,1.5
Rugor Armor,2.0
Rugor Weapon,2.0
Surgate Armor,2.142857142857143
Surgate Weapon,2.0
Tule Armor,1.5
Tule Inn,1.625
Tule Magic,2.6666666666666665
Tule Weapon,2.5
Worus Armor,1.5
Worus Magic,2.0
Worus Weapon,2.142857142857143
