shop_name,shop_type,item,seed
Tule Weapon,07,BlackMage,9247417
Tule Weapon,07,Black Lv.6,9247417
Tule Weapon,07,Slash,9247417
Tule Weapon,07,None,9247417
Tule Weapon,07,None,9247417
Tule Weapon,07,None,9247417
Tule Weapon,07,None,9247417
Tule Weapon,07,None,9247417
Tule Armor,01,Leather Cap,9247417
Tule Armor,01,Flame Scroll,9247417
Tule Armor,01,Soot,9247417
Tule Armor,01,Elven Bow,9247417
Tule Armor,01,Phoenix Down,9247417
Tule Armor,01,Maiden's Kiss,9247417
Tule Armor,01,Antidote,9247417
Tule Armor,01,Antidote,9247417
Tule Inn,01,Giyaman,9247417
Tule Inn,01,AntiMagic Bow,9247417
Tule Inn,01,Water Scroll,9247417
Tule Inn,01,Lamia's Tiara,9247417
Tule Inn,01,Ether,9247417
Tule Inn,01,Revivify,9247417
Tule Inn,01,Tent,9247417
Tule Inn,01,Cabin,9247417
Tule Magic,01,Silver Bow,9247417
Tule Magic,01,Rune Chime,9247417
Tule Magic,01,Avis Killer,9247417
Tule Magic,01,Soft,9247417
Tule Magic,01,Kaiser Knuckles,9247417
Tule Magic,01,Golden Helm,9247417
Tule Magic,01,None,9247417
Tule Magic,01,None,9247417
Carwen Weapon,07,Dimen Lv.6,9247417
Carwen Weapon,07,Dimen Lv.4,9247417
Carwen Weapon,07,None,9247417
Carwen Weapon,07,None,9247417
Carwen Weapon,07,None,9247417
Carwen Weapon,07,None,9247417
Carwen Weapon,07,None,9247417
Carwen Weapon,07,None,9247417
Carwen Armor,01,Crystal Shield,9247417
Carwen Armor,01,Venom Rod,9247417
Carwen Armor,01,Chain Whip,9247417
Carwen Armor,01,Lamia's Harp,9247417
Carwen Armor,01,Shuriken,9247417
Carwen Armor,01,TurtleShell,9247417
Carwen Armor,01,TurtleShell,9247417
Carwen Armor,01,Eyedrop,9247417
Carwen Inn,01,Thunder Rod,9247417
Carwen Inn,01,Tent,9247417
Carwen Inn,01,Flame Scroll,9247417
Carwen Inn,01,Dagger,9247417
Carwen Inn,01,Mythril Shield,9247417
Carwen Inn,01,Mythril Staff,9247417
Carwen Inn,01,Flame Shield,9247417
Carwen Inn,01,Guardian,9247417
Carwen Magic,00,Venom,9247417
Carwen Magic,00,Image,9247417
Carwen Magic,00,Sylph,9247417
Carwen Magic,00,Psych,9247417
Carwen Magic,00,Fire3,9247417
Carwen Magic,00,None,9247417
Carwen Magic,00,None,9247417
Carwen Magic,00,None,9247417
Worus Weapon,00,Holy,9247417
Worus Weapon,00,Fire,9247417
Worus Weapon,00,Fire2,9247417
Worus Weapon,00,Demi,9247417
Worus Weapon,00,None,9247417
Worus Weapon,00,None,9247417
Worus Weapon,00,None,9247417
Worus Weapon,00,None,9247417
Worus Armor,07,MgcSwrd Lv.2,9247417
Worus Armor,07,White Lv.3,9247417
Worus Armor,07,MgcSwrd Lv.7,9247417
Worus Armor,07,Black Lv.3,9247417
Worus Armor,07,None,9247417
Worus Armor,07,None,9247417
Worus Armor,07,None,9247417
Worus Armor,07,None,9247417
Worus Magic,07,White Lv.4,9247417
Worus Magic,07,Catch,9247417
Worus Magic,07,White Lv.5,9247417
Worus Magic,07,Pray,9247417
Worus Magic,07,None,9247417
Worus Magic,07,None,9247417
Worus Magic,07,None,9247417
Worus Magic,07,None,9247417
Karnak Weapon 1,07,Geomancer,9247417
Karnak Weapon 1,07,Red Lv.2,9247417
Karnak Weapon 1,07,X-Magic,9247417
Karnak Weapon 1,07,MgcSwrd Lv.3,9247417
Karnak Weapon 1,07,None,9247417
Karnak Weapon 1,07,None,9247417
Karnak Weapon 1,07,None,9247417
Karnak Weapon 1,07,None,9247417
Karnak Weapon 2,00,Ifrit,9247417
Karnak Weapon 2,00,Exit,9247417
Karnak Weapon 2,00,Hast2,9247417
Karnak Weapon 2,00,None,9247417
Karnak Weapon 2,00,None,9247417
Karnak Weapon 2,00,None,9247417
Karnak Weapon 2,00,None,9247417
Karnak Weapon 2,00,None,9247417
Karnak Armor,01,Guardian,9247417
Karnak Armor,01,Giant's Gloves,9247417
Karnak Armor,01,Killer Bow,9247417
Karnak Armor,01,Phoenix Down,9247417
Karnak Armor,01,Cursed Shield,9247417
Karnak Armor,01,Ogre Killer,9247417
Karnak Armor,01,Spear,9247417
Karnak Armor,01,Tricorn Hat,9247417
Common World 1 Inn,01,Ancient Sword,9247417
Common World 1 Inn,01,OmegaMedl,9247417
Common World 1 Inn,01,Tricorn Hat,9247417
Common World 1 Inn,01,Hero Drink,9247417
Common World 1 Inn,01,Thornlet,9247417
Common World 1 Inn,01,Knife,9247417
Common World 1 Inn,01,Potion,9247417
Common World 1 Inn,01,None,9247417
Karnak Magic 1,07,Mimic,9247417
Karnak Magic 1,07,MgcSwrd Lv.6,9247417
Karnak Magic 1,07,White Lv.2,9247417
Karnak Magic 1,07,Summon Lv.3,9247417
Karnak Magic 1,07,None,9247417
Karnak Magic 1,07,None,9247417
Karnak Magic 1,07,None,9247417
Karnak Magic 1,07,None,9247417
Karnak Magic 2,00,Hero,9247417
Karnak Magic 2,00,Odin,9247417
Karnak Magic 2,00,Life,9247417
Karnak Magic 2,00,Bolt3,9247417
Karnak Magic 2,00,Mute,9247417
Karnak Magic 2,00,None,9247417
Karnak Magic 2,00,None,9247417
Karnak Magic 2,00,None,9247417
Karnak Magic 3,01,Leather Shield,9247417
Karnak Magic 3,01,CopperPlt,9247417
Karnak Magic 3,01,Giant's Axe,9247417
Karnak Magic 3,01,Bronze Shield,9247417
Karnak Magic 3,01,Gaia Gear,9247417
Karnak Magic 3,01,Drain Sword,9247417
Karnak Magic 3,01,Eyedrop,9247417
Karnak Magic 3,01,Cabin,9247417
Crescent Weapon,00,Venom,9247417
Crescent Weapon,00,Regen,9247417
Crescent Weapon,00,Bolt,9247417
Crescent Weapon,00,Cure,9247417
Crescent Weapon,00,Qrter,9247417
Crescent Weapon,00,None,9247417
Crescent Weapon,00,None,9247417
Crescent Weapon,00,None,9247417
Crescent Armor,00,Bersk,9247417
Crescent Armor,00,Sleep,9247417
Crescent Armor,00,None,9247417
Crescent Armor,00,None,9247417
Crescent Armor,00,None,9247417
Crescent Armor,00,None,9247417
Crescent Armor,00,None,9247417
Crescent Armor,00,None,9247417
Istory Relic,01,Power Wrist,9247417
Istory Relic,01,Rod,9247417
Istory Relic,01,Mythril Helm,9247417
Istory Relic,01,RegalCut,9247417
Istory Relic,01,Elixir,9247417
Istory Relic,01,Phoenix Down,9247417
Istory Relic,01,Revivify,9247417
Istory Relic,01,LuckMallet,9247417
Jacole Weapon,00,L2 Old,9247417
Jacole Weapon,00,Bolt2,9247417
Jacole Weapon,00,Shiva,9247417
Jacole Weapon,00,WhiteWind,9247417
Jacole Weapon,00,Fire3,9247417
Jacole Weapon,00,None,9247417
Jacole Weapon,00,None,9247417
Jacole Weapon,00,None,9247417
Jacole Armor,00,Sleep,9247417
Jacole Armor,00,AquaRake,9247417
Jacole Armor,00,Bio,9247417
Jacole Armor,00,None,9247417
Jacole Armor,00,None,9247417
Jacole Armor,00,None,9247417
Jacole Armor,00,None,9247417
Jacole Armor,00,None,9247417
Common World 2 Inn 1,01,Guardian,9247417
Common World 2 Inn 1,01,Mythril Shield,9247417
Common World 2 Inn 1,01,Epee Sword,9247417
Common World 2 Inn 1,01,Wall Ring,9247417
Common World 2 Inn 1,01,Thunder Whip,9247417
Common World 2 Inn 1,01,Staff,9247417
Common World 2 Inn 1,01,Sage's Staff,9247417
Common World 2 Inn 1,01,Elven Bow,9247417
Lix Guild,00,Void,9247417
Lix Guild,00,Slow2,9247417
Lix Guild,00,Levia,9247417
Lix Guild,00,Life2,9247417
Lix Guild,00,DethClaw,9247417
Lix Guild,00,None,9247417
Lix Guild,00,None,9247417
Lix Guild,00,None,9247417
Lix Armor,07,Monk,9247417
Lix Armor,07,GilToss,9247417
Lix Armor,07,None,9247417
Lix Armor,07,None,9247417
Lix Armor,07,None,9247417
Lix Armor,07,None,9247417
Lix Armor,07,None,9247417
Lix Armor,07,None,9247417
Lix Magic,01,Rune Axe,9247417
Lix Magic,01,Aegis Shield,9247417
Lix Magic,01,Avis Killer,9247417
Lix Magic,01,Dagger,9247417
Lix Magic,01,Potion,9247417
Lix Magic,01,HiPotion,9247417
Lix Magic,01,Ether,9247417
Lix Magic,01,Ether,9247417
Rugor Weapon,07,Evade,9247417
Rugor Weapon,07,Brawl,9247417
Rugor Weapon,07,Equip Swords,9247417
Rugor Weapon,07,DmgFloor,9247417
Rugor Weapon,07,None,9247417
Rugor Weapon,07,None,9247417
Rugor Weapon,07,None,9247417
Rugor Weapon,07,None,9247417
Rugor Armor,07,Barrier,9247417
Rugor Armor,07,Chemist,9247417
Rugor Armor,07,HP +10%,9247417
Rugor Armor,07,Equip Spears,9247417
Rugor Armor,07,None,9247417
Rugor Armor,07,None,9247417
Rugor Armor,07,None,9247417
Rugor Armor,07,None,9247417
Common World 2 Inn 2,00,Bio,9247417
Common World 2 Inn 2,00,Flare,9247417
Common World 2 Inn 2,00,Charm,9247417
Common World 2 Inn 2,00,Bahmut,9247417
Common World 2 Inn 2,00,Golem,9247417
Common World 2 Inn 2,00,None,9247417
Common World 2 Inn 2,00,None,9247417
Common World 2 Inn 2,00,None,9247417
Bal/Kelb Weapon,00,Scan,9247417
Bal/Kelb Weapon,00,Toad,9247417
Bal/Kelb Weapon,00,Aero,9247417
Bal/Kelb Weapon,00,Ice3,9247417
Bal/Kelb Weapon,00,Heal,9247417
Bal/Kelb Weapon,00,None,9247417
Bal/Kelb Weapon,00,None,9247417
Bal/Kelb Weapon,00,None,9247417
Bal/Kelb Armor,01,Flame Ring,9247417
Bal/Kelb Armor,01,Kotetsu,9247417
Bal/Kelb Armor,01,Air Blade,9247417
Bal/Kelb Armor,01,Iron Helm,9247417
Bal/Kelb Armor,01,Wall Ring,9247417
Bal/Kelb Armor,01,Golden Helm,9247417
Bal/Kelb Armor,01,Katana,9247417
Bal/Kelb Armor,01,HiPotion,9247417
Kelb Weapon,01,TurtleShell,9247417
Kelb Weapon,01,Lamia's Tiara,9247417
Kelb Weapon,01,Mythril Sword,9247417
Kelb Weapon,01,Flametongue,9247417
Kelb Weapon,01,Forged,9247417
Kelb Weapon,01,Slumber Sword,9247417
Kelb Weapon,01,Mythril Hammer,9247417
Kelb Weapon,01,Elixir,9247417
Kelb Armor,07,Equip Whips,9247417
Kelb Armor,07,Observe,9247417
Kelb Armor,07,X-Fight,9247417
Kelb Armor,07,None,9247417
Kelb Armor,07,None,9247417
Kelb Armor,07,None,9247417
Kelb Armor,07,None,9247417
Kelb Armor,07,None,9247417
Common World 2 Magic 1,07,Cover,9247417
Common World 2 Magic 1,07,Summon Lv.4,9247417
Common World 2 Magic 1,07,None,9247417
Common World 2 Magic 1,07,None,9247417
Common World 2 Magic 1,07,None,9247417
Common World 2 Magic 1,07,None,9247417
Common World 2 Magic 1,07,None,9247417
Common World 2 Magic 1,07,None,9247417
Common World 2 Magic 2,01,RisingSun,9247417
Common World 2 Magic 2,01,Golden Helm,9247417
Common World 2 Magic 2,01,Healing Staff,9247417
Common World 2 Magic 2,01,Iron Armor,9247417
Common World 2 Magic 2,01,Eyedrop,9247417
Common World 2 Magic 2,01,None,9247417
Common World 2 Magic 2,01,None,9247417
Common World 2 Magic 2,01,None,9247417
