check,value
12 Kuzar Events Earth Bell,3.0
12 Kuzar Events Excalibur,1.0
12 Kuzar Events Flame Whip,2.0
12 Kuzar Events Holy Lance,3.0
12 Kuzar Events Sage's Staff,3.0
12 Kuzar Events Sasuke,3.0
12 Kuzar Events Wizard Rod,1.0
"5 potions in Wind Shrine, bottom left guy Potion",2.0
"8 potions, Pirate after Torna Canal Key acquired Potion",0.0
Abductor New,4.0
Aegis Shield Chest Aegis Shield,4.0
Ancient Library Chest Phoenix Down,3.0
Ancient Library Chest Stealth Suit,3.0
Atmos New,4.0
Bahamut Bahmut,2.0
Bal Castle Chest Exit,2.0
Barrier Tower Chest 18000,2.5
Barrier Tower Chest 9000,4.0
Barrier Tower Chest Drain Sword,2.0
Barrier Tower Chest Gold Hairpin,2.0
Beginner's House Chest 100,3.0
Beginner's House Chest Leather Shoes,4.0
Beginner's House Chest Phoenix Down,1.0
Beginner's House Chest Potion,3.0
Beginner's House Chest Tent,2.0
Black Choco Crystals Bard,2.0
Black Choco Crystals Hunter,2.0
Brave Blade Brave Blade,4.0
Byblos New,4.0
Carbuncle Crbnkl,2.0
Carwen Barrel Antidote,1.0
Carwen Box Ice Rod,4.0
Chancellor at Tycoon Healing Staff,2.0
Chicken Knife Chicken Knife,3.0
Chim.Brain New,4.0
CornaJar at Kelb CornaJar,1.0
Crayclaw New,4.0
Earth Crystal Dancer,3.0
Earth Crystal Dragoon,4.0
Earth Crystal Samurai,2.0
Exdeath's Castle Chest 8000,5.0
Exdeath's Castle Chest 9900,2.0
Exdeath's Castle Chest DblLance,1.0
Exdeath's Castle Chest Elixir,3.0
Exdeath's Castle Chest Kotetsu,4.0
Fire Crystal Mediator,2.0
Fire Crystal Ninja,2.0
Flying Lonka Ruins Chest Ancient Sword,4.0
Flying Lonka Ruins Chest Cabin,2.0
Flying Lonka Ruins Chest Elixir,2.0
Flying Lonka Ruins Chest Ether,1.0
Flying Lonka Ruins Chest Full Moon,2.0
Flying Lonka Ruins Chest Golden Armor,4.0
Flying Lonka Ruins Chest Golden Shield,3.0
Flying Lonka Ruins Chest Hi-Potion,2.0
Fork Tower L. Chest Ether,3.0
Fork Tower L. Chest Wonder Wand,1.0
Gilgamesh 2 New,4.0
Gilgamesh 4 New,4.0
GoGo New,4.0
Great Trench Chest DragonFang,4.0
Great Trench Chest Ether,3.0
Great Trench Chest Kaiser Knuckles,2.0
Hero Song from Crescent Town Hero,4.0
Hiryuu Valley Chest 5000,3.0
Hiryuu Valley Chest Air Blade,2.0
Hiryuu Valley Chest Cabin,2.0
Hiryuu Valley Chest Coronet,4.0
Ifrit Ifrit,2.0
Ifrit New,4.0
