check,reward,mib,reward_value,seed
Wind Crystal Knight,Elven Bow,,3750.0,5075197
Wind Crystal BlueMage,Magic Lamp,,5000.0,5075197
Wind Crystal BlackMage,Elixir,,25000.0,5075197
Wind Crystal WhiteMage,Haste->Exit->Hast2->Quick,,0.0,5075197
Wind Crystal Monk,Leather Shoes,,35.0,5075197
Wind Crystal Thief,Aegis Shield,,2250.0,5075197
Fire Crystal Mediator,Preemptive,,0.0,5075197
Fire Crystal Geomancer,Chocob->Titan->Golem->Odin,,0.0,5075197
Fire Crystal Ninja,Jump,,0.0,5075197
Black Choco Crystals Bard,Gaia Gear,,1000.0,5075197
Black Choco Crystals Hunter,Healing Staff,,450.0,5075197
Earth Crystal Samurai,Tame,,0.0,5075197
Earth Crystal Dragoon,Running Shoes,,25000.0,5075197
Earth Crystal Chemist,Knight Job Crystal,,0.0,5075197
Earth Crystal Dancer,Kotetsu,,5900.0,5075197
Leviathan Esper Levia,Knife,,75.0,5075197
Titan Titan,Elixir,,25000.0,5075197
Carbuncle Crbnkl,Darkness Bow,,1900.0,5075197
Syldra Syldra,Mute->Size->Bersk,,0.0,5075197
Odin Odin,Power->Vitality Song,,0.0,5075197
Phoenix Phenix,Sleep->Psych->Doom,,0.0,5075197
Bahamut Bahmut,Equip Shield,,0.0,5075197
Life (or Strength) Song from Crescent Town bard Vitality,Animals->Aim->X-Fight,,0.0,5075197
Temptation Song at Lix Charm,Evade,,0.0,5075197
Love Song at Istory Love,HP +X%,,0.0,5075197
Requiem Song at Kelb Requiem,Armor->Shell->Wall->Dispel,,0.0,5075197
Speed Song at Surgate Speed,Ice Bow,,1250.0,5075197
Magic Song at Ancient Library Magic,Armor->Shell->Wall->Dispel,,0.0,5075197
Power Song from Crescent Town Power,Mythril Staff,,250.0,5075197
Hero Song from Crescent Town Hero,Defender Sword,,5500.0,5075197
"Fork Tower, two Magics Holy",Flash->Time Slip->DethClaw,,0.0,5075197
"Fork Tower, two Magics Flare",Black Ability Progressive,,0.0,5075197
Meteo Meteo,Cure White Magic Progressive,,0.0,5075197
