boss,key,seed
WingRaptor,Bracelet,5075197
Galura,Canal Key,5075197
LiquiFlame,Adamantite,5075197
Sergeant & DeathClaw,Trench Page,5075197
Sandworm,Submarine Key,5075197
AdamanTiMi,1st Tablet,5075197
Sol Cannon,Sandworm Bait,5075197
ArchaeAvis,Big Bridge Key,5075197
Titan,Pyramid Page,5075197
Gilgamesh 1,Hiryuu Call,5075197
HiryuuPlant,Anti Barrier,5075197
Gilgamesh 3 & Enkidou,3rd Tablet,5075197
Guardians,Steamship Key,5075197
Carbunkle,Falls Page,5075197
Antlion,Shrine Page,5075197
Merugene,Moogle Suit,5075197
"Triton, Neregeid & Phobos",4th Tablet,5075197
Omniscient,Walse Tower Key,5075197
Stalker,Ifrit's Fire,5075197
Bahamut,2nd Tablet,5075197
