shop_name,value
Bal/Kelb Armor,2.0
Bal/Kelb Weapon,2.3333333333333335
Carwen Armor,1.75
Carwen Inn,1.75
Carwen Magic,1.875
Carwen Weapon,2.2
Common World 1 Inn,2.1666666666666665
Common World 2 Inn 1,2.2857142857142856
Common World 2 Inn 2,2.0
Common World 2 Magic 1,2.0
Common World 2 Magic 2,2.0
Common World 2 Magic 3,1.3333333333333333
Crescent Armor,2.0
Crescent Weapon,2.0
Dwarf Armor,2.111111111111111
Dwarf Magic,1.5
Dwarf Weapon,2.2
Istory Relic,2.0
Jacole Armor,2.0
Jacole Weapon,1.75
Karnak Armor,2.625
Karnak Magic 1,2.5
Karnak Magic 2,2.125
Karnak Magic 3,1.0
Karnak Weapon 1,1.75
Karnak Weapon 2,1.5
Kelb Armor,1.5
Kelb Weapon,2.375
Lix Armor,1.4
Lix Guild,2.142857142857143
Lix Inn,2.3333333333333335
Lix Magic,2.0
Mirage Armor,1.6666666666666667
Mirage Guild,2.0
Mirage Inn 1,2.5
Mirage Inn 2,2.125
Mirage Magic 1,2.0
Mirage Magic 2,2.375
Mirage Relic,1.8333333333333333
Mirage Weapon,1.7142857142857142
Mua Armor,2.1666666666666665
Mua Magic 1,2.25
Mua Magic 2,2.0
Mua Magic 3,2.0
Mua Weapon,1.75
Rugor Armor,2.0
Rugor Weapon,2.25
Surgate Armor,2.25
Surgate Weapon,2.1666666666666665
Tule Armor,2.2857142857142856
Tule Inn,2.0
Tule Magic,2.0
Tule Weapon,1.6
Worus Armor,2.25
Worus Magic,2.3333333333333335
Worus Weapon,2.0
