check,reward,mib,seed
Wind Crystal Knight,Equip Axes,,4133134
Wind Crystal BlueMage,Giant Drink,,4133134
Wind Crystal BlackMage,Phoenix Down,,4133134
Wind Crystal WhiteMage,Venom Axe,,4133134
Wind Crystal Monk,Mantra,,4133134
Wind Crystal Thief,Thunder Bow,,4133134
Fire Crystal Mediator,Preemptive,,4133134
Fire Crystal Geomancer,Pray,,4133134
Fire Crystal Ninja,Circlet,,4133134
Black Choco Crystals Bard,Scan->Charm->Holy,,4133134
Black Choco Crystals Hunter,Condemn->Roulette->AquaRake,,4133134
Earth Crystal Samurai,Antdt->Image->Heal,,4133134
Earth Crystal Dragoon,Diamond Shield,,4133134
Earth Crystal Chemist,Excalibur,,4133134
Earth Crystal Dancer,Angel Gwn,,4133134
Leviathan Esper Levia,Mediator Job Crystal,,4133134
Titan Titan,GuardOff->Hammer->MghtyGrd,,4133134
Carbuncle Crbnkl,Diamond Armor,,4133134
Syldra Syldra,Agility,,4133134
Odin Odin,SwdSlap,,4133134
Phoenix Phenix,Void->Demi->Qrter->Old,,4133134
Bahamut Bahmut,Giyaman,,4133134
Life (or Strength) Song from Crescent Town bard Vitality,Coral Ring,,4133134
Temptation Song at Lix Charm,Dream Harp,,4133134
Love Song at Istory Love,Circlet,,4133134
Requiem Song at Kelb Requiem,DrgnSwd,,4133134
Speed Song at Surgate Speed,Mimic Job Crystal,,4133134
Magic Song at Ancient Library Magic,Tame,,4133134
Power Song from Crescent Town Power,WhiteMage Job Crystal,,4133134
Hero Song from Crescent Town Hero,Rune Axe,,4133134
"Fork Tower, two Magics Holy",Elixir,,4133134
"Fork Tower, two Magics Flare",Shoat,,4133134
Meteo Meteo,Sasuke,,4133134
"5 potions in Wind Shrine, bottom left guy Potion",Sleep->Bio->Flare Sword,,4133134
"8 potions, Pirate after Torna Canal Key acquired Potion",Golden Armor,,4133134
Chancellor at Tycoon Healing Staff,Vampire->MindBlst->WhiteWind,,4133134
Magisa & Forza Mythril Helm,Dimen Ability Progressive,,4133134
CornaJar at Kelb CornaJar,TurtleShell,,4133134
Ribbon from girl in Rugor Ribbon,Magic Lamp,,4133134
Mirage Vest from Chocobo Tour/Mirage Village Mirage Vest,Toad->Bio->Flare,,4133134
12 Kuzar Events Assassin,Animals->Aim->X-Fight,,4133134
12 Kuzar Events Apollo's Harp,Soot,,4133134
12 Kuzar Events Excalibur,Kick,,4133134
12 Kuzar Events Flame Whip,Charm->Hero@Song,,4133134
12 Kuzar Events Earth Bell,Dragoon Job Crystal,,4133134
12 Kuzar Events Holy Lance,White Ability Progressive,,4133134
12 Kuzar Events Masamune,Dbl Grip,,4133134
12 Kuzar Events Wizard Rod,Combine,,4133134
12 Kuzar Events Rune Axe,Revivify,,4133134
12 Kuzar Events Sage's Staff,Venom Axe,,4133134
12 Kuzar Events Sasuke,Smoke,,4133134
12 Kuzar Events Yoichi Bow,Venom->Drain->Break Sword,,4133134
Shiva Shiva,Sylph->Crbnkl->Phenix->Syldra,,4133134
Ifrit Ifrit,Dimen Ability Progressive,,4133134
Water Crystal Samurai,Iron Shield,,4133134
Water Crystal Berserker,White Ability Progressive,,4133134
Water Crystal MysticKnight,Regen->Float->Reset->Xzone,,4133134
Water Crystal TimeMage,Drink,,4133134
Water Crystal Summoner,Black Ability Progressive,,4133134
Brave Blade Brave Blade,Brave Blade,,4133134
Chicken Knife Chicken Knife,Rainbow Dress,,4133134
Tycoon Castle Cabin Cabin,HP +X%,,4133134
Walse Tower Chest GoGo,Speed->Requiem Song,,4133134
Pyramid Top Pyramid Tablet,Cure White Magic Progressive,,4133134
Toad Event Toad,Fire Rod,,4133134
Aegis Shield Chest Aegis Shield,Silver Armlet,,4133134
Lone Wolf Barrel Cabin,Remora->Shoat->Levia,,4133134
Lone Wolf Chest Thunder Whip,Thunder Whip,,4133134
Moat Item Epee,Darkness Bow,,4133134
Shop Backdoor Lamia Harp,Venom Rod,,4133134
Top of the Falls Magic Lamp,Steal,,4133134
Wind Shrine Chest Broadsword,Brave Blade,,4133134
Beginner's House Chest Ether,2500 gil,,4133134
Beginner's House Chest 100,Toad->Bio->Flare,,4133134
Beginner's House Chest Potion,Knife,MIB,4133134
Beginner's House Chest Phoenix Down,5000 gil,,4133134
Beginner's House Chest Tent,DblLance,,4133134
Beginner's House Chest Leather Shoes,Mythril Armor,,4133134
Pirate's Cave Chest Leather Cap,15000 gil,,4133134
Pirate's Cave Chest Tent,490 gil,,4133134
Pirate's Cave Chest Ether,Chocob->Titan->Golem->Odin,,4133134
Pirate's Cave Chest 300,1000 gil,,4133134
Wind Shrine Chest Tent,Katana,,4133134
Wind Shrine Chest Leather Cap,20000 gil,,4133134
Wind Shrine Chest Staff,10000 gil,,4133134
Tule Barrel 150,Leather Shoes,,4133134
Tule Box Leather Shoes,Armor->Shell->Wall->Dispel,,4133134
Tule Barrel Potion,Golden Helm,,4133134
Tule Box Tent,Red1->Red2->Red3->X-Magic,,4133134
Tule Bush Phoenix Down,4900 gil,,4133134
Ship Graveyard Chest Flail,Mute->Psych->Holy Sword,,4133134
Ship Graveyard Chest Phoenix Down,18000 gil,,4133134
Ship Graveyard Chest Tent,L4Qrter->L3Flare->L2Old->L5Doom,,4133134
Ship Graveyard Box 990,Giyaman,,4133134
Ship Graveyard Chest Potion,Sage's Staff,,4133134
Ship Graveyard Chest Antidote,Diamond Shield,,4133134
Carwen Barrel Antidote,Lamia's Tiara,,4133134
Carwen Box Ice Rod,2000 gil,,4133134
Carwen Pot 1000,Shiva->Ramuh->Ifrit->Bahmut,,4133134
North Mountain Chest Soft,Cure White Magic Progressive,,4133134
North Mountain Chest Phoenix Down,1000 gil,,4133134
Walse Town Pot Glasses,Aero Blue Magic Progressive,,4133134
Tycoon Castle Pot Hi-Potion,Revivify,,4133134
Tycoon Castle Pot Ether,Condemn->Roulette->AquaRake,,4133134
Tycoon Castle Barrel Elixir,Silver Harp,,4133134
Tycoon Castle Barrel Phoenix Down,5000 gil,,4133134
Tycoon Castle Barrel Cabin,HiPotion,,4133134
