crystal,seed
Summoner,4133134
Berserker,4133134
TimeMage,4133134
Mimic,4133134
Samurai,4133134
Ninja,4133134
Freelancer,4133134
Geomancer,4133134
Thief,4133134
RedMage,4133134
MysticKnight,4133134
Mediator,4133134
Dragoon,4133134
WhiteMage,4133134
BlueMage,4133134
Geomancer,5831061
Dancer,5831061
MysticKnight,5831061
Freelancer,5831061
Bard,5831061
Ninja,5831061
Dragoon,5831061
Chemist,5831061
RedMage,5831061
BlackMage,5831061
Mediator,5831061
Thief,5831061
WhiteMage,5831061
Summoner,5831061
Berserker,5831061
Monk,5831061
Monk,1048791
MysticKnight,1048791
RedMage,1048791
BlackMage,1048791
TimeMage,1048791
Dancer,1048791
Knight,1048791
WhiteMage,1048791
Dragoon,1048791
Freelancer,1048791
Mediator,1048791
Chemist,1048791
Summoner,1048791
Samurai,1048791
Hunter,1048791
