check,value
12 Kuzar Events Apollo's Harp,3.3333333333333335
12 Kuzar Events Assassin,1.5
12 Kuzar Events Earth Bell,3.0
12 Kuzar Events Excalibur,1.0
12 Kuzar Events Flame Whip,3.0
12 Kuzar Events Masamune,2.0
12 Kuzar Events Rune Axe,1.3333333333333333
12 Kuzar Events Sage's Staff,2.5
12 Kuzar Events Sasuke,2.0
12 Kuzar Events Wizard Rod,2.5
12 Kuzar Events Yoichi Bow,3.0
"8 potions, Pirate after Torna Canal Key acquired Potion",2.0
AdamanTiMi New,4.0
Aegis Shield Chest Aegis Shield,2.0
Ancient Library Chest Stealth Suit,2.5
Antlion New,4.0
ArchaeAvis New,4.0
Atmos New,4.0
Bahamut Bahmut,1.5
Bahamut New,4.0
Bal Castle Chest Angel Gwn,3.0
Bal Castle Chest Exit,2.0
Bal Castle Chest Hero Drink,2.0
Barrier Tower Chest 18000,3.3333333333333335
Barrier Tower Chest 9000,2.0
Barrier Tower Chest Drain Sword,2.0
Barrier Tower Chest Gold Hairpin,2.6666666666666665
Beginner's House Chest 100,3.0
Beginner's House Chest Ether,2.0
Beginner's House Chest Leather Shoes,1.6666666666666667
Beginner's House Chest Phoenix Down,2.0
Beginner's House Chest Potion,1.5
Beginner's House Chest Tent,3.0
Black Choco Crystals Bard,2.0
Brave Blade Brave Blade,3.3333333333333335
Byblos New,4.0
Carbuncle Crbnkl,2.3333333333333335
Carbunkle New,4.0
Carwen Barrel Antidote,2.0
Carwen Pot 1000,2.5
Chancellor at Tycoon Healing Staff,3.5
Chicken Knife Chicken Knife,3.0
Chim.Brain New,4.0
CornaJar at Kelb CornaJar,3.3333333333333335
Crayclaw New,4.0
Earth Crystal Chemist,3.5
Earth Crystal Dancer,2.5
Earth Crystal Dragoon,2.5
Earth Crystal Samurai,2.0
Exdeath's Castle Chest 8000,2.0
Exdeath's Castle Chest 9900,2.0
Exdeath's Castle Chest DblLance,2.5
Exdeath's Castle Chest Diamond Shield,4.0
Exdeath's Castle Chest Elixir,2.5
Exdeath's Castle Chest Ether,2.5
Exdeath's Castle Chest Ice Shield,0.0
Exdeath's Castle Chest IceBrand,3.0
Exdeath's Castle Chest Pinwheel,2.6666666666666665
Fire Crystal Geomancer,2.0
Fire Crystal Mediator,2.5
Fire Crystal Ninja,2.5
Flying Lonka Ruins Chest 5000,3.0
Flying Lonka Ruins Chest Ancient Sword,2.6666666666666665
Flying Lonka Ruins Chest Cabin,2.0
Flying Lonka Ruins Chest Elixir,1.5
Flying Lonka Ruins Chest Ether,4.0
Flying Lonka Ruins Chest Golden Armor,1.5
Flying Lonka Ruins Chest Golden Shield,2.5
