boss,key,seed
Karlabos,Elder Branch,4133134
Magisa & Forza,3rd Tablet,4133134
Sandworm,Submarine Key,4133134
Chim.Brain,Sandworm Bait,4133134
Titan,Bracelet,4133134
Abductor,Moogle Suit,4133134
HiryuuPlant,Adamantite,4133134
Gilgamesh 3 & Enkidou,Ifrit's Fire,4133134
Atmos,Anti Barrier,4133134
Carbunkle,Falls Page,4133134
Gilgamesh 4,Trench Page,4133134
Antlion,Shrine Page,4133134
Merugene,1st Tablet,4133134
Odin,Pyramid Page,4133134
"Triton, Neregeid & Phobos",Hiryuu Call,4133134
Omniscient,Walse Tower Key,4133134
Minotauros,2nd Tablet,4133134
Stalker,Steamship Key,4133134
Ifrit,4th Tablet,4133134
Shiva,Big Bridge Key,4133134
Karlabos,Shrine Page,5831061
Magisa & Forza,Anti Barrier,5831061
LiquiFlame,Hiryuu Call,5831061
Sergeant & DeathClaw,Trench Page,5831061
Sandworm,4th Tablet,5831061
AdamanTiMi,Steamship Key,5831061
Puroboros,Ifrit's Fire,5831061
Titan,3rd Tablet,5831061
Gilgamesh 2,Falls Page,5831061
Tyrasaurus,Pyramid Page,5831061
Abductor,Bracelet,5831061
HiryuuPlant,Submarine Key,5831061
Gilgamesh 3 & Enkidou,1st Tablet,5831061
Atmos,Big Bridge Key,5831061
Guardians,Adamantite,5831061
Gilgamesh 4,2nd Tablet,5831061
Minotauros,Moogle Suit,5831061
Stalker,Elder Branch,5831061
GoGo,Sandworm Bait,5831061
Bahamut,Walse Tower Key,5831061
Karlabos,4th Tablet,1048791
Siren,3rd Tablet,1048791
Magisa & Forza,Sandworm Bait,1048791
Sergeant & DeathClaw,Hiryuu Call,1048791
AdamanTiMi,Anti Barrier,1048791
ArchaeAvis,Elder Branch,1048791
Puroboros,Submarine Key,1048791
Titan,Big Bridge Key,1048791
Gilgamesh 2,Adamantite,1048791
Abductor,Walse Tower Key,1048791
Carbunkle,Ifrit's Fire,1048791
Gilgamesh 4,2nd Tablet,1048791
"Triton, Neregeid & Phobos",Bracelet,1048791
Omniscient,1st Tablet,1048791
Leviathan,Moogle Suit,1048791
Stalker,Falls Page,1048791
GoGo,Trench Page,1048791
Bahamut,Pyramid Page,1048791
Ifrit,Steamship Key,1048791
Crayclaw,Shrine Page,1048791
