crystal,seed
BlueMage,9107864
Monk,9107864
MysticKnight,9107864
Bard,9107864
Thief,9107864
Chemist,9107864
Mediator,9107864
Hunter,9107864
TimeMage,9107864
Geomancer,9107864
Dancer,9107864
Knight,9107864
Samurai,9107864
Summoner,3107008
Bard,3107008
RedMage,3107008
Knight,3107008
Mimic,3107008
Ninja,3107008
TimeMage,3107008
WhiteMage,3107008
Summoner,4179542
BlackMage,4179542
WhiteMage,4179542
Mimic,4179542
Geomancer,4179542
Thief,2994753
Freelancer,2994753
Berserker,2994753
MysticKnight,2994753
Summoner,2994753
Dancer,2994753
WhiteMage,2994753
Mediator,2994753
Chemist,2994753
TimeMage,2994753
Mimic,2994753
Monk,2994753
RedMage,2994753
Ninja,2994753
BlueMage,2994753
Chemist,4055929
Mimic,4055929
Dancer,4055929
Monk,4055929
Hunter,4055929
Dragoon,4055929
WhiteMage,4055929
Mediator,4055929
BlackMage,4055929
Knight,4055929
Thief,4055929
Samurai,4055929
MysticKnight,4055929
Freelancer,4055929
BlueMage,4055929
Berserker,4055929
TimeMage,4055929
Bard,4055929
Mimic,3458032
BlackMage,3458032
Summoner,3458032
Berserker,3458032
BlueMage,3458032
Samurai,3458032
Hunter,3458032
Monk,3458032
TimeMage,3458032
Ninja,3458032
Chemist,3458032
Knight,3458032
Bard,3458032
Mediator,3458032
RedMage,3458032
Dancer,3458032
Freelancer,3458032
Summoner,6840370
Dragoon,6840370
Monk,6840370
Dancer,6840370
WhiteMage,6840370
RedMage,6840370
Freelancer,6840370
Mediator,6840370
BlueMage,6840370
Knight,6840370
Hunter,6840370
TimeMage,6840370
Thief,6840370
TimeMage,3668666
Knight,3668666
Berserker,3668666
Mediator,3668666
Hunter,3668666
Monk,3668666
Bard,3668666
Mimic,3668666
BlackMage,3668666
Chemist,4377186
RedMage,4377186
Dragoon,4377186
Knight,4377186
Hunter,4377186
Dancer,4377186
Monk,4377186
BlueMage,4377186
Mimic,4377186
Bard,4377186
Samurai,4377186
Thief,4377186
Summoner,3418669
RedMage,3418669
Ninja,3418669
Berserker,3418669
Mediator,3418669
Chemist,3418669
Freelancer,3418669
Bard,3418669
Monk,3418669
Thief,3418669
Samurai,3418669
Mediator,3167951
Ninja,3167951
WhiteMage,3167951
Geomancer,3167951
Monk,3167951
Samurai,3167951
Mimic,3167951
Bard,3167951
BlackMage,3167951
Dragoon,3167951
Summoner,3167951
TimeMage,3167951
Hunter,3167951
RedMage,3167951
Thief,3167951
Chemist,3167951
Freelancer,3167951
Knight,3167951
BlueMage,1293964
Ninja,1293964
Dancer,1293964
Dragoon,1293964
Freelancer,1293964
Geomancer,1293964
Knight,1293964
MysticKnight,1293964
BlackMage,1293964
Hunter,1293964
Berserker,1293964
WhiteMage,1293964
Bard,1293964
Thief,1293964
Mimic,1293964
Summoner,1293964
Mediator,1293964
RedMage,1293964
Samurai,1293964
TimeMage,1293964
Mimic,8475223
Berserker,8475223
Knight,8475223
MysticKnight,8475223
Samurai,8475223
Geomancer,8475223
BlackMage,8475223
TimeMage,8475223
RedMage,640446
Bard,640446
BlueMage,640446
BlackMage,640446
Hunter,640446
Summoner,640446
Mediator,640446
Mimic,640446
Dancer,640446
TimeMage,640446
Geomancer,640446
WhiteMage,640446
Dragoon,640446
Chemist,640446
Freelancer,640446
Thief,640446
Samurai,640446
MysticKnight,640446
Mimic,5899694
RedMage,5899694
Hunter,5899694
BlueMage,5899694
Dancer,5899694
Bard,5899694
Summoner,5899694
Freelancer,5899694
WhiteMage,5899694
TimeMage,5899694
Berserker,5899694
Monk,5899694
Samurai,5899694
Thief,5899694
Knight,5899694
Mediator,5899694
Chemist,5899694
MysticKnight,5899694
Dragoon,5899694
BlackMage,5899694
Chemist,642414
Hunter,642414
Dragoon,642414
Samurai,642414
Geomancer,642414
BlueMage,642414
BlackMage,642414
Thief,642414
Ninja,642414
Berserker,642414
Freelancer,642414
Bard,642414
WhiteMage,642414
Dancer,642414
Monk,642414
Summoner,642414
RedMage,642414
Mimic,642414
Mediator,642414
Dancer,6920001
Samurai,6920001
Bard,6920001
Summoner,6920001
Berserker,6920001
MysticKnight,6920001
Ninja,6920001
TimeMage,6920001
BlueMage,6920001
Geomancer,6920001
BlackMage,6920001
Knight,6920001
BlackMage,6046686
Mimic,6046686
Knight,6046686
WhiteMage,6046686
Thief,6046686
BlueMage,6046686
Dancer,6046686
Freelancer,6046686
Geomancer,6046686
MysticKnight,6046686
RedMage,6046686
Samurai,6046686
Mediator,6046686
Monk,6046686
Hunter,6046686
Summoner,6046686
Chemist,6046686
TimeMage,7063494
Monk,7063494
Summoner,7063494
Dancer,7063494
Dragoon,7063494
Chemist,7063494
BlueMage,7063494
RedMage,7063494
WhiteMage,7063494
BlackMage,1972662
Freelancer,1972662
Hunter,1972662
Bard,1972662
Mediator,1972662
Thief,1972662
BlueMage,1972662
Monk,1972662
