boss,key,seed
Byblos,Adamantite,9107864
WingRaptor,4th Tablet,9107864
Karlabos,Falls Page,9107864
Siren,Walse Tower Key,9107864
Sandworm,Canal Key,9107864
AdamanTiMi,Ifrit's Fire,9107864
Sol Cannon,Submarine Key,9107864
Titan,2nd Tablet,9107864
Gilgamesh 1,Steamship Key,9107864
Tyrasaurus,1st Tablet,9107864
Gilgamesh 3 & Enkidou,3rd Tablet,9107864
Guardians,Trench Page,9107864
Carbunkle,Moogle Suit,9107864
Gilgamesh 4,Big Bridge Key,9107864
Antlion,Hiryuu Call,9107864
Merugene,Sandworm Bait,9107864
Odin,Anti Barrier,9107864
Leviathan,Pyramid Page,9107864
Ifrit,Elder Branch,9107864
Shiva,Bracelet,9107864
Karlabos,Moogle Suit,3107008
LiquiFlame,Anti Barrier,3107008
Sergeant & DeathClaw,Submarine Key,3107008
AdamanTiMi,Pyramid Page,3107008
ArchaeAvis,1st Tablet,3107008
Puroboros,Elder Branch,3107008
Titan,Steamship Key,3107008
Gilgamesh 2,Bracelet,3107008
HiryuuPlant,3rd Tablet,3107008
Atmos,Falls Page,3107008
Carbunkle,Trench Page,3107008
Merugene,Shrine Page,3107008
Odin,Ifrit's Fire,3107008
"Triton, Neregeid & Phobos",Canal Key,3107008
Omniscient,Walse Tower Key,3107008
Minotauros,Sandworm Bait,3107008
GoGo,Big Bridge Key,3107008
Bahamut,4th Tablet,3107008
Ifrit,2nd Tablet,3107008
Crayclaw,Adamantite,3107008
Byblos,Adamantite,4179542
Siren,2nd Tablet,4179542
Magisa & Forza,Walse Tower Key,4179542
LiquiFlame,Submarine Key,4179542
Chim.Brain,1st Tablet,4179542
Puroboros,Elder Branch,4179542
Gilgamesh 2,Shrine Page,4179542
Abductor,Sandworm Bait,4179542
Atmos,Hiryuu Call,4179542
Guardians,Canal Key,4179542
Carbunkle,Ifrit's Fire,4179542
Gilgamesh 4,Trench Page,4179542
Merugene,Bracelet,4179542
Omniscient,Anti Barrier,4179542
Minotauros,Big Bridge Key,4179542
Leviathan,4th Tablet,4179542
GoGo,Pyramid Page,4179542
Ifrit,Moogle Suit,4179542
Shiva,Falls Page,4179542
Crayclaw,3rd Tablet,4179542
WingRaptor,Anti Barrier,2994753
Karlabos,Falls Page,2994753
Siren,Moogle Suit,2994753
Sandworm,2nd Tablet,2994753
AdamanTiMi,Elder Branch,2994753
Sol Cannon,Canal Key,2994753
ArchaeAvis,Trench Page,2994753
Chim.Brain,Steamship Key,2994753
Titan,Shrine Page,2994753
Abductor,Submarine Key,2994753
HiryuuPlant,Big Bridge Key,2994753
Gilgamesh 3 & Enkidou,3rd Tablet,2994753
Atmos,4th Tablet,2994753
Guardians,Bracelet,2994753
Carbunkle,Hiryuu Call,2994753
Antlion,Adamantite,2994753
Merugene,Ifrit's Fire,2994753
Omniscient,Walse Tower Key,2994753
Minotauros,Sandworm Bait,2994753
Ifrit,Pyramid Page,2994753
Byblos,Elder Branch,4055929
Magisa & Forza,3rd Tablet,4055929
Galura,Pyramid Page,4055929
LiquiFlame,1st Tablet,4055929
Sergeant & DeathClaw,Bracelet,4055929
Sandworm,Falls Page,4055929
AdamanTiMi,Hiryuu Call,4055929
Sol Cannon,Walse Tower Key,4055929
ArchaeAvis,Shrine Page,4055929
Titan,2nd Tablet,4055929
Gilgamesh 2,4th Tablet,4055929
Tyrasaurus,Steamship Key,4055929
Guardians,Trench Page,4055929
Carbunkle,Moogle Suit,4055929
Antlion,Canal Key,4055929
Merugene,Ifrit's Fire,4055929
"Triton, Neregeid & Phobos",Sandworm Bait,4055929
Minotauros,Submarine Key,4055929
Leviathan,Big Bridge Key,4055929
Bahamut,Anti Barrier,4055929
Byblos,Sandworm Bait,3458032
WingRaptor,3rd Tablet,3458032
Magisa & Forza,Big Bridge Key,3458032
LiquiFlame,Moogle Suit,3458032
Sergeant & DeathClaw,Elder Branch,3458032
ArchaeAvis,Walse Tower Key,3458032
Puroboros,Anti Barrier,3458032
Gilgamesh 1,Trench Page,3458032
Tyrasaurus,Bracelet,3458032
HiryuuPlant,2nd Tablet,3458032
Carbunkle,Falls Page,3458032
Gilgamesh 4,Pyramid Page,3458032
Antlion,Canal Key,3458032
Odin,Steamship Key,3458032
"Triton, Neregeid & Phobos",Ifrit's Fire,3458032
Omniscient,Hiryuu Call,3458032
Minotauros,1st Tablet,3458032
Leviathan,4th Tablet,3458032
Shiva,Shrine Page,3458032
Crayclaw,Submarine Key,3458032
Byblos,Hiryuu Call,6840370
Karlabos,Big Bridge Key,6840370
Siren,1st Tablet,6840370
Magisa & Forza,Walse Tower Key,6840370
Sergeant & DeathClaw,Pyramid Page,6840370
AdamanTiMi,Canal Key,6840370
Sol Cannon,Sandworm Bait,6840370
ArchaeAvis,3rd Tablet,6840370
Abductor,Trench Page,6840370
