check,value
12 Kuzar Events Apollo's Harp,2.5
12 Kuzar Events Assassin,2.6363636363636362
12 Kuzar Events Earth Bell,2.5454545454545454
12 Kuzar Events Excalibur,2.5384615384615383
12 Kuzar Events Flame Whip,2.25
12 Kuzar Events Holy Lance,2.5714285714285716
12 Kuzar Events Masamune,2.5
12 Kuzar Events Rune Axe,2.6153846153846154
12 Kuzar Events Sage's Staff,2.3846153846153846
12 Kuzar Events Sasuke,2.4545454545454546
12 Kuzar Events Wizard Rod,2.6666666666666665
12 Kuzar Events Yoichi Bow,2.3
"5 potions in Wind Shrine, bottom left guy Potion",2.6363636363636362
"8 potions, Pirate after Torna Canal Key acquired Potion",1.6666666666666667
Abductor New,4.0
AdamanTiMi New,4.0
Aegis Shield Chest Aegis Shield,3.0
Ancient Library Chest Ether,1.8
Ancient Library Chest Phoenix Down,2.5
Ancient Library Chest Stealth Suit,1.8
Antlion New,4.0
ArchaeAvis New,4.0
Atmos New,4.0
Bahamut Bahmut,2.2142857142857144
Bahamut New,4.0
Bal Castle Chest Angel Gwn,2.8181818181818183
Bal Castle Chest Exit,2.9
Bal Castle Chest Hero Drink,2.142857142857143
Barrier Tower Chest 18000,2.4545454545454546
Barrier Tower Chest 9000,2.642857142857143
Barrier Tower Chest Drain Sword,2.6
Barrier Tower Chest Gold Hairpin,2.4
Beginner's House Chest 100,2.5714285714285716
Beginner's House Chest Ether,2.4
Beginner's House Chest Leather Shoes,2.3
Beginner's House Chest Phoenix Down,2.875
Beginner's House Chest Potion,2.9166666666666665
Beginner's House Chest Tent,1.6363636363636365
Black Choco Crystals Bard,2.2
Black Choco Crystals Hunter,2.2142857142857144
Brave Blade Brave Blade,2.0
Byblos New,4.0
Carbuncle Crbnkl,2.4444444444444446
Carbunkle New,4.0
Carwen Barrel Antidote,1.7777777777777777
Carwen Box Ice Rod,2.0
Carwen Pot 1000,2.0
Chancellor at Tycoon Healing Staff,2.7058823529411766
Chicken Knife Chicken Knife,2.3333333333333335
Chim.Brain New,4.0
CornaJar at Kelb CornaJar,2.6666666666666665
Crayclaw New,4.0
Earth Crystal Chemist,2.1666666666666665
Earth Crystal Dancer,2.625
Earth Crystal Dragoon,2.4166666666666665
Earth Crystal Samurai,2.5714285714285716
Exdeath's Castle Chest 8000,2.272727272727273
Exdeath's Castle Chest 9900,2.25
Exdeath's Castle Chest DblLance,2.1
Exdeath's Castle Chest Diamond Shield,2.6666666666666665
Exdeath's Castle Chest Elixir,2.2
Exdeath's Castle Chest Ether,2.0
