check,value
12 Kuzar Events Apollo's Harp,2.0
12 Kuzar Events Earth Bell,3.0
12 Kuzar Events Flame Whip,3.0
12 Kuzar Events Holy Lance,3.0
12 Kuzar Events Sage's Staff,3.0
12 Kuzar Events Wizard Rod,4.0
"5 potions in Wind Shrine, bottom left guy Potion",4.0
"8 potions, Pirate after Torna Canal Key acquired Potion",2.0
Aegis Shield Chest Aegis Shield,2.0
Antlion New,4.0
Atmos New,4.0
Bahamut New,4.0
Bal Castle Chest Angel Gwn,3.0
Bal Castle Chest Exit,2.0
Bal Castle Chest Hero Drink,3.0
Barrier Tower Chest 18000,3.0
Barrier Tower Chest 9000,2.0
Barrier Tower Chest Drain Sword,1.0
Barrier Tower Chest Gold Hairpin,2.0
Beginner's House Chest 100,2.0
Beginner's House Chest Leather Shoes,2.0
Black Choco Crystals Hunter,2.0
Byblos New,4.0
Carwen Barrel Antidote,2.0
Carwen Box Ice Rod,2.0
Carwen Pot 1000,4.0
Earth Crystal Chemist,2.0
Earth Crystal Dancer,2.0
Earth Crystal Samurai,2.0
Exdeath's Castle Chest DblLance,3.0
Exdeath's Castle Chest Elixir,1.0
Exdeath's Castle Chest Ether,1.0
Exdeath's Castle Chest Kotetsu,1.0
Exdeath's Castle Chest Partisan,2.0
Exdeath's Castle Chest Pinwheel,3.0
Fire Crystal Geomancer,2.0
Fire Crystal Mediator,1.0
Fire Crystal Ninja,2.0
Flying Lonka Ruins Chest Ancient Sword,1.0
Flying Lonka Ruins Chest Cabin,4.0
Flying Lonka Ruins Chest Ether,2.0
Flying Lonka Ruins Chest Full Moon,2.0
Flying Lonka Ruins Chest Golden Armor,3.0
Flying Lonka Ruins Chest Golden Shield,2.0
Flying Lonka Ruins Chest Power Wrist,2.0
Fork Tower L. Chest Wonder Wand,1.0
Fork Tower R. Chest Defender Sword,4.0
"Fork Tower, two Magics Flare",2.0
Gilgamesh 2 New,4.0
Gilgamesh 3 & Enkidou New,4.0
GoGo New,4.0
Great Trench Chest Flame Ring,2.0
Hero Song from Crescent Town Hero,2.0
Hiryuu Valley Chest Air Blade,4.0
Ifrit New,4.0
Istory Falls Chest Aegis Shield,4.0
Istory Falls Chest Air Lance,3.0
Istory Falls Chest Ether,1.0
Istory Falls Chest Giant's Axe,3.0
Istory Falls Chest Guard Ring,2.0
Istory Falls Chest TurtleShell,4.0
Karnak Castle Chest 2000,3.0
Karnak Castle Chest Elf Cape,3.0
Karnak Castle Chest Elixir,2.5
Karnak Castle Chest Guardian,4.0
Karnak Castle Chest Gungnir,4.0
Karnak Castle Chest Ribbon,3.0
Karnak Castle Chest Shuriken,3.0
Karnak Castle Chest Thunder Scroll,3.0
Karnak Town Barrel Fire Rod,2.0
Leviathan New,4.0
Lone Wolf Chest Thunder Whip,3.0
Love Song at Istory Love,2.0
Magisa & Forza Mythril Helm,3.0
Merugene New,4.0
Mirage Vest from Chocobo Tour/Mirage Village Mirage Vest,1.0
Moat Item Epee,2.0
Moogle Cave Chest 4400,3.0
Moogle Village Chest 1,4.0
Moogle Village Chest Elf Cape,2.0
Mua Forest Chest 2500,3.0
Mua Forest Chest Cabin,1.0
Mua Forest Chest Flametongue,2.0
Mua Forest Chest Morning Star,2.0
Mua Forest Chest Phoenix Down,2.0
Mua Forest Chest Soot,3.0
Mua Town Barrel Guardian,1.0
North Mountain Chest Soft,1.0
Odin Odin,2.0
Phoenix Tower Pot 10000,2.0
Phoenix Tower Pot 15000,2.0
Phoenix Tower Pot 20000,1.0
Phoenix Tower Pot 25000,3.0
Phoenix Tower Pot 5000,3.0
Phoenix Tower Pot Avis Killer,1.0
Phoenix Tower Pot Phoenix Down,4.0
Power Song from Crescent Town Power,1.0
Pyramid Chest 10000,2.0
Pyramid Chest 12000,4.0
Pyramid Chest 9000,3.0
Pyramid Chest Black Robe,2.0
Pyramid Chest Cabin,2.0
Pyramid Chest Crystal Armor,3.0
Pyramid Chest Cursed Ring,2.0
Pyramid Chest DarkMatter,2.0
Pyramid Chest DarkSuit,2.0
Pyramid Chest Earth Hammer,4.0
Pyramid Chest Elixir,3.0
Pyramid Chest Flame Shield,1.0
Pyramid Chest Ice Shield,4.0
Pyramid Chest Ribbon,3.0
Pyramid Chest Thornlet,3.0
Pyramid Chest White Robe,3.0
Pyramid Top Pyramid Tablet,1.0
Requiem Song at Kelb Requiem,4.0
Ribbon from girl in Rugor Ribbon,1.0
Rift (Castle) Chest ManEater,3.0
Rift (Castle) Chest Rainbow Dress,3.0
Rift (Castle) Chest Red Shoes,2.0
Rift (Castle) Chest Running Shoes,3.0
Rift (Cave) Chest Angel Ring,2.0
Rift (Forest) Chest DragonFang,1.0
Rift (Forest) Chest Ribbon,3.0
Rift (Ruins) Chest DarkMatter,2.0
Rift (Ruins) Chest Elixir,1.0
Rift (Ruins) Chest Ether,2.0
Sandworm New,4.0
Sergeant & DeathClaw New,4.0
Ship Graveyard Chest Antidote,1.0
Ship Graveyard Chest Potion,4.0
Siren New,4.0
Sol Cannon New,4.0
Solitary Island Chest 9000,3.0
Solitary Island Chest BeastKiller,2.0
Solitary Island Chest Circlet,3.0
Solitary Island Chest Crystal Helm,1.0
Solitary Island Chest DarkMatter,2.0
Solitary Island Chest DragonFang,3.0
Solitary Island Chest Elixir,4.0
Solitary Island Chest Ether,4.0
Solitary Island Chest Guard Ring,4.0
Solitary Island Chest Hi-Potion,3.0
Solitary Island Chest Protect Drink,3.0
Solitary Island Chest RisingSun,2.0
Speed Song at Surgate Speed,2.0
Stalker New,4.0
Steamship Chest Cabin,2.0
Steamship Chest Elixir,4.0
Steamship Chest GrnBeret,4.0
Steamship Chest Mythril Glove,2.0
Syldra Syldra,2.0
Temptation Song at Lix Charm,1.0
The Void Chest Ragnarok,1.0
Titan New,4.0
Titan Titan,2.0
Toad Event Toad,2.0
"Triton, Neregeid & Phobos New",4.0
Tule Barrel Potion,2.0
Tule Box Leather Shoes,2.0
Tule Box Tent,2.0
Tule Bush Phoenix Down,3.0
Tycoon Castle Barrel Cabin,2.0
