shop_name,value
Bal/Kelb Armor,2.375
Bal/Kelb Weapon,2.875
Carwen Armor,2.25
Carwen Inn,2.25
Carwen Magic,3.125
Carwen Weapon,2.2
Common World 1 Inn,2.0
Common World 2 Inn 1,2.625
Common World 2 Inn 2,2.3333333333333335
Common World 2 Magic 1,2.0
Common World 2 Magic 2,2.0
Common World 2 Magic 3,2.0
Crescent Armor,2.0
Crescent Weapon,1.75
Dwarf Armor,2.0
Dwarf Magic,1.5
Dwarf Weapon,2.0
Istory Relic,2.0
Jacole Armor,2.0
Jacole Weapon,1.5
Karnak Armor,2.1666666666666665
Karnak Magic 1,2.375
Karnak Magic 2,2.0
Karnak Magic 3,2.3333333333333335
Karnak Weapon 1,2.5
Karnak Weapon 2,2.25
Kelb Armor,1.625
Kelb Weapon,2.1666666666666665
Lix Armor,2.0
Lix Guild,2.25
Lix Inn,2.25
Lix Magic,2.0
Mirage Armor,2.6
Mirage Guild,2.625
Mirage Inn 1,2.75
Mirage Inn 2,2.0
Mirage Magic 1,1.875
Mirage Magic 2,2.0
Mirage Relic,1.6666666666666667
Mirage Weapon,3.125
Mua Armor,2.142857142857143
Mua Magic 1,2.2857142857142856
Mua Magic 2,1.6666666666666667
Mua Magic 3,2.375
Mua Weapon,1.5714285714285714
Rugor Armor,2.0
Rugor Weapon,2.125
Surgate Armor,2.0
Surgate Weapon,2.0
Tule Armor,2.0
Tule Inn,1.375
Tule Magic,2.125
Tule Weapon,2.0
Worus Armor,2.0
Worus Magic,1.5
Worus Weapon,2.0
