boss,key,seed
WingRaptor,Submarine Key,9108847
Karlabos,Big Bridge Key,9108847
Magisa & Forza,3rd Tablet,9108847
Galura,Steamship Key,9108847
LiquiFlame,Elder Branch,9108847
AdamanTiMi,1st Tablet,9108847
ArchaeAvis,Mirage Radar,9108847
Chim.Brain,4th Tablet,9108847
Puroboros,Adamantite,9108847
Shiva,Ifrit's Fire,9108847
Crayclaw,Walse Tower Key,9108847
Gilgamesh 1,Hiryuu Call,9108847
Tyrasaurus,Moogle Suit,9108847
Abductor,Shrine Page,9108847
HiryuuPlant,Anti Barrier,9108847
Guardians,2nd Tablet,9108847
Carbunkle,Trench Page,9108847
Gilgamesh 4,Sandworm Bait,9108847
Odin,Pyramid Page,9108847
Omniscient,Falls Page,9108847
Minotauros,Bracelet,9108847
