shop_name,value
Bal/Kelb Armor,1.75
Bal/Kelb Weapon,2.0
Carwen Armor,1.8333333333333333
Carwen Inn,2.0
Carwen Magic,2.3333333333333335
Carwen Weapon,2.0
Common World 1 Inn,2.0
Common World 2 Inn 1,3.5
Common World 2 Inn 2,1.3333333333333333
Common World 2 Magic 1,2.0
Common World 2 Magic 2,1.5
Common World 2 Magic 3,1.875
Crescent Armor,2.0
Crescent Weapon,2.0
Dwarf Armor,2.0
Dwarf Magic,1.875
Dwarf Weapon,2.4285714285714284
Istory Relic,2.0
Jacole Armor,2.0
Jacole Weapon,2.0
Karnak Armor,2.0
Karnak Magic 1,2.0
Karnak Magic 2,1.75
Karnak Magic 3,1.75
Karnak Weapon 1,2.1666666666666665
Karnak Weapon 2,2.0
Kelb Armor,2.0
Kelb Weapon,2.375
Lix Armor,3.0
Lix Guild,2.142857142857143
Lix Inn,1.75
Lix Magic,2.0
Mirage Armor,2.125
Mirage Guild,2.125
Mirage Inn 1,1.5
Mirage Inn 2,2.1666666666666665
Mirage Magic 1,2.375
Mirage Magic 2,1.75
Mirage Relic,2.25
Mirage Weapon,2.142857142857143
Mua Armor,1.6666666666666667
Mua Magic 1,1.75
Mua Magic 2,2.142857142857143
Mua Magic 3,2.0
Mua Weapon,2.5
Rugor Armor,2.375
Rugor Weapon,2.1666666666666665
Surgate Armor,1.8
Surgate Weapon,1.7142857142857142
Tule Armor,3.0
Tule Inn,2.5
Tule Magic,2.0
Tule Weapon,2.5
Worus Armor,2.1666666666666665
Worus Magic,2.0
Worus Weapon,2.25
