shop_name,value
Bal/Kelb Armor,2.0
Bal/Kelb Weapon,2.25
Carwen Armor,2.142857142857143
Carwen Inn,2.375
Carwen Magic,2.25
Carwen Weapon,1.5
Common World 1 Inn,1.6666666666666667
Common World 2 Inn 1,2.5
Common World 2 Inn 2,2.75
Common World 2 Magic 1,1.5714285714285714
Common World 2 Magic 2,1.6666666666666667
Common World 2 Magic 3,2.0
Crescent Armor,2.5
Crescent Weapon,2.2
Dwarf Armor,1.75
Dwarf Magic,2.857142857142857
Dwarf Weapon,1.5
Istory Relic,2.0
Jacole Armor,1.8
Jacole Weapon,2.0
Karnak Armor,2.0
Karnak Magic 1,2.25
Karnak Magic 2,2.5
Karnak Magic 3,1.3333333333333333
Karnak Weapon 1,2.0
Karnak Weapon 2,2.2857142857142856
Kelb Armor,1.6666666666666667
Kelb Weapon,2.0
Lix Armor,2.0
Lix Guild,2.0
Lix Inn,1.75
Lix Magic,2.4
Mirage Armor,2.0
Mirage Guild,2.1666666666666665
Mirage Inn 1,2.1666666666666665
Mirage Inn 2,2.0
Mirage Magic 1,2.25
Mirage Magic 2,1.875
Mirage Relic,2.5
Mirage Weapon,2.4444444444444446
Mua Armor,2.0
Mua Magic 1,1.5
Mua Magic 2,2.0
Mua Magic 3,2.125
Mua Weapon,2.5
Rugor Armor,2.0
Rugor Weapon,2.0
Surgate Armor,1.875
Surgate Weapon,2.2
Tule Armor,2.25
Tule Inn,2.0
Tule Magic,1.5
Tule Weapon,2.125
Worus Armor,1.6666666666666667
Worus Magic,2.1666666666666665
Worus Weapon,2.25
