boss,key,seed
Byblos,1st Tablet,3806906
Magisa & Forza,Anti Barrier,3806906
Sandworm,Ifrit's Fire,3806906
Sol Cannon,Walse Tower Key,3806906
Titan,Shrine Page,3806906
Gilgamesh 2,Submarine Key,3806906
Tyrasaurus,2nd Tablet,3806906
HiryuuPlant,Falls Page,3806906
Gilgamesh 3 & Enkidou,Moogle Suit,3806906
Guardians,Canal Key,3806906
Carbunkle,Hiryuu Call,3806906
Gilgamesh 4,Sandworm Bait,3806906
Antlion,Pyramid Page,3806906
Merugene,Trench Page,3806906
Odin,Adamantite,3806906
Omniscient,4th Tablet,3806906
Minotauros,Steamship Key,3806906
Stalker,3rd Tablet,3806906
Bahamut,Elder Branch,3806906
Shiva,Big Bridge Key,3806906
