check,value
12 Kuzar Events Assassin,3.0
12 Kuzar Events Earth Bell,4.0
12 Kuzar Events Excalibur,2.0
12 Kuzar Events Flame Whip,3.0
12 Kuzar Events Holy Lance,3.0
12 Kuzar Events Sage's Staff,2.0
12 Kuzar Events Sasuke,2.0
12 Kuzar Events Wizard Rod,3.0
12 Kuzar Events Yoichi Bow,0.0
Abductor New,4.0
AdamanTiMi New,4.0
Aegis Shield Chest Aegis Shield,4.0
ArchaeAvis New,4.0
Atmos New,4.0
Bal Castle Chest Exit,2.0
Bal Castle Chest Hero Drink,2.0
Barrier Tower Chest 18000,4.0
Barrier Tower Chest 9000,2.0
Barrier Tower Chest Drain Sword,4.0
Barrier Tower Chest Gold Hairpin,4.0
Beginner's House Chest 100,2.0
Beginner's House Chest Ether,3.0
Beginner's House Chest Leather Shoes,4.0
Beginner's House Chest Potion,1.0
Beginner's House Chest Tent,4.0
Black Choco Crystals Hunter,1.0
Brave Blade Brave Blade,4.0
Carbuncle Crbnkl,2.0
Carwen Barrel Antidote,1.0
Chancellor at Tycoon Healing Staff,2.0
Chicken Knife Chicken Knife,3.0
Chim.Brain New,4.0
CornaJar at Kelb CornaJar,3.0
Crayclaw New,4.0
Earth Crystal Dragoon,2.0
Earth Crystal Samurai,2.0
Exdeath's Castle Chest 9900,1.0
Exdeath's Castle Chest DblLance,3.0
Exdeath's Castle Chest Gale Bow,2.0
Exdeath's Castle Chest IceBrand,2.0
Exdeath's Castle Chest Kotetsu,4.0
Exdeath's Castle Chest Partisan,2.0
Exdeath's Castle Chest Pinwheel,2.0
Fire Crystal Mediator,4.0
Fire Crystal Ninja,2.0
Flying Lonka Ruins Chest Ancient Sword,2.0
Flying Lonka Ruins Chest Cabin,2.0
Flying Lonka Ruins Chest Golden Shield,0.0
Flying Lonka Ruins Chest Hi-Potion,2.0
Flying Lonka Ruins Chest Phoenix Down,4.0
Fork Tower R. Chest Defender Sword,1.0
Fork Tower R. Chest Hi-Potion,3.0
Galura New,4.0
Gilgamesh 1 New,4.0
GoGo New,4.0
Great Trench Chest DragonFang,4.0
Great Trench Chest Ether,3.0
Hero Song from Crescent Town Hero,2.0
Hiryuu Valley Chest Air Blade,1.0
Hiryuu Valley Chest Cabin,2.0
Hiryuu Valley Chest Coronet,2.0
Hiryuu Valley Skull Bone Mail,4.0
Ifrit Ifrit,2.0
Ifrit New,4.0
Istory Falls Chest 12000,3.0
Istory Falls Chest Air Lance,1.0
Istory Falls Chest Giant's Axe,3.0
Istory Falls Chest Guard Ring,2.0
Istory Falls Chest Phoenix Down,2.0
Istory Falls Chest RuneEdge,4.0
Istory Falls Chest Wall Ring,2.0
Karlabos New,4.0
Karnak Castle Chest 2000,2.0
Karnak Castle Chest Elf Cape,3.0
Karnak Castle Chest Elixir,2.0
Karnak Castle Chest Guardian,3.0
Karnak Castle Chest Gungnir,3.0
Karnak Castle Chest Ribbon,1.0
Karnak Castle Chest Shuriken,2.0
Karnak Castle Chest Thunder Scroll,3.0
Karnak Town Barrel Fire Rod,3.0
Leviathan Esper Levia,2.0
Leviathan New,4.0
LiquiFlame New,4.0
Magisa & Forza Mythril Helm,4.0
Mirage Vest from Chocobo Tour/Mirage Village Mirage Vest,2.0
Moogle Village Chest Elf Cape,4.0
Moogle Village Chest Ether,4.0
Mua Forest Chest Elixir,2.0
Mua Forest Chest Giant Drink,2.0
Mua Forest Chest Phoenix Down,2.0
Mua Forest Chest Soot,2.0
North Mountain Chest Soft,1.0
Phoenix Phenix,1.0
Phoenix Tower Pot 10000,1.0
Phoenix Tower Pot 15000,1.0
Phoenix Tower Pot 20000,1.0
Phoenix Tower Pot 25000,1.0
Phoenix Tower Pot 5000,1.0
Phoenix Tower Pot Avis Killer,1.0
Phoenix Tower Pot Phoenix Down,1.0
Pirate's Cave Chest Leather Cap,1.0
Pirate's Cave Chest Tent,2.0
Power Song from Crescent Town Power,2.0
Puroboros New,4.0
Pyramid Chest 10000,2.0
Pyramid Chest 12000,2.0
Pyramid Chest 8000,2.0
Pyramid Chest 9000,2.0
Pyramid Chest Black Robe,3.0
Pyramid Chest Cabin,1.0
Pyramid Chest Crystal Armor,1.0
Pyramid Chest Cursed Ring,3.0
Pyramid Chest DarkMatter,3.0
Pyramid Chest DarkSuit,5.0
