check,reward,mib,seed
Wind Crystal Knight,Magus,,3806906
Wind Crystal BlueMage,Chocob->Titan->Golem->Odin,,3806906
Wind Crystal BlackMage,Slow->Stop->Slow2,,3806906
Wind Crystal WhiteMage,Brave Blade,,3806906
Wind Crystal Monk,Ice Sword Magic Progressive,,3806906
Wind Crystal Thief,Cure White Magic Progressive,,3806906
Fire Crystal Mediator,Genji Helm,,3806906
Fire Crystal Geomancer,Black Ability Progressive,,3806906
Fire Crystal Ninja,Slash,,3806906
Black Choco Crystals Bard,Remora->Shoat->Levia,,3806906
Black Choco Crystals Hunter,Cabin,,3806906
Earth Crystal Samurai,Earth Bell,,3806906
Earth Crystal Dragoon,Control,,3806906
Earth Crystal Chemist,Fire Sword Magic Progressive,,3806906
Earth Crystal Dancer,MysticKnight Job Crystal,,3806906
Leviathan Esper Levia,DarkMatter,,3806906
Titan Titan,Life->Life2,,3806906
Carbuncle Crbnkl,Catch,,3806906
Syldra Syldra,Sleep->Bio->Flare Sword,,3806906
Odin Odin,Dimen Ability Progressive,,3806906
Phoenix Phenix,Cabin,,3806906
Bahamut Bahmut,Red1->Red2->Red3->X-Magic,,3806906
Life (or Strength) Song from Crescent Town bard Vitality,FrogSong->TinySong->MoonFlut,,3806906
Temptation Song at Lix Charm,Bard's Surplice,,3806906
Love Song at Istory Love,Aero Blue Magic Progressive,,3806906
Requiem Song at Kelb Requiem,Murasume,,3806906
Speed Song at Surgate Speed,ManEater,,3806906
Magic Song at Ancient Library Magic,Animals->Aim->X-Fight,,3806906
Power Song from Crescent Town Power,Hero Drink,,3806906
Hero Song from Crescent Town Hero,Dance,,3806906
"Fork Tower, two Magics Holy",Summoner Job Crystal,,3806906
"Fork Tower, two Magics Flare",Antdt->Image->Heal,,3806906
Meteo Meteo,Fire Sword Magic Progressive,,3806906
"5 potions in Wind Shrine, bottom left guy Potion",Aero Blue Magic Progressive,,3806906
"8 potions, Pirate after Torna Canal Key acquired Potion",Condemn->Roulette->AquaRake,,3806906
Chancellor at Tycoon Healing Staff,Healing Staff,,3806906
Magisa & Forza Mythril Helm,Artemis Bow,,3806906
CornaJar at Kelb CornaJar,White Robe,,3806906
Ribbon from girl in Rugor Ribbon,????->Fusion->Exploder->DrkShock,,3806906
Mirage Vest from Chocobo Tour/Mirage Village Mirage Vest,Thunder Bow,,3806906
12 Kuzar Events Assassin,Guardian,,3806906
12 Kuzar Events Apollo's Harp,White Ability Progressive,,3806906
12 Kuzar Events Excalibur,Jump,,3806906
12 Kuzar Events Flame Whip,Apollo's Harp,,3806906
12 Kuzar Events Earth Bell,Excailbur,,3806906
12 Kuzar Events Holy Lance,Venom Axe,,3806906
12 Kuzar Events Masamune,MgcSword Ability Progressive,,3806906
12 Kuzar Events Wizard Rod,Ogre Killer,,3806906
12 Kuzar Events Rune Axe,Flash->Time Slip->DethClaw,,3806906
12 Kuzar Events Sage's Staff,Silver Harp,,3806906
12 Kuzar Events Sasuke,Equip Spears,,3806906
12 Kuzar Events Yoichi Bow,OmegaMedl,,3806906
Shiva Shiva,Charm->Hero@Song,,3806906
Ifrit Ifrit,Lamia's Harp,,3806906
Water Crystal Samurai,Regen->Float->Reset->Xzone,,3806906
Water Crystal Berserker,Diamond Shield,,3806906
Water Crystal MysticKnight,White Ability Progressive,,3806906
Water Crystal TimeMage,White Ability Progressive,,3806906
Water Crystal Summoner,Pray,,3806906
Brave Blade Brave Blade,CornaJar,,3806906
Chicken Knife Chicken Knife,Chicken Knife,,3806906
Tycoon Castle Cabin Cabin,Equip Axes,,3806906
Walse Tower Chest GoGo,Dimen Ability Progressive,,3806906
Pyramid Top Pyramid Tablet,Toad->Bio->Flare,,3806906
Toad Event Toad,Black Robe,,3806906
Aegis Shield Chest Aegis Shield,Enhancer,,3806906
