boss,key,seed
Byblos,Adamantite,9455428
WingRaptor,Trench Page,9455428
Karlabos,Anti Barrier,9455428
Magisa & Forza,Pyramid Page,9455428
Galura,2nd Tablet,9455428
LiquiFlame,Bracelet,9455428
Sergeant & DeathClaw,3rd Tablet,9455428
Sol Cannon,Big Bridge Key,9455428
Titan,Falls Page,9455428
Gilgamesh 1,Shrine Page,9455428
Gilgamesh 2,Canal Key,9455428
Tyrasaurus,4th Tablet,9455428
Abductor,Ifrit's Fire,9455428
HiryuuPlant,Hiryuu Call,9455428
Atmos,Sandworm Bait,9455428
Merugene,Moogle Suit,9455428
Omniscient,1st Tablet,9455428
Leviathan,Walse Tower Key,9455428
Bahamut,Steamship Key,9455428
Shiva,Submarine Key,9455428
