check,reward,mib,reward_value,seed
Wind Crystal Knight,Leather Shield,,45,9455428
Wind Crystal BlueMage,GbnPnch->Emision->Missle->Blwfsh,,0,9455428
Wind Crystal BlackMage,Mythril Helm,,275,9455428
Wind Crystal WhiteMage,Protect Drink,,55,9455428
Wind Crystal Monk,Sasuke,,10000,9455428
Wind Crystal Thief,Tiger Mask,,2500,9455428
Fire Crystal Mediator,DarkHood,,3250,9455428
Fire Crystal Geomancer,TimeMage Job Crystal,,0,9455428
Fire Crystal Ninja,Ice Sword Magic Progressive,,0,9455428
Black Choco Crystals Bard,Remora->Shoat->Levia,,0,9455428
Black Choco Crystals Hunter,Dragoon Job Crystal,,0,9455428
Earth Crystal Samurai,Crystal Helm,,5250,9455428
Earth Crystal Dragoon,Shuriken,,1250,9455428
Earth Crystal Chemist,Flail,,390,9455428
Earth Crystal Dancer,Cursed Ring,,2500,9455428
Leviathan Esper Levia,Ice Bow,,1250,9455428
Titan Titan,Lamia's Harp,,1600,9455428
Carbuncle Crbnkl,Mythril Knife,,225,9455428
Syldra Syldra,Mythril Staff,,250,9455428
Odin Odin,Hunter Job Crystal,,0,9455428
Phoenix Phenix,HiPotion,,180,9455428
Bahamut Bahmut,Genji Gloves,,7500,9455428
Life (or Strength) Song from Crescent Town bard Vitality,Speed Drink,,55,9455428
Temptation Song at Lix Charm,Mediator Job Crystal,,0,9455428
Love Song at Istory Love,Chemist Job Crystal,,0,9455428
Requiem Song at Kelb Requiem,Earth Bell,,4500,9455428
Speed Song at Surgate Speed,Bolt Sword Magic Progressive,,0,9455428
Magic Song at Ancient Library Magic,MgcSword Ability Progressive,,0,9455428
Power Song from Crescent Town Power,Mimic Job Crystal,,0,9455428
Hero Song from Crescent Town Hero,Bandana,,1750,9455428
"Fork Tower, two Magics Holy",Dimen Ability Progressive,,0,9455428
"Fork Tower, two Magics Flare",Tricorn Hat,,750,9455428
Meteo Meteo,Forged,,7400,9455428
"5 potions in Wind Shrine, bottom left guy Potion",Ice Black Magic Progressive,,0,9455428
"8 potions, Pirate after Torna Canal Key acquired Potion",Dagger,,150,9455428
Chancellor at Tycoon Healing Staff,Diamond Armlet,,2000,9455428
Magisa & Forza Mythril Helm,Equip Katana,,0,9455428
CornaJar at Kelb CornaJar,Mythril Shield,,295,9455428
Ribbon from girl in Rugor Ribbon,Cure White Magic Progressive,,0,9455428
Mirage Vest from Chocobo Tour/Mirage Village Mirage Vest,Kick,,0,9455428
12 Kuzar Events Assassin,Shiva->Ramuh->Ifrit->Bahmut,,0,9455428
12 Kuzar Events Apollo's Harp,Enhancer,,10000,9455428
12 Kuzar Events Excalibur,Blue,,0,9455428
