check,value
12 Kuzar Events Apollo's Harp,2.0
12 Kuzar Events Assassin,3.0
12 Kuzar Events Earth Bell,1.6666666666666667
12 Kuzar Events Excalibur,2.5
12 Kuzar Events Flame Whip,3.3333333333333335
12 Kuzar Events Holy Lance,2.5
12 Kuzar Events Masamune,1.5
12 Kuzar Events Rune Axe,1.3333333333333333
12 Kuzar Events Sage's Staff,2.0
12 Kuzar Events Sasuke,1.5
12 Kuzar Events Wizard Rod,1.0
12 Kuzar Events Yoichi Bow,2.5
"5 potions in Wind Shrine, bottom left guy Potion",2.5
"8 potions, Pirate after Torna Canal Key acquired Potion",1.3333333333333333
AdamanTiMi New,4.0
Aegis Shield Chest Aegis Shield,2.0
Ancient Library Chest Ether,3.0
Ancient Library Chest Stealth Suit,2.0
ArchaeAvis New,4.0
Atmos New,4.0
Bahamut Bahmut,1.3333333333333333
Bal Castle Chest Angel Gwn,3.0
Bal Castle Chest Exit,0.0
Bal Castle Chest Hero Drink,2.0
Barrier Tower Chest 18000,2.3333333333333335
Barrier Tower Chest 9000,1.6666666666666667
Barrier Tower Chest Drain Sword,3.0
Barrier Tower Chest Gold Hairpin,2.3333333333333335
Beginner's House Chest 100,4.0
Beginner's House Chest Ether,3.0
Beginner's House Chest Leather Shoes,2.3333333333333335
Beginner's House Chest Phoenix Down,2.0
Beginner's House Chest Potion,2.5
Beginner's House Chest Tent,2.5
Black Choco Crystals Bard,2.0
Black Choco Crystals Hunter,3.0
Brave Blade Brave Blade,3.5
Byblos New,4.0
Carbunkle New,4.0
Carwen Barrel Antidote,1.0
Carwen Pot 1000,2.5
Chancellor at Tycoon Healing Staff,1.6666666666666667
Chicken Knife Chicken Knife,2.5
Chim.Brain New,4.0
Earth Crystal Chemist,4.0
Earth Crystal Dragoon,0.0
Earth Crystal Samurai,1.5
Exdeath's Castle Chest 8000,2.0
Exdeath's Castle Chest 9900,1.0
Exdeath's Castle Chest DblLance,2.0
Exdeath's Castle Chest Diamond Shield,3.0
Exdeath's Castle Chest Elixir,2.0
Exdeath's Castle Chest Ether,2.5
Exdeath's Castle Chest Gale Bow,1.5
Exdeath's Castle Chest Ice Shield,2.6666666666666665
Exdeath's Castle Chest IceBrand,3.0
Exdeath's Castle Chest Partisan,2.5
Exdeath's Castle Chest Pinwheel,2.0
Fire Crystal Geomancer,2.0
Fire Crystal Mediator,3.0
Fire Crystal Ninja,3.0
Flying Lonka Ruins Chest 5000,4.0
Flying Lonka Ruins Chest Ancient Sword,2.0
Flying Lonka Ruins Chest Cabin,2.3333333333333335
Flying Lonka Ruins Chest Elixir,3.0
Flying Lonka Ruins Chest Ether,2.6666666666666665
Flying Lonka Ruins Chest Full Moon,2.6666666666666665
Flying Lonka Ruins Chest Golden Armor,3.0
Flying Lonka Ruins Chest Golden Shield,3.5
Flying Lonka Ruins Chest Hi-Potion,2.0
Flying Lonka Ruins Chest Phoenix Down,2.5
Flying Lonka Ruins Chest Power Wrist,2.5
Flying Lonka Ruins Chest Shuriken,1.5
Fork Tower L. Chest Ether,3.0
Fork Tower L. Chest Wonder Wand,4.0
Fork Tower R. Chest Defender Sword,2.0
Fork Tower R. Chest Hi-Potion,2.0
"Fork Tower, two Magics Flare",4.0
"Fork Tower, two Magics Holy",2.6666666666666665
Galura New,4.0
Gilgamesh 1 New,4.0
Gilgamesh 3 & Enkidou New,4.0
Gilgamesh 4 New,4.0
GoGo New,4.0
Great Trench Chest DragonFang,3.0
Great Trench Chest Ether,3.5
Great Trench Chest Flame Ring,3.0
Great Trench Chest Kaiser Knuckles,3.0
Great Trench Chest Phoenix Down,2.0
Guardians New,4.0
Hero Song from Crescent Town Hero,2.0
Hiryuu Valley Chest 5000,2.0
Hiryuu Valley Chest 7000,1.0
Hiryuu Valley Chest Cabin,3.0
Hiryuu Valley Chest Coronet,3.0
Hiryuu Valley Chest Phoenix Down,3.0
Hiryuu Valley Skull Bone Mail,2.5
Ifrit Ifrit,2.0
Ifrit New,4.0
Istory Falls Chest Aegis Shield,2.0
Istory Falls Chest Air Lance,1.5
Istory Falls Chest Artemis Bow,3.0
Istory Falls Chest Enhancer,2.0
Istory Falls Chest Giant Drink,2.0
Istory Falls Chest Giant's Axe,2.0
Istory Falls Chest Guard Ring,2.0
Istory Falls Chest Phoenix Down,3.0
Istory Falls Chest Pinwheel,3.5
Istory Falls Chest RuneEdge,3.5
Istory Falls Chest TurtleShell,2.0
Istory Falls Chest Wall Ring,2.0
Karlabos New,4.0
Karnak Castle Chest 2000,2.3333333333333335
Karnak Castle Chest Elf Cape,3.0
Karnak Castle Chest Elixir,2.0
Karnak Castle Chest Guardian,2.0
Karnak Castle Chest Gungnir,1.6666666666666667
Karnak Castle Chest Ribbon,2.0
Karnak Castle Chest Shuriken,2.0
Karnak Castle Chest Thunder Scroll,2.6666666666666665
Karnak Town Barrel Fire Rod,1.0
Leviathan Esper Levia,1.0
Leviathan New,4.0
Life (or Strength) Song from Crescent Town bard Vitality,3.0
LiquiFlame New,4.0
Lone Wolf Barrel Cabin,1.5
Lone Wolf Chest Thunder Whip,2.0
Love Song at Istory Love,2.0
Magic Song at Ancient Library Magic,1.0
Magisa & Forza Mythril Helm,3.0
Magisa & Forza New,4.0
Merugene New,4.0
Meteo Meteo,2.5
Mirage Vest from Chocobo Tour/Mirage Village Mirage Vest,2.0
Moat Item Epee,3.0
Moogle Cave Chest 4400,1.0
Moogle Cave Chest Phoenix Down,3.0
Moogle Village Chest Cabin,2.5
Moogle Village Chest Dancing Dagger,3.0
Moogle Village Chest Phoenix Down,4.0
Mua Forest Chest 4900,2.5
Mua Forest Chest 9500,2.0
Mua Forest Chest Cabin,2.6666666666666665
Mua Forest Chest Elixir,2.0
Mua Forest Chest Flametongue,1.5
Mua Forest Chest Giant Drink,2.0
Mua Forest Chest Morning Star,1.6666666666666667
Mua Forest Chest Phoenix Down,1.6666666666666667
Mua Forest Chest Soot,2.0
Mua Town Barrel Guardian,2.6666666666666665
North Mountain Chest Phoenix Down,3.0
North Mountain Chest Soft,1.0
Odin New,4.0
Odin Odin,3.0
Omniscient New,4.0
Phoenix Phenix,1.6666666666666667
Phoenix Tower Pot 10000,1.5
Phoenix Tower Pot 15000,2.5
Phoenix Tower Pot 20000,1.0
Phoenix Tower Pot 25000,2.0
Phoenix Tower Pot 5000,1.0
Phoenix Tower Pot Avis Killer,2.3333333333333335
Phoenix Tower Pot Phoenix Down,1.6666666666666667
Pirate's Cave Chest 300,1.0
Pirate's Cave Chest Ether,1.6666666666666667
Pirate's Cave Chest Leather Cap,1.0
Pirate's Cave Chest Tent,1.6666666666666667
Power Song from Crescent Town Power,1.6666666666666667
Puroboros New,4.0
Pyramid Chest 10000,2.5
Pyramid Chest 12000,2.6666666666666665
Pyramid Chest 8000,2.6666666666666665
Pyramid Chest 9000,1.6666666666666667
Pyramid Chest Black Robe,3.3333333333333335
Pyramid Chest Cabin,2.0
Pyramid Chest Crystal Armor,2.6666666666666665
Pyramid Chest Cursed Ring,2.3333333333333335
Pyramid Chest DarkMatter,2.0
Pyramid Chest DarkSuit,2.3333333333333335
Pyramid Chest Earth Hammer,2.3333333333333335
Pyramid Chest Elixir,3.5
Pyramid Chest Flame Shield,2.3333333333333335
Pyramid Chest Gold Hairpin,2.3333333333333335
Pyramid Chest Guard Ring,2.6666666666666665
Pyramid Chest Ice Shield,3.0
Pyramid Chest Ribbon,0.5
Pyramid Chest Thornlet,1.3333333333333333
Pyramid Chest White Robe,2.3333333333333335
Pyramid Top Pyramid Tablet,2.0
Requiem Song at Kelb Requiem,2.0
Rift (Castle) Chest ManEater,1.0
Rift (Castle) Chest Rainbow Dress,3.0
Rift (Castle) Chest Red Shoes,2.0
Rift (Castle) Chest Running Shoes,4.0
Rift (Cave) Chest Angel Ring,3.0
Rift (Cave) Chest Coral Ring,2.0
Rift (Forest) Chest DragonFang,2.3333333333333335
Rift (Forest) Chest Enhancer,1.0
Rift (Forest) Chest Lillith Rod,3.0
Rift (Forest) Chest Ribbon,2.0
Rift (Ruins) Chest Cabin,2.0
Rift (Ruins) Chest DarkMatter,1.3333333333333333
Rift (Ruins) Chest Drain Sword,3.0
Rift (Ruins) Chest Ether,3.5
Ruined City Chest Shuriken,1.0
Sandworm New,4.0
Sergeant & DeathClaw New,4.0
Ship Graveyard Chest Antidote,3.5
Ship Graveyard Chest Flail,2.0
Ship Graveyard Chest Phoenix Down,3.0
Ship Graveyard Chest Potion,4.0
Ship Graveyard Chest Tent,2.5
Shiva New,4.0
Shiva Shiva,3.0
Shop Backdoor Lamia Harp,1.0
Siren New,4.0
Sol Cannon New,4.0
Solitary Island Chest 12000,3.0
Solitary Island Chest 9000,4.0
Solitary Island Chest BeastKiller,3.0
Solitary Island Chest Circlet,3.0
Solitary Island Chest Crystal Helm,2.0
Solitary Island Chest DarkMatter,2.0
Solitary Island Chest DragonFang,1.5
Solitary Island Chest Elixir,4.0
Solitary Island Chest Ether,1.5
Solitary Island Chest Guard Ring,3.0
Solitary Island Chest Hi-Potion,2.5
Solitary Island Chest Protect Drink,3.0
Solitary Island Chest RisingSun,1.6666666666666667
Speed Song at Surgate Speed,2.5
Stalker New,4.0
Steamship Chest Cabin,1.5
Steamship Chest Full Moon,2.0
Steamship Chest GrnBeret,2.0
Steamship Chest Mythril Glove,2.0
Steamship Chest Thief's Glove,2.0
Surgate Castle Chest 5000,1.5
