boss,key,seed
WingRaptor,3rd Tablet,9535305
Galura,Shrine Page,9535305
LiquiFlame,Hiryuu Call,9535305
AdamanTiMi,Adamantite,9535305
Sol Cannon,Big Bridge Key,9535305
Gilgamesh 1,Elder Branch,9535305
Gilgamesh 2,Submarine Key,9535305
Tyrasaurus,1st Tablet,9535305
Abductor,Steamship Key,9535305
HiryuuPlant,2nd Tablet,9535305
Atmos,Sandworm Bait,9535305
Guardians,Falls Page,9535305
Antlion,Trench Page,9535305
Merugene,Moogle Suit,9535305
Odin,Pyramid Page,9535305
Minotauros,4th Tablet,9535305
Stalker,Ifrit's Fire,9535305
Bahamut,Anti Barrier,9535305
Ifrit,Walse Tower Key,9535305
Crayclaw,Bracelet,9535305
Karlabos,Walse Tower Key,4434830
Siren,Sandworm Bait,4434830
Galura,4th Tablet,4434830
Sandworm,Submarine Key,4434830
Sol Cannon,Big Bridge Key,4434830
ArchaeAvis,Shrine Page,4434830
Gilgamesh 2,Falls Page,4434830
Abductor,Bracelet,4434830
HiryuuPlant,Pyramid Page,4434830
Atmos,Moogle Suit,4434830
Guardians,Hiryuu Call,4434830
Gilgamesh 4,Trench Page,4434830
Antlion,1st Tablet,4434830
Merugene,2nd Tablet,4434830
"Triton, Neregeid & Phobos",3rd Tablet,4434830
Omniscient,Steamship Key,4434830
Minotauros,Anti Barrier,4434830
GoGo,Elder Branch,4434830
Bahamut,Adamantite,4434830
Crayclaw,Ifrit's Fire,4434830
WingRaptor,2nd Tablet,3149522
Siren,Falls Page,3149522
Magisa & Forza,Submarine Key,3149522
Sergeant & DeathClaw,Elder Branch,3149522
ArchaeAvis,Walse Tower Key,3149522
Chim.Brain,Moogle Suit,3149522
Puroboros,1st Tablet,3149522
Titan,Ifrit's Fire,3149522
Gilgamesh 2,3rd Tablet,3149522
Abductor,Pyramid Page,3149522
HiryuuPlant,Anti Barrier,3149522
Carbunkle,Steamship Key,3149522
Antlion,Hiryuu Call,3149522
Odin,Bracelet,3149522
Omniscient,Trench Page,3149522
GoGo,Shrine Page,3149522
Bahamut,Adamantite,3149522
Ifrit,Sandworm Bait,3149522
Shiva,Big Bridge Key,3149522
Crayclaw,4th Tablet,3149522
