crystal,seed
Dancer,9535305
Mimic,9535305
BlackMage,9535305
Dragoon,9535305
Freelancer,9535305
Ninja,9535305
Berserker,9535305
Chemist,9535305
Knight,9535305
Samurai,9535305
Samurai,4434830
Mediator,4434830
Bard,4434830
Freelancer,4434830
Chemist,4434830
Geomancer,4434830
Dragoon,4434830
Thief,4434830
Hunter,4434830
BlueMage,4434830
RedMage,4434830
Ninja,4434830
Mimic,4434830
Knight,4434830
WhiteMage,4434830
Dancer,4434830
TimeMage,4434830
Freelancer,3149522
WhiteMage,3149522
TimeMage,3149522
Summoner,3149522
Mediator,3149522
Knight,3149522
Thief,3149522
RedMage,3149522
Dragoon,3149522
Bard,3149522
Ninja,3149522
BlueMage,3149522
