check,reward,mib,seed
Wind Crystal Knight,Genji Helm,,9535305
Wind Crystal BlueMage,Cover,,9535305
Wind Crystal BlackMage,Equip Bows,,9535305
Wind Crystal WhiteMage,Dancer Job Crystal,,9535305
Wind Crystal Monk,Rune Axe,,9535305
Wind Crystal Thief,Jump,,9535305
Fire Crystal Mediator,Circlet,,9535305
Fire Crystal Geomancer,Regen->Float->Reset->Xzone,,9535305
Fire Crystal Ninja,Golden Helm,,9535305
Black Choco Crystals Bard,Vampire->MindBlst->WhiteWind,,9535305
Black Choco Crystals Hunter,GuardOff->Hammer->MghtyGrd,,9535305
Earth Crystal Samurai,Brawl,,9535305
Earth Crystal Dragoon,Antdt->Image->Heal,,9535305
Earth Crystal Chemist,Judgement Staff,,9535305
Earth Crystal Dancer,Fire Sword Magic Progressive,,9535305
Leviathan Esper Levia,MgcSword Ability Progressive,,9535305
Titan Titan,Giant Drink,,9535305
Carbuncle Crbnkl,WhiteMage Job Crystal,,9535305
Syldra Syldra,RegalCut,,9535305
Odin Odin,Summon Ability Progressive,,9535305
Phoenix Phenix,ManEater,,9535305
Bahamut Bahmut,Ether,,9535305
Life (or Strength) Song from Crescent Town bard Vitality,Regen->Float->Reset->Xzone,,9535305
Temptation Song at Lix Charm,Red1->Red2->Red3->X-Magic,,9535305
Love Song at Istory Love,Mute->Size->Bersk,,9535305
Requiem Song at Kelb Requiem,BlueMage Job Crystal,,9535305
Speed Song at Surgate Speed,Sylph->Crbnkl->Phenix->Syldra,,9535305
Magic Song at Ancient Library Magic,Eyedrop,,9535305
Power Song from Crescent Town Power,Catch,,9535305
Hero Song from Crescent Town Hero,Equip Whips,,9535305
"Fork Tower, two Magics Holy",SwdSlap,,9535305
"Fork Tower, two Magics Flare",DblLance,,9535305
Meteo Meteo,Comet->Meteo,,9535305
"5 potions in Wind Shrine, bottom left guy Potion",Tempest,,9535305
"8 potions, Pirate after Torna Canal Key acquired Potion",Tent,,9535305
Chancellor at Tycoon Healing Staff,Broadsword,,9535305
Magisa & Forza Mythril Helm,MysticKnight Job Crystal,,9535305
CornaJar at Kelb CornaJar,Mute->Psych->Holy Sword,,9535305
Ribbon from girl in Rugor Ribbon,????->Fusion->Exploder->DrkShock,,9535305
Mirage Vest from Chocobo Tour/Mirage Village Mirage Vest,Sleep->Bio->Flare Sword,,9535305
12 Kuzar Events Assassin,HP +X%,,9535305
12 Kuzar Events Apollo's Harp,Magic->Love@Song,,9535305
12 Kuzar Events Excalibur,RuneEdge,,9535305
12 Kuzar Events Flame Whip,Battle Axe,,9535305
12 Kuzar Events Earth Bell,Eyedrop,,9535305
12 Kuzar Events Holy Lance,GilToss,,9535305
12 Kuzar Events Masamune,GbnPnch->Emision->Missle->Blwfsh,,9535305
12 Kuzar Events Wizard Rod,Equip Armors,,9535305
