check,reward,mib,reward_value,seed
Wind Crystal Knight,Sylph->Crbnkl->Phenix->Syldra,,0,6488914
Wind Crystal BlueMage,Crystal Shield,,4500,6488914
Wind Crystal BlackMage,Life->Life2,,0,6488914
Wind Crystal WhiteMage,Elixir,,25000,6488914
Wind Crystal Monk,Enhancer,,10000,6488914
Wind Crystal Thief,Slow->Stop->Slow2,,0,6488914
Fire Crystal Mediator,Barrier,,0,6488914
Fire Crystal Geomancer,Elf Cape,,2000,6488914
Fire Crystal Ninja,FrogSong->TinySong->MoonFlut,,0,6488914
Black Choco Crystals Bard,Tricorn Hat,,750,6488914
Black Choco Crystals Hunter,Air Lance,,3400,6488914
Earth Crystal Samurai,Silver Bow,,750,6488914
Earth Crystal Dragoon,Staff,,100,6488914
Earth Crystal Chemist,Mythril Sword,,440,6488914
Earth Crystal Dancer,Mute->Size->Bersk,,0,6488914
Leviathan Esper Levia,Cabin,,300,6488914
Titan Titan,Sleep->Psych->Doom,,0,6488914
Carbuncle Crbnkl,Fire Black Magic Progressive,,0,6488914
Syldra Syldra,IceBrand,,5500,6488914
Odin Odin,Cure White Magic Progressive,,0,6488914
Phoenix Phenix,Darkness Bow,,1900,6488914
Bahamut Bahmut,Toad->Bio->Flare,,0,6488914
Life (or Strength) Song from Crescent Town bard Vitality,Bolt Sword Magic Progressive,,0,6488914
Temptation Song at Lix Charm,WhiteMage Job Crystal,,0,6488914
Love Song at Istory Love,GbnPnch->Emision->Missle->Blwfsh,,0,6488914
Requiem Song at Kelb Requiem,Staff of Light,,1350,6488914
Speed Song at Surgate Speed,OmegaMedl,,0,6488914
Magic Song at Ancient Library Magic,Magic->Love@Song,,0,6488914
Power Song from Crescent Town Power,Holy Lance,,10000,6488914
Hero Song from Crescent Town Hero,Fire Sword Magic Progressive,,0,6488914
"Fork Tower, two Magics Holy",Elf Cape,,2000,6488914
"Fork Tower, two Magics Flare",Toad->Bio->Flare,,0,6488914
Meteo Meteo,White Ability Progressive,,0,6488914
"5 potions in Wind Shrine, bottom left guy Potion",Armor->Shell->Wall->Dispel,,0,6488914
"8 potions, Pirate after Torna Canal Key acquired Potion",Slow->Stop->Slow2,,0,6488914
Chancellor at Tycoon Healing Staff,Soot,,50,6488914
Magisa & Forza Mythril Helm,Dream Harp,,800,6488914
CornaJar at Kelb CornaJar,Venom Rod,,750,6488914
