boss,key,seed
Byblos,3rd Tablet,6488914
Karlabos,Moogle Suit,6488914
Siren,Submarine Key,6488914
Sandworm,Canal Key,6488914
AdamanTiMi,Bracelet,6488914
Sol Cannon,Falls Page,6488914
ArchaeAvis,2nd Tablet,6488914
Chim.Brain,Elder Branch,6488914
Puroboros,Trench Page,6488914
Gilgamesh 1,Big Bridge Key,6488914
Tyrasaurus,Ifrit's Fire,6488914
HiryuuPlant,Adamantite,6488914
Atmos,Sandworm Bait,6488914
Carbunkle,Pyramid Page,6488914
Antlion,Walse Tower Key,6488914
Merugene,1st Tablet,6488914
"Triton, Neregeid & Phobos",Steamship Key,6488914
Leviathan,4th Tablet,6488914
Stalker,Anti Barrier,6488914
Crayclaw,Hiryuu Call,6488914
