boss,key,seed
Karlabos,Falls Page,3353832
Siren,Canal Key,3353832
Magisa & Forza,Big Bridge Key,3353832
Galura,Hiryuu Call,3353832
Sergeant & DeathClaw,Sandworm Bait,3353832
Sandworm,3rd Tablet,3353832
AdamanTiMi,Submarine Key,3353832
Chim.Brain,Trench Page,3353832
Puroboros,Anti Barrier,3353832
Titan,4th Tablet,3353832
Gilgamesh 2,Elder Branch,3353832
Guardians,2nd Tablet,3353832
Carbunkle,Steamship Key,3353832
Gilgamesh 4,Pyramid Page,3353832
Antlion,Adamantite,3353832
"Triton, Neregeid & Phobos",Walse Tower Key,3353832
Omniscient,Moogle Suit,3353832
Leviathan,Ifrit's Fire,3353832
Stalker,Bracelet,3353832
GoGo,1st Tablet,3353832
