shop_name,value
Bal/Kelb Armor,2.0
Bal/Kelb Weapon,2.0
Carwen Armor,2.0
Carwen Inn,2.1666666666666665
Carwen Magic,3.0
Carwen Weapon,1.8
Common World 1 Inn,2.0
Common World 2 Inn 1,2.0
Common World 2 Inn 2,2.0
Common World 2 Magic 1,1.75
Common World 2 Magic 2,1.8333333333333333
Common World 2 Magic 3,2.0
Crescent Armor,2.3333333333333335
Crescent Weapon,1.75
Dwarf Armor,2.3333333333333335
Dwarf Magic,1.6666666666666667
Dwarf Weapon,2.375
Istory Relic,1.875
Jacole Armor,1.5
Jacole Weapon,2.2857142857142856
Karnak Armor,2.0
Karnak Magic 1,2.5
Karnak Magic 2,2.625
Karnak Magic 3,2.0
Karnak Weapon 1,1.25
Karnak Weapon 2,2.2
Kelb Armor,2.0
Kelb Weapon,1.75
Lix Armor,1.5
Lix Guild,2.2
Lix Inn,2.5
Mirage Armor,1.5
Mirage Guild,2.125
Mirage Inn 1,1.5
Mirage Inn 2,2.8
Mirage Magic 1,2.3333333333333335
Mirage Magic 2,3.142857142857143
Mirage Relic,2.5
Mirage Weapon,2.0
Mua Armor,2.142857142857143
Mua Magic 1,2.7142857142857144
Mua Magic 2,2.125
Mua Magic 3,2.0
Mua Weapon,2.0
Rugor Armor,2.0
Rugor Weapon,2.0
Surgate Armor,2.0
Surgate Weapon,2.0
Tule Armor,2.0
Tule Inn,2.75
Tule Magic,2.2857142857142856
Tule Weapon,2.6
Worus Armor,2.2857142857142856
Worus Magic,1.875
