check,value
12 Kuzar Events Earth Bell,1.0
12 Kuzar Events Excalibur,2.0
12 Kuzar Events Flame Whip,3.0
12 Kuzar Events Holy Lance,2.0
12 Kuzar Events Rune Axe,3.0
12 Kuzar Events Sage's Staff,4.0
"5 potions in Wind Shrine, bottom left guy Potion",3.0
Abductor New,4.0
Aegis Shield Chest Aegis Shield,3.0
Ancient Library Chest Phoenix Down,2.0
Ancient Library Chest Stealth Suit,3.0
ArchaeAvis New,4.0
Atmos New,4.0
Bahamut Bahmut,3.0
Bahamut New,4.0
Bal Castle Chest Hero Drink,2.0
Barrier Tower Chest 18000,4.0
Barrier Tower Chest 9000,1.0
Barrier Tower Chest Drain Sword,2.5
Barrier Tower Chest Gold Hairpin,4.0
Beginner's House Chest Ether,2.0
Beginner's House Chest Leather Shoes,4.0
Beginner's House Chest Phoenix Down,3.0
Beginner's House Chest Tent,2.0
Brave Blade Brave Blade,3.0
Byblos New,4.0
Carbuncle Crbnkl,2.0
Chancellor at Tycoon Healing Staff,2.0
Chicken Knife Chicken Knife,1.0
Crayclaw New,4.0
Earth Crystal Dancer,1.0
Earth Crystal Samurai,3.0
Exdeath's Castle Chest DblLance,2.0
Exdeath's Castle Chest Diamond Shield,4.0
Exdeath's Castle Chest Elixir,2.0
Exdeath's Castle Chest IceBrand,2.0
Exdeath's Castle Chest Pinwheel,2.0
Fire Crystal Geomancer,2.0
Flying Lonka Ruins Chest 5000,1.0
Flying Lonka Ruins Chest Ancient Sword,2.0
Flying Lonka Ruins Chest Ether,1.0
Flying Lonka Ruins Chest Hi-Potion,4.0
Flying Lonka Ruins Chest Phoenix Down,1.0
Flying Lonka Ruins Chest Power Wrist,2.0
Fork Tower L. Chest Wonder Wand,1.0
Fork Tower R. Chest Defender Sword,2.0
Gilgamesh 1 New,4.0
Gilgamesh 3 & Enkidou New,4.0
Great Trench Chest Phoenix Down,3.0
Hiryuu Valley Chest 5000,3.0
Hiryuu Valley Chest 7000,5.0
Hiryuu Valley Chest Cabin,2.0
Hiryuu Valley Chest Phoenix Down,3.0
HiryuuPlant New,4.0
Ifrit Ifrit,1.0
Ifrit New,4.0
Istory Falls Chest Air Lance,2.0
Istory Falls Chest Ether,1.0
Istory Falls Chest Phoenix Down,3.0
Istory Falls Chest Pinwheel,4.0
Istory Falls Chest RuneEdge,2.0
Istory Falls Chest TurtleShell,2.0
Karnak Castle Chest 2000,2.0
Karnak Castle Chest Elf Cape,3.0
Karnak Castle Chest Elixir,3.0
Karnak Castle Chest Guardian,3.0
Karnak Castle Chest Gungnir,2.0
