boss,key,seed
Karlabos,2nd Tablet,5053162
Magisa & Forza,Shrine Page,5053162
Sergeant & DeathClaw,Adamantite,5053162
Sol Cannon,4th Tablet,5053162
ArchaeAvis,Ifrit's Fire,5053162
Puroboros,Moogle Suit,5053162
Abductor,Hiryuu Call,5053162
HiryuuPlant,3rd Tablet,5053162
Carbunkle,Canal Key,5053162
Gilgamesh 4,Steamship Key,5053162
Antlion,Bracelet,5053162
Merugene,Anti Barrier,5053162
"Triton, Neregeid & Phobos",Big Bridge Key,5053162
Omniscient,Trench Page,5053162
Minotauros,Sandworm Bait,5053162
Leviathan,1st Tablet,5053162
Stalker,Pyramid Page,5053162
GoGo,Elder Branch,5053162
Bahamut,Submarine Key,5053162
Ifrit,Walse Tower Key,5053162
