check,reward,mib,reward_value,seed
Wind Crystal Knight,Thunder Bow,,1250.0,5053162
Wind Crystal BlueMage,Lamia's Harp,,1600.0,5053162
Wind Crystal BlackMage,Armor->Shell->Wall->Dispel,,0.0,5053162
Wind Crystal WhiteMage,Power Drink,,55.0,5053162
Wind Crystal Monk,DarkMatter,,25000.0,5053162
Wind Crystal Thief,Berserk,,0.0,5053162
Fire Crystal Mediator,Comet->Meteo,,0.0,5053162
Fire Crystal Geomancer,GbnPnch->Emision->Missle->Blwfsh,,0.0,5053162
Fire Crystal Ninja,Thunder Rod,,375.0,5053162
Black Choco Crystals Bard,Fire Rod,,375.0,5053162
Black Choco Crystals Hunter,Thunder Whip,,1100.0,5053162
Earth Crystal Samurai,Revivify,,75.0,5053162
Earth Crystal Dragoon,Venom->Drain->Break,,0.0,5053162
Earth Crystal Chemist,Thornlet,,10000.0,5053162
Earth Crystal Dancer,Cure White Magic Progressive,,0.0,5053162
Leviathan Esper Levia,GbnPnch->Emision->Missle->Blwfsh,,0.0,5053162
Titan Titan,Thunder Rod,,375.0,5053162
Carbuncle Crbnkl,Venom Rod,,750.0,5053162
Syldra Syldra,Magic Lamp,,5000.0,5053162
Odin Odin,Staff of Light,,1350.0,5053162
Phoenix Phenix,Venom->Drain->Break,,0.0,5053162
Bahamut Bahmut,Agility,,,5053162
Life (or Strength) Song from Crescent Town bard Vitality,Medicine,,0.0,5053162
Temptation Song at Lix Charm,RegalCut,,240.0,5053162
Love Song at Istory Love,Fire Sword Magic Progressive,,0.0,5053162
Requiem Song at Kelb Requiem,Toad->Bio->Flare,,0.0,5053162
Speed Song at Surgate Speed,Excalibur,,10000.0,5053162
Magic Song at Ancient Library Magic,Armor->Shell->Wall->Dispel,,0.0,5053162
Power Song from Crescent Town Power,White Ability Progressive,,0.0,5053162
Hero Song from Crescent Town Hero,Lumina Robe,,2000.0,5053162
"Fork Tower, two Magics Holy",Ice Black Magic Progressive,,0.0,5053162
"Fork Tower, two Magics Flare",Chocob->Titan->Golem->Odin,,0.0,5053162
Meteo Meteo,Black Ability Progressive,,0.0,5053162
"5 potions in Wind Shrine, bottom left guy Potion",MgcSword Ability Progressive,,0.0,5053162
"8 potions, Pirate after Torna Canal Key acquired Potion",Chain Whip,,1650.0,5053162
Chancellor at Tycoon Healing Staff,DblLance,,5400.0,5053162
Magisa & Forza Mythril Helm,Running Shoes,,25000.0,5053162
CornaJar at Kelb CornaJar,Spear,,50.0,5053162
Ribbon from girl in Rugor Ribbon,Gungnir,,4050.0,5053162
Mirage Vest from Chocobo Tour/Mirage Village Mirage Vest,Fire Rod,,375.0,5053162
12 Kuzar Events Assassin,Coral Sword,,1400.0,5053162
12 Kuzar Events Apollo's Harp,Bard's Surplice,,500.0,5053162
12 Kuzar Events Excalibur,Antdt->Image->Heal,,0.0,5053162
