boss,key,seed
WingRaptor,Moogle Suit,9035547
Siren,Bracelet,9035547
Magisa & Forza,4th Tablet,9035547
Galura,Submarine Key,9035547
LiquiFlame,Mirage Radar,9035547
Chim.Brain,Anti Barrier,9035547
Ifrit,Trench Page,9035547
Crayclaw,Falls Page,9035547
Gilgamesh 2,1st Tablet,9035547
Tyrasaurus,Elder Branch,9035547
Abductor,Pyramid Page,9035547
HiryuuPlant,Big Bridge Key,9035547
Guardians,Walse Tower Key,9035547
Gilgamesh 4,2nd Tablet,9035547
Antlion,Shrine Page,9035547
Merugene,Adamantite,9035547
Odin,Hiryuu Call,9035547
"Triton, Neregeid & Phobos",Steamship Key,9035547
Omniscient,Sandworm Bait,9035547
GoGo,3rd Tablet,9035547
Bahamut,Ifrit's Fire,9035547
