shop_name,value
Bal/Kelb Armor,3.25
Bal/Kelb Weapon,2.5
Carwen Armor,2.0
Carwen Inn,3.25
Carwen Magic,2.0
Carwen Weapon,2.142857142857143
Common World 1 Inn,1.0
Common World 2 Inn 1,2.75
Common World 2 Inn 2,2.375
Common World 2 Magic 1,2.3333333333333335
Common World 2 Magic 2,2.0
Common World 2 Magic 3,2.0
Crescent Armor,1.8571428571428572
Crescent Weapon,1.625
Dwarf Armor,2.875
Dwarf Magic,2.1666666666666665
Dwarf Weapon,1.8888888888888888
Istory Relic,2.5
Jacole Armor,2.0
Jacole Weapon,2.125
Karnak Armor,2.125
Karnak Magic 1,1.75
Karnak Magic 2,2.1666666666666665
Karnak Magic 3,2.1666666666666665
Karnak Weapon 1,2.625
Karnak Weapon 2,1.8571428571428572
Kelb Armor,1.0
Kelb Weapon,2.1666666666666665
Lix Armor,2.0
Lix Guild,1.75
Lix Inn,2.0
Lix Magic,2.0
Mirage Armor,2.0
Mirage Guild,2.125
Mirage Inn 1,2.625
Mirage Inn 2,2.5
Mirage Magic 1,2.0
Mirage Magic 2,1.5
Mirage Relic,2.0
Mirage Weapon,1.6666666666666667
Mua Armor,2.0
Mua Magic 1,2.0
Mua Magic 2,1.375
Mua Magic 3,2.0
Mua Weapon,1.625
Rugor Armor,2.111111111111111
Rugor Weapon,1.6666666666666667
Surgate Armor,1.6666666666666667
Surgate Weapon,1.75
Tule Armor,0.0
Tule Inn,1.5
Tule Magic,2.142857142857143
Tule Weapon,2.0
Worus Armor,1.875
Worus Magic,2.875
Worus Weapon,2.0
