check,reward,mib,reward_value,seed
Wind Crystal Knight,Equip Armors,,0,823193
Wind Crystal BlueMage,Rainbow Dress,,2900,823193
Wind Crystal BlackMage,Gaia Gear,,1000,823193
Wind Crystal WhiteMage,Berserker Job Crystal,,0,823193
Wind Crystal Monk,MgcSword Ability Progressive,,0,823193
Wind Crystal Thief,Condemn->Roulette->AquaRake,,0,823193
Fire Crystal Mediator,Bard's Surplice,,500,823193
Fire Crystal Geomancer,Bizen,,4400,823193
Fire Crystal Ninja,Iron Helm,,175,823193
Black Choco Crystals Bard,Scan->Charm->Holy,,0,823193
Black Choco Crystals Hunter,Lumina Robe,,2000,823193
Earth Crystal Samurai,Animals->Aim->X-Fight,,0,823193
Earth Crystal Dragoon,Venom->Drain->Break,,0,823193
Earth Crystal Chemist,Leather Armor,,40,823193
Earth Crystal Dancer,Mythril Hammer,,525,823193
Leviathan Esper Levia,Gungnir,,4050,823193
Titan Titan,Terrain,,0,823193
Carbuncle Crbnkl,Maiden's Kiss,,30,823193
Syldra Syldra,Knife,,75,823193
Odin Odin,Monk Job Crystal,,0,823193
Phoenix Phenix,Bronze Shield,,145,823193
Bahamut Bahmut,Protect Drink,,55,823193
Life (or Strength) Song from Crescent Town bard Vitality,????->Fusion->Exploder->DrkShock,,0,823193
Temptation Song at Lix Charm,L4Qrter->L3Flare->L2Old->L5Doom,,0,823193
Love Song at Istory Love,Strength,,2250,823193
Requiem Song at Kelb Requiem,Dimen Ability Progressive,,0,823193
Speed Song at Surgate Speed,Partisan,,5100,823193
Magic Song at Ancient Library Magic,Dbl Grip,,0,823193
Power Song from Crescent Town Power,Genji Shield,,10000,823193
Hero Song from Crescent Town Hero,Dragoon Job Crystal,,0,823193
"Fork Tower, two Magics Holy",Equip Whips,,0,823193
"Fork Tower, two Magics Flare",Shiva->Ramuh->Ifrit->Bahmut,,0,823193
Meteo Meteo,Staff of Light,,1350,823193
"5 potions in Wind Shrine, bottom left guy Potion",Mage Masher,,450,823193
"8 potions, Pirate after Torna Canal Key acquired Potion",Mythril Staff,,250,823193
Chancellor at Tycoon Healing Staff,Scan->Charm->Holy,,0,823193
Magisa & Forza Mythril Helm,Equip Shield,,0,823193
CornaJar at Kelb CornaJar,Bone Mail,,15000,823193
Ribbon from girl in Rugor Ribbon,Masamune,,10000,823193
Mirage Vest from Chocobo Tour/Mirage Village Mirage Vest,DarkMatter,,25000,823193
12 Kuzar Events Assassin,Slow->Stop->Slow2,,0,823193
12 Kuzar Events Apollo's Harp,Tricorn Hat,,750,823193
12 Kuzar Events Excalibur,Ice Sword Magic Progressive,,0,823193
12 Kuzar Events Flame Whip,GilToss,,0,823193
12 Kuzar Events Earth Bell,Toad->Bio->Flare,,0,823193
12 Kuzar Events Holy Lance,Maiden's Kiss,,30,823193
12 Kuzar Events Masamune,Control,,0,823193
12 Kuzar Events Wizard Rod,Animals->Aim->X-Fight,,0,823193
12 Kuzar Events Rune Axe,Circlet,,2250,823193
12 Kuzar Events Sage's Staff,Summon Ability Progressive,,0,823193
12 Kuzar Events Sasuke,Armor->Shell->Wall->Dispel,,0,823193
12 Kuzar Events Yoichi Bow,Guard Ring,,15000,823193
Shiva Shiva,Black Ability Progressive,,0,823193
Ifrit Ifrit,Equip Ribbon,,0,823193
Water Crystal Samurai,Diamond Shield,,3000,823193
Water Crystal Berserker,Power Drink,,55,823193
Water Crystal MysticKnight,Silver Bow,,750,823193
Water Crystal TimeMage,Cure White Magic Progressive,,0,823193
Water Crystal Summoner,GrnBeret,,1250,823193
Brave Blade Brave Blade,Brave Blade,,15000,823193
Chicken Knife Chicken Knife,Broadsword,,140,823193
Tycoon Castle Cabin Cabin,Bronze Armor,,200,823193
Walse Tower Chest GoGo,Guard Ring,,15000,823193
Pyramid Top Pyramid Tablet,FrogSong->TinySong->MoonFlut,,0,823193
Toad Event Toad,Battle Axe,,325,823193
Aegis Shield Chest Aegis Shield,Haste->Exit->Hast2->Quick,,0,823193
Lone Wolf Barrel Cabin,Cursed Ring,,2500,823193
Lone Wolf Chest Thunder Whip,Flame Ring,,25000,823193
Moat Item Epee,Potion,,20,823193
Shop Backdoor Lamia Harp,Leather Armor,,40,823193
Top of the Falls Magic Lamp,White Robe,,4000,823193
Wind Shrine Chest Broadsword,Preemptive,,0,823193
Beginner's House Chest Ether,Mimic Job Crystal,,0,823193
Beginner's House Chest 100,Magic Lamp,,5000,823193
Beginner's House Chest Potion,Fire Bow,,1250,823193
Beginner's House Chest Phoenix Down,Lillith Rod,,1500,823193
Beginner's House Chest Tent,BlueMage Job Crystal,,0,823193
Beginner's House Chest Leather Shoes,Giant's Gloves,,2500,823193
Pirate's Cave Chest Leather Cap,RegalCut,,240,823193
Pirate's Cave Chest Tent,Water Scroll,,100,823193
Pirate's Cave Chest Ether,Bronze Shield,,145,823193
Pirate's Cave Chest 300,Ether,,750,823193
Wind Shrine Chest Tent,Chocob->Titan->Golem->Odin,,0,823193
Wind Shrine Chest Leather Cap,1000 gil,,1000,823193
Wind Shrine Chest Staff,Aero Blue Magic Progressive,,0,823193
Tule Barrel 150,BeastKiller,MIB,7500,823193
Tule Box Leather Shoes,Ogre Killer,,1600,823193
Tule Barrel Potion,Flash->Time Slip->DethClaw,,0,823193
Tule Box Tent,Dancer Job Crystal,,0,823193
Tule Bush Phoenix Down,Silver Armlet,,250,823193
Ship Graveyard Chest Flail,4400 gil,,4400,823193
Ship Graveyard Chest Phoenix Down,Chocob->Titan->Golem->Odin,,0,823193
Ship Graveyard Chest Tent,Mythril Sword,,440,823193
Ship Graveyard Box 990,300 gil,,300,823193
Ship Graveyard Chest Potion,Venom->Drain->Break Sword,,0,823193
Ship Graveyard Chest Antidote,Mythril Spear,,395,823193
Carwen Barrel Antidote,Silver Plate,,300,823193
Carwen Box Ice Rod,8000 gil,,8000,823193
Carwen Pot 1000,SwdSlap,,0,823193
