check,value
12 Kuzar Events Apollo's Harp,1
12 Kuzar Events Flame Whip,2
12 Kuzar Events Holy Lance,1
12 Kuzar Events Masamune,2
12 Kuzar Events Rune Axe,3
12 Kuzar Events Yoichi Bow,3
"5 potions in Wind Shrine, bottom left guy Potion",2
"8 potions, Pirate after Torna Canal Key acquired Potion",1
Ancient Library Chest Phoenix Down,3
Bahamut Bahmut,2
Bahamut New,4
Bal Castle Chest Angel Gwn,2
Bal Castle Chest Exit,2
Bal Castle Chest Hero Drink,2
Barrier Tower Chest 18000,3
Barrier Tower Chest Drain Sword,2
Barrier Tower Chest Gold Hairpin,5
Beginner's House Chest 100,4
Beginner's House Chest Leather Shoes,3
Beginner's House Chest Phoenix Down,3
Beginner's House Chest Potion,2
Black Choco Crystals Hunter,3
Brave Blade Brave Blade,3
Byblos New,4
Carbuncle Crbnkl,1
Carwen Barrel Antidote,3
Carwen Pot 1000,2
Chicken Knife Chicken Knife,1
CornaJar at Kelb CornaJar,3
Earth Crystal Chemist,1
Earth Crystal Dancer,2
Exdeath's Castle Chest Elixir,3
Exdeath's Castle Chest Gale Bow,2
Exdeath's Castle Chest Ice Shield,2
Exdeath's Castle Chest IceBrand,2
Exdeath's Castle Chest Pinwheel,2
Fire Crystal Geomancer,3
Fire Crystal Mediator,2
Fire Crystal Ninja,2
Flying Lonka Ruins Chest 5000,3
Flying Lonka Ruins Chest Cabin,3
Flying Lonka Ruins Chest Ether,2
Flying Lonka Ruins Chest Full Moon,2
Flying Lonka Ruins Chest Golden Shield,3
Flying Lonka Ruins Chest Power Wrist,3
Flying Lonka Ruins Chest Shuriken,2
Fork Tower L. Chest Wonder Wand,2
Fork Tower R. Chest Defender Sword,2
"Fork Tower, two Magics Holy",2
Galura New,4
Gilgamesh 1 New,4
Great Trench Chest Phoenix Down,2
Great Trench Chest Water Scroll,3
Hiryuu Valley Chest 5000,4
Hiryuu Valley Chest Air Blade,2
Hiryuu Valley Chest Coronet,3
HiryuuPlant New,4
Ifrit Ifrit,2
Istory Falls Chest 12000,3
Istory Falls Chest Aegis Shield,3
Istory Falls Chest Giant Drink,2
Istory Falls Chest Pinwheel,3
Istory Falls Chest TurtleShell,2
Istory Falls Chest Wall Ring,3
Karlabos New,4
Karnak Castle Chest 2000,4
Karnak Castle Chest Elf Cape,3
Karnak Castle Chest Elixir,4
Karnak Castle Chest Guardian,2
Karnak Castle Chest Gungnir,1
Karnak Castle Chest Ribbon,2
Karnak Castle Chest Shuriken,2
Karnak Castle Chest Thunder Scroll,3
Karnak Town Barrel Fire Rod,2
Leviathan Esper Levia,3
Lone Wolf Barrel Cabin,3
Lone Wolf Chest Thunder Whip,4
Love Song at Istory Love,3
Magic Song at Ancient Library Magic,2
Magisa & Forza Mythril Helm,2
Magisa & Forza New,4
Merugene New,4
Meteo Meteo,3
Minotauros New,4
Mirage Vest from Chocobo Tour/Mirage Village Mirage Vest,2
Moat Item Epee,1
Moogle Village Chest 1,2
Moogle Village Chest Phoenix Down,3
Mua Forest Chest 9500,1
Mua Forest Chest Cabin,4
Mua Forest Chest Elixir,2
Mua Forest Chest Ether,2
Mua Forest Chest Flametongue,0
Mua Forest Chest Giant Drink,3
Mua Forest Chest Morning Star,2
Mua Forest Chest Phoenix Down,3
Mua Forest Chest Soot,4
Odin New,4
Phoenix Phenix,1
Phoenix Tower Pot 10000,1
Phoenix Tower Pot 15000,1
Phoenix Tower Pot 20000,1
Phoenix Tower Pot 25000,1
Phoenix Tower Pot 5000,1
Phoenix Tower Pot Avis Killer,1
