boss,key,seed
LiquiFlame,2nd Tablet,823193
AdamanTiMi,Sandworm Bait,823193
Sol Cannon,Pyramid Page,823193
ArchaeAvis,3rd Tablet,823193
Chim.Brain,Steamship Key,823193
Titan,Bracelet,823193
Gilgamesh 2,Trench Page,823193
Tyrasaurus,Shrine Page,823193
Abductor,Canal Key,823193
Gilgamesh 3 & Enkidou,Walse Tower Key,823193
Atmos,Moogle Suit,823193
Guardians,Submarine Key,823193
Carbunkle,Ifrit's Fire,823193
Gilgamesh 4,Hiryuu Call,823193
Antlion,Adamantite,823193
Omniscient,Anti Barrier,823193
Leviathan,1st Tablet,823193
GoGo,Falls Page,823193
Ifrit,4th Tablet,823193
Crayclaw,Elder Branch,823193
