check,value
12 Kuzar Events Assassin,3.0
12 Kuzar Events Flame Whip,4.0
12 Kuzar Events Sasuke,1.0
"8 potions, Pirate after Torna Canal Key acquired Potion",2.0
Abductor New,4.0
AdamanTiMi New,4.0
Ancient Library Chest Phoenix Down,4.0
Antlion New,4.0
Atmos New,4.0
Bahamut New,4.0
Bal Castle Chest Exit,0.0
Barrier Tower Chest 18000,1.0
Barrier Tower Chest 9000,4.0
Barrier Tower Chest Drain Sword,1.0
Barrier Tower Chest Gold Hairpin,3.0
Beginner's House Chest 100,4.0
Beginner's House Chest Leather Shoes,2.0
Beginner's House Chest Phoenix Down,2.0
Beginner's House Chest Potion,3.0
Beginner's House Chest Tent,3.0
Black Choco Crystals Bard,3.0
Black Choco Crystals Hunter,2.0
Brave Blade Brave Blade,2.0
Byblos New,4.0
Carbuncle Crbnkl,2.0
Carwen Barrel Antidote,1.0
Carwen Box Ice Rod,2.0
Chicken Knife Chicken Knife,2.0
Crayclaw New,4.0
Earth Crystal Dragoon,2.0
Earth Crystal Samurai,4.0
Exdeath's Castle Chest Elixir,2.0
Exdeath's Castle Chest Gale Bow,2.0
Exdeath's Castle Chest Ice Shield,1.0
Exdeath's Castle Chest Partisan,2.0
Exdeath's Castle Chest Pinwheel,3.0
Fire Crystal Geomancer,3.0
Flying Lonka Ruins Chest Ancient Sword,2.0
Flying Lonka Ruins Chest Cabin,4.0
Flying Lonka Ruins Chest Ether,4.0
Flying Lonka Ruins Chest Full Moon,4.0
Flying Lonka Ruins Chest Golden Armor,4.0
Flying Lonka Ruins Chest Hi-Potion,2.0
Flying Lonka Ruins Chest Phoenix Down,4.0
Flying Lonka Ruins Chest Shuriken,2.0
Fork Tower L. Chest Ether,3.0
Fork Tower L. Chest Wonder Wand,1.0
"Fork Tower, two Magics Flare",3.0
"Fork Tower, two Magics Holy",2.0
Galura New,4.0
Gilgamesh 4 New,4.0
Great Trench Chest Ether,3.0
Great Trench Chest Flame Ring,2.0
Hiryuu Valley Chest 5000,2.0
Hiryuu Valley Chest 7000,3.0
Hiryuu Valley Chest Phoenix Down,2.0
HiryuuPlant New,4.0
Ifrit Ifrit,4.0
Istory Falls Chest Aegis Shield,3.0
Istory Falls Chest Enhancer,2.0
Istory Falls Chest Phoenix Down,4.0
Istory Falls Chest Pinwheel,3.0
