boss,key,seed
Magisa & Forza,Steamship Key,4215182
LiquiFlame,Falls Page,4215182
Sergeant & DeathClaw,Trench Page,4215182
Sandworm,3rd Tablet,4215182
ArchaeAvis,Walse Tower Key,4215182
Chim.Brain,2nd Tablet,4215182
Puroboros,Elder Branch,4215182
Gilgamesh 1,Ifrit's Fire,4215182
Gilgamesh 2,Bracelet,4215182
Tyrasaurus,Submarine Key,4215182
Gilgamesh 3 & Enkidou,Shrine Page,4215182
Guardians,1st Tablet,4215182
Carbunkle,Pyramid Page,4215182
Omniscient,Canal Key,4215182
Minotauros,Anti Barrier,4215182
Leviathan,Hiryuu Call,4215182
Stalker,Big Bridge Key,4215182
GoGo,4th Tablet,4215182
Ifrit,Moogle Suit,4215182
Shiva,Adamantite,4215182
