boss,key,seed
Byblos,Shrine Page,4584465
WingRaptor,Sandworm Bait,4584465
Karlabos,Pyramid Page,4584465
LiquiFlame,Anti Barrier,4584465
Sergeant & DeathClaw,2nd Tablet,4584465
Sol Cannon,Canal Key,4584465
Chim.Brain,Hiryuu Call,4584465
Titan,Ifrit's Fire,4584465
HiryuuPlant,Elder Branch,4584465
Gilgamesh 3 & Enkidou,Falls Page,4584465
Guardians,Submarine Key,4584465
Carbunkle,Big Bridge Key,4584465
Gilgamesh 4,Moogle Suit,4584465
Antlion,Adamantite,4584465
Merugene,Steamship Key,4584465
Odin,Trench Page,4584465
Omniscient,Bracelet,4584465
Minotauros,4th Tablet,4584465
GoGo,Walse Tower Key,4584465
Bahamut,3rd Tablet,4584465
