check,value
12 Kuzar Events Apollo's Harp,1
12 Kuzar Events Assassin,2
12 Kuzar Events Earth Bell,2
12 Kuzar Events Masamune,2
12 Kuzar Events Sasuke,3
12 Kuzar Events Yoichi Bow,3
"5 potions in Wind Shrine, bottom left guy Potion",3
"8 potions, Pirate after Torna Canal Key acquired Potion",3
Ancient Library Chest Ether,2
Ancient Library Chest Stealth Suit,2
ArchaeAvis New,4
Bal Castle Chest Exit,2
Barrier Tower Chest 18000,3
Barrier Tower Chest Drain Sword,2
Barrier Tower Chest Gold Hairpin,3
Beginner's House Chest Leather Shoes,1
Beginner's House Chest Phoenix Down,3
Beginner's House Chest Potion,2
Beginner's House Chest Tent,2
Black Choco Crystals Hunter,2
Brave Blade Brave Blade,2
Carbuncle Crbnkl,3
Carwen Barrel Antidote,1
Chancellor at Tycoon Healing Staff,2
Chim.Brain New,4
CornaJar at Kelb CornaJar,2
Earth Crystal Chemist,1
Earth Crystal Dancer,1
Exdeath's Castle Chest 8000,3
Exdeath's Castle Chest 9900,2
Exdeath's Castle Chest Diamond Shield,3
Exdeath's Castle Chest IceBrand,2
Exdeath's Castle Chest Pinwheel,3
Fire Crystal Geomancer,3
Fire Crystal Mediator,2
Fire Crystal Ninja,2
Flying Lonka Ruins Chest 5000,2
Flying Lonka Ruins Chest Full Moon,2
Flying Lonka Ruins Chest Golden Shield,3
Flying Lonka Ruins Chest Phoenix Down,1
Flying Lonka Ruins Chest Power Wrist,1
Flying Lonka Ruins Chest Shuriken,3
Fork Tower L. Chest Ether,2
Fork Tower R. Chest Defender Sword,2
Fork Tower R. Chest Hi-Potion,4
"Fork Tower, two Magics Holy",2
Galura New,4
Gilgamesh 2 New,4
GoGo New,4
Great Trench Chest DragonFang,3
Great Trench Chest Kaiser Knuckles,2
Great Trench Chest Phoenix Down,3
Great Trench Chest Water Scroll,2
Hero Song from Crescent Town Hero,3
Hiryuu Valley Chest 5000,3
Hiryuu Valley Chest 7000,3
Ifrit Ifrit,2
Ifrit New,4
Istory Falls Chest 12000,1
Istory Falls Chest Air Lance,3
Istory Falls Chest Enhancer,1
