boss,key,seed
Byblos,2nd Tablet,7691650
Karlabos,Walse Tower Key,7691650
LiquiFlame,Ifrit's Fire,7691650
AdamanTiMi,Sandworm Bait,7691650
Sol Cannon,Trench Page,7691650
Titan,Steamship Key,7691650
Gilgamesh 1,Bracelet,7691650
Abductor,4th Tablet,7691650
HiryuuPlant,Anti Barrier,7691650
Gilgamesh 3 & Enkidou,Falls Page,7691650
Atmos,3rd Tablet,7691650
Guardians,1st Tablet,7691650
Carbunkle,Pyramid Page,7691650
Gilgamesh 4,Elder Branch,7691650
Antlion,Big Bridge Key,7691650
Merugene,Shrine Page,7691650
Odin,Moogle Suit,7691650
Stalker,Submarine Key,7691650
Bahamut,Hiryuu Call,7691650
Crayclaw,Adamantite,7691650
