check,value
12 Kuzar Events Apollo's Harp,2.0
12 Kuzar Events Assassin,4.0
12 Kuzar Events Earth Bell,2.0
12 Kuzar Events Excalibur,2.0
12 Kuzar Events Flame Whip,2.5
12 Kuzar Events Holy Lance,1.5
12 Kuzar Events Masamune,3.0
12 Kuzar Events Rune Axe,3.0
12 Kuzar Events Sage's Staff,2.0
12 Kuzar Events Sasuke,3.5
12 Kuzar Events Wizard Rod,3.0
12 Kuzar Events Yoichi Bow,3.0
"5 potions in Wind Shrine, bottom left guy Potion",1.5
"8 potions, Pirate after Torna Canal Key acquired Potion",1.3333333333333333
Abductor New,4.0
Aegis Shield Chest Aegis Shield,3.0
Ancient Library Chest Ether,4.0
Ancient Library Chest Phoenix Down,1.0
ArchaeAvis New,4.0
Bahamut Bahmut,3.5
Bahamut New,4.0
Bal Castle Chest Angel Gwn,3.0
Bal Castle Chest Exit,0.5
Bal Castle Chest Hero Drink,2.0
Barrier Tower Chest 18000,3.0
Barrier Tower Chest 9000,2.6666666666666665
Barrier Tower Chest Drain Sword,2.3333333333333335
Barrier Tower Chest Gold Hairpin,3.6666666666666665
Beginner's House Chest 100,2.0
Beginner's House Chest Ether,3.0
Beginner's House Chest Leather Shoes,2.6666666666666665
Beginner's House Chest Phoenix Down,1.0
Beginner's House Chest Potion,2.25
Black Choco Crystals Bard,2.6666666666666665
Black Choco Crystals Hunter,3.3333333333333335
Brave Blade Brave Blade,3.0
Byblos New,4.0
Carbuncle Crbnkl,1.0
Carbunkle New,4.0
Carwen Barrel Antidote,1.0
Carwen Pot 1000,4.0
Chancellor at Tycoon Healing Staff,2.0
Chicken Knife Chicken Knife,3.0
CornaJar at Kelb CornaJar,2.3333333333333335
Crayclaw New,4.0
Earth Crystal Chemist,2.5
Earth Crystal Dancer,1.0
Earth Crystal Dragoon,3.0
Earth Crystal Samurai,2.0
Exdeath's Castle Chest 9900,1.5
Exdeath's Castle Chest DblLance,2.5
Exdeath's Castle Chest Diamond Shield,1.5
Exdeath's Castle Chest Elixir,2.6666666666666665
Exdeath's Castle Chest Ether,3.0
Exdeath's Castle Chest Gale Bow,2.3333333333333335
Exdeath's Castle Chest Ice Shield,1.5
Exdeath's Castle Chest IceBrand,1.0
Exdeath's Castle Chest Kotetsu,3.0
Exdeath's Castle Chest Partisan,1.5
Exdeath's Castle Chest Pinwheel,3.5
Fire Crystal Geomancer,3.3333333333333335
Fire Crystal Mediator,2.5
Fire Crystal Ninja,3.0
Flying Lonka Ruins Chest 5000,0.0
Flying Lonka Ruins Chest Ancient Sword,3.0
Flying Lonka Ruins Chest Cabin,2.5
Flying Lonka Ruins Chest Elixir,2.0
Flying Lonka Ruins Chest Ether,3.0
Flying Lonka Ruins Chest Golden Shield,1.6666666666666667
Flying Lonka Ruins Chest Hi-Potion,3.0
Flying Lonka Ruins Chest Phoenix Down,2.0
Flying Lonka Ruins Chest Power Wrist,2.3333333333333335
Flying Lonka Ruins Chest Shuriken,2.0
Fork Tower L. Chest Ether,1.0
Fork Tower L. Chest Wonder Wand,3.0
Fork Tower R. Chest Defender Sword,3.3333333333333335
Fork Tower R. Chest Hi-Potion,2.0
"Fork Tower, two Magics Flare",2.0
"Fork Tower, two Magics Holy",2.25
Galura New,4.0
Gilgamesh 1 New,4.0
Gilgamesh 2 New,4.0
Gilgamesh 3 & Enkidou New,4.0
Gilgamesh 4 New,4.0
GoGo New,4.0
Great Trench Chest DragonFang,4.0
Great Trench Chest Ether,3.0
Great Trench Chest Flame Ring,2.0
Great Trench Chest Kaiser Knuckles,2.5
Great Trench Chest Phoenix Down,2.0
Great Trench Chest Water Scroll,1.5
Guardians New,4.0
Hero Song from Crescent Town Hero,1.0
Hiryuu Valley Chest 5000,1.0
Hiryuu Valley Chest 7000,2.0
Hiryuu Valley Chest Cabin,2.0
Hiryuu Valley Chest Coronet,0.0
Hiryuu Valley Skull Bone Mail,3.0
HiryuuPlant New,4.0
Ifrit Ifrit,2.0
Ifrit New,4.0
Istory Falls Chest 12000,2.6666666666666665
Istory Falls Chest Aegis Shield,3.5
Istory Falls Chest Air Lance,1.6666666666666667
Istory Falls Chest Artemis Bow,2.0
Istory Falls Chest Enhancer,2.3333333333333335
Istory Falls Chest Ether,3.0
Istory Falls Chest Giant Drink,3.0
Istory Falls Chest Giant's Axe,2.0
Istory Falls Chest Guard Ring,2.0
Istory Falls Chest Phoenix Down,2.0
Istory Falls Chest Pinwheel,2.6666666666666665
Istory Falls Chest RuneEdge,4.0
Istory Falls Chest TurtleShell,2.0
Istory Falls Chest Wall Ring,3.0
Jacole Cave Chest Tent,2.0
Karlabos New,4.0
Karnak Castle Chest 2000,3.0
Karnak Castle Chest Elf Cape,3.3333333333333335
Karnak Castle Chest Elixir,2.3333333333333335
Karnak Castle Chest Guardian,1.6666666666666667
Karnak Castle Chest Gungnir,2.3333333333333335
Karnak Castle Chest Ribbon,2.6666666666666665
Karnak Castle Chest Shuriken,2.6666666666666665
Karnak Castle Chest Thunder Scroll,2.0
Karnak Town Barrel Fire Rod,2.0
Leviathan Esper Levia,2.0
Leviathan New,4.0
Life (or Strength) Song from Crescent Town bard Vitality,2.5
LiquiFlame New,4.0
Lone Wolf Barrel Cabin,2.0
Lone Wolf Chest Thunder Whip,2.5
Love Song at Istory Love,2.5
Magic Song at Ancient Library Magic,2.5
Magisa & Forza New,4.0
Merugene New,4.0
Meteo Meteo,2.5
Minotauros New,4.0
Mirage Vest from Chocobo Tour/Mirage Village Mirage Vest,1.0
Moat Item Epee,3.5
Moogle Cave Chest 4400,3.0
Moogle Cave Chest Phoenix Down,4.0
Moogle Village Chest 1,2.5
Moogle Village Chest 10000,2.0
Moogle Village Chest Cabin,1.5
Moogle Village Chest Dancing Dagger,3.0
Moogle Village Chest Elf Cape,5.0
Moogle Village Chest Ether,2.0
Moogle Village Chest Phoenix Down,3.0
Mua Forest Chest 2500,2.5
Mua Forest Chest 4900,2.0
Mua Forest Chest 9500,3.0
Mua Forest Chest Cabin,1.0
Mua Forest Chest Elixir,1.0
Mua Forest Chest Flametongue,2.0
Mua Forest Chest Giant Drink,2.3333333333333335
Mua Forest Chest Morning Star,2.0
Mua Forest Chest Phoenix Down,2.0
Mua Forest Chest Soot,3.0
Mua Town Barrel Guardian,3.0
North Mountain Chest Soft,3.0
Odin New,4.0
Odin Odin,2.3333333333333335
Omniscient New,4.0
Phoenix Phenix,1.0
Phoenix Tower Pot 10000,1.0
Phoenix Tower Pot 15000,1.6666666666666667
Phoenix Tower Pot 20000,1.0
Phoenix Tower Pot 25000,2.0
Phoenix Tower Pot 5000,1.0
Phoenix Tower Pot Avis Killer,1.3333333333333333
Phoenix Tower Pot Phoenix Down,1.3333333333333333
Pirate's Cave Chest 300,1.6666666666666667
Pirate's Cave Chest Ether,1.3333333333333333
Pirate's Cave Chest Leather Cap,1.0
Pirate's Cave Chest Tent,1.0
Power Song from Crescent Town Power,3.0
Puroboros New,4.0
Pyramid Chest 10000,2.3333333333333335
Pyramid Chest 12000,2.6666666666666665
Pyramid Chest 8000,1.3333333333333333
Pyramid Chest 9000,2.0
Pyramid Chest Black Robe,3.0
Pyramid Chest Cabin,3.3333333333333335
Pyramid Chest Crystal Armor,3.3333333333333335
Pyramid Chest Cursed Ring,3.0
Pyramid Chest DarkMatter,3.6666666666666665
Pyramid Chest DarkSuit,3.3333333333333335
Pyramid Chest Earth Hammer,1.6666666666666667
Pyramid Chest Elixir,1.6666666666666667
Pyramid Chest Flame Shield,1.3333333333333333
Pyramid Chest Gold Hairpin,4.0
Pyramid Chest Guard Ring,3.0
Pyramid Chest Ice Shield,2.0
Pyramid Chest Ribbon,3.0
Pyramid Chest Thornlet,2.0
Pyramid Chest White Robe,3.0
Pyramid Top Pyramid Tablet,2.0
Requiem Song at Kelb Requiem,2.3333333333333335
Ribbon from girl in Rugor Ribbon,2.3333333333333335
Rift (Castle) Chest ManEater,3.0
Rift (Castle) Chest Rainbow Dress,2.0
Rift (Castle) Chest Red Shoes,2.0
Rift (Castle) Chest Running Shoes,3.0
Rift (Castle) Chest Thor Hammer,1.0
Rift (Cave) Chest Angel Ring,1.0
Rift (Cave) Chest Coral Ring,1.0
Rift (Forest) Chest DragonFang,3.0
Rift (Forest) Chest Enhancer,3.0
Rift (Forest) Chest Lillith Rod,2.0
Rift (Forest) Chest Ribbon,2.5
Rift (Ruins) Chest Cabin,2.0
Rift (Ruins) Chest DarkMatter,1.0
Rift (Ruins) Chest Drain Sword,1.5
Rift (Ruins) Chest Elixir,3.5
Rift (Ruins) Chest Ether,2.0
Ruined City Chest Shuriken,1.0
Ruined City Chest Size,2.0
Sandworm New,4.0
Sergeant & DeathClaw New,4.0
Ship Graveyard Box 990,3.0
Ship Graveyard Chest Antidote,2.0
Ship Graveyard Chest Flail,2.0
Ship Graveyard Chest Phoenix Down,5.0
Ship Graveyard Chest Potion,3.0
Ship Graveyard Chest Tent,3.0
Shiva New,4.0
Shiva Shiva,2.5
Shop Backdoor Lamia Harp,1.5
Siren New,4.0
Solitary Island Chest 12000,3.3333333333333335
Solitary Island Chest 9000,2.0
Solitary Island Chest BeastKiller,2.0
Solitary Island Chest Crystal Helm,3.3333333333333335
Solitary Island Chest DarkMatter,2.0
Solitary Island Chest DragonFang,2.0
Solitary Island Chest Elixir,2.5
Solitary Island Chest Ether,2.3333333333333335
Solitary Island Chest Guard Ring,2.0
Solitary Island Chest Hi-Potion,0.0
Solitary Island Chest Protect Drink,3.0
Solitary Island Chest RisingSun,3.3333333333333335
Speed Song at Surgate Speed,1.5
Stalker New,4.0
Steamship Chest Cabin,2.0
Steamship Chest Elixir,2.5
Steamship Chest GrnBeret,2.5
Steamship Chest Mythril Glove,2.0
Steamship Chest Thief's Glove,3.0
Surgate Castle Chest Float,3.0
Syldra Syldra,1.3333333333333333
Temptation Song at Lix Charm,3.0
The Void Chest Elixir,2.5
The Void Chest Pinwheel,2.0
The Void Chest Ragnarok,2.3333333333333335
Titan New,4.0
Titan Titan,2.0
Toad Event Toad,3.0
"Triton, Neregeid & Phobos New",4.0
Tule Barrel 150,3.0
Tule Barrel Potion,3.0
Tule Box Tent,3.0
Tule Bush Phoenix Down,2.3333333333333335
Tycoon Castle Barrel Cabin,2.0
Tycoon Castle Barrel Elixir,2.0
Tycoon Castle Barrel Phoenix Down,2.75
Tycoon Castle Cabin Cabin,2.5
Tycoon Castle Chest Giyaman,1.0
Tycoon Castle Chest Katana,0.0
Tycoon Castle Chest Shuriken,3.0
Tycoon Castle Pot Elixir,2.0
Tycoon Castle Pot Ether,3.5
Tycoon Castle Pot Hi-Potion,2.0
Tycoon Castle Pot Phoenix Down,2.5
Tycoon Meteor Chest Phoenix Down,2.0
Tyrasaurus New,4.0
Walse Castle Barrel Phoenix Down,2.5
Walse Castle Barrel Tent,2.0
Walse Castle Box 490,2.3333333333333335
Walse Castle Chest Elf Cape,3.0
Walse Castle Pot 1000,2.0
Walse Castle Pot Drag,2.0
Walse Tower Chest Ether,1.0
Walse Tower Chest GoGo,1.6666666666666667
Walse Tower Chest Maiden's Kiss,2.0
Walse Tower Chest Silk robe,3.5
Walse Tower Chest Silver Armlet,2.0
Walse Town Pot Glasses,2.5
Water Crystal Berserker,3.0
Water Crystal MysticKnight,3.0
Water Crystal Samurai,2.0
Water Crystal Summoner,2.0
Water Crystal TimeMage,4.0
Wind Crystal BlueMage,1.0
Wind Crystal Knight,1.0
Wind Crystal Monk,2.0
Wind Crystal Thief,2.0
Wind Crystal WhiteMage,1.0
Wind Shrine Chest Broadsword,2.3333333333333335
Wind Shrine Chest Staff,2.5
Wind Shrine Chest Tent,1.0
