crystal,seed
Berserker,6115178
Monk,6115178
MysticKnight,6115178
Dragoon,6115178
Mediator,6115178
BlueMage,6115178
Knight,6115178
Samurai,6115178
Freelancer,6115178
RedMage,6115178
Summoner,6115178
WhiteMage,6115178
Hunter,6115178
BlackMage,6115178
Mimic,6115178
Dancer,6115178
TimeMage,6115178
RedMage,9968623
BlackMage,9968623
Geomancer,9968623
Hunter,9968623
Samurai,9968623
Dragoon,9968623
Berserker,9968623
Bard,9968623
MysticKnight,9968623
WhiteMage,9968623
Summoner,2781101
Samurai,2781101
Monk,2781101
Thief,2781101
TimeMage,2781101
Chemist,2781101
