check,reward,mib,seed
Wind Crystal Knight,Staff,,6115178
Wind Crystal BlueMage,Haste->Exit->Hast2->Quick,,6115178
Wind Crystal BlackMage,Ice Black Magic Progressive,,6115178
Wind Crystal WhiteMage,Cursed Shield,,6115178
Wind Crystal Monk,Sleep->Bio->Flare Sword,,6115178
Wind Crystal Thief,Mythril Hammer,,6115178
Fire Crystal Mediator,IceBrand,,6115178
Fire Crystal Geomancer,Angel Ring,,6115178
Fire Crystal Ninja,Earth Hammer,,6115178
Black Choco Crystals Bard,DiamndPlt,,6115178
Black Choco Crystals Hunter,Magic Lamp,,6115178
Earth Crystal Samurai,Tiger Mask,,6115178
Earth Crystal Dragoon,Kaiser Knuckles,,6115178
Earth Crystal Chemist,HP +X%,,6115178
Earth Crystal Dancer,Armor->Shell->Wall->Dispel,,6115178
Leviathan Esper Levia,Thunder Rod,,6115178
Titan Titan,Power Drink,,6115178
Carbuncle Crbnkl,White Ability Progressive,,6115178
Syldra Syldra,Plumed Hat,,6115178
Odin Odin,Thornlet,,6115178
Phoenix Phenix,HP +X%,,6115178
Bahamut Bahmut,Running Shoes,,6115178
Life (or Strength) Song from Crescent Town bard Vitality,Potion,,6115178
Temptation Song at Lix Charm,Sylph->Crbnkl->Phenix->Syldra,,6115178
Love Song at Istory Love,Wall Ring,,6115178
Requiem Song at Kelb Requiem,Eyedrop,,6115178
Speed Song at Surgate Speed,Soft,,6115178
Magic Song at Ancient Library Magic,Thunder Bow,,6115178
Power Song from Crescent Town Power,Angel Gwn,,6115178
Hero Song from Crescent Town Hero,Thunder Scroll,,6115178
"Fork Tower, two Magics Holy",Fire Bow,,6115178
"Fork Tower, two Magics Flare",TurtleShell,,6115178
Meteo Meteo,DblLance,,6115178
"5 potions in Wind Shrine, bottom left guy Potion",Phoenix Down,,6115178
"8 potions, Pirate after Torna Canal Key acquired Potion",Flame Scroll,,6115178
Chancellor at Tycoon Healing Staff,Healing Staff,,6115178
Magisa & Forza Mythril Helm,Dancer Job Crystal,,6115178
CornaJar at Kelb CornaJar,Dream Harp,,6115178
Ribbon from girl in Rugor Ribbon,Ice Bow,,6115178
Mirage Vest from Chocobo Tour/Mirage Village Mirage Vest,Ninja Job Crystal,,6115178
12 Kuzar Events Assassin,DblLance,,6115178
12 Kuzar Events Apollo's Harp,Cursed Shield,,6115178
12 Kuzar Events Excalibur,Morning Star,,6115178
12 Kuzar Events Flame Whip,RuneEdge,,6115178
12 Kuzar Events Earth Bell,Venom->Drain->Break Sword,,6115178
12 Kuzar Events Holy Lance,GbnPnch->Emision->Missle->Blwfsh,,6115178
12 Kuzar Events Masamune,White Ability Progressive,,6115178
12 Kuzar Events Wizard Rod,Condemn->Roulette->AquaRake,,6115178
12 Kuzar Events Rune Axe,Venom->Drain->Break Sword,,6115178
12 Kuzar Events Sage's Staff,SwdSlap,,6115178
12 Kuzar Events Sasuke,Scan->Charm->Holy,,6115178
12 Kuzar Events Yoichi Bow,Dragon's Whisker,,6115178
Shiva Shiva,Sleep->Bio->Flare Sword,,6115178
Ifrit Ifrit,Void->Demi->Qrter->Old,,6115178
Water Crystal Samurai,Elixir,,6115178
Water Crystal Berserker,Power->Vitality Song,,6115178
Water Crystal MysticKnight,Cure White Magic Progressive,,6115178
Water Crystal TimeMage,Chocob->Titan->Golem->Odin,,6115178
Water Crystal Summoner,Fire Sword Magic Progressive,,6115178
Brave Blade Brave Blade,GbnPnch->Emision->Missle->Blwfsh,,6115178
Chicken Knife Chicken Knife,Chicken Knife,,6115178
Tycoon Castle Cabin Cabin,Ancient Sword,,6115178
Walse Tower Chest GoGo,RegalCut,,6115178
Pyramid Top Pyramid Tablet,Charm->Hero@Song,,6115178
Toad Event Toad,Guardian,,6115178
Aegis Shield Chest Aegis Shield,Assassin,,6115178
Lone Wolf Barrel Cabin,Dimen Ability Progressive,,6115178
Lone Wolf Chest Thunder Whip,GuardOff->Hammer->MghtyGrd,,6115178
Moat Item Epee,Bolt Black Magic Progressive,,6115178
Shop Backdoor Lamia Harp,DmgFloor,,6115178
Top of the Falls Magic Lamp,Animals->Aim->X-Fight,,6115178
Wind Shrine Chest Broadsword,Angel Gwn,,6115178
Beginner's House Chest Ether,L4Qrter->L3Flare->L2Old->L5Doom,,6115178
Beginner's House Chest 100,Brawl,,6115178
Beginner's House Chest Potion,Genji Gloves,MIB,6115178
Beginner's House Chest Phoenix Down,Darkness Bow,,6115178
Beginner's House Chest Tent,Vampire->MindBlst->WhiteWind,,6115178
Beginner's House Chest Leather Shoes,Kotetsu,,6115178
Pirate's Cave Chest Leather Cap,Water Scroll,,6115178
Pirate's Cave Chest Tent,Ether,,6115178
Pirate's Cave Chest Ether,Leather Armor,,6115178
Pirate's Cave Chest 300,HiPotion,,6115178
Wind Shrine Chest Tent,Animals->Aim->X-Fight,,6115178
Wind Shrine Chest Leather Cap,5000 gil,,6115178
Wind Shrine Chest Staff,Rainbow Dress,,6115178
Tule Barrel 150,Sleep->Psych->Doom,,6115178
Tule Box Leather Shoes,Life->Life2,,6115178
Tule Barrel Potion,DblLance,,6115178
Tule Box Tent,Regen->Float->Reset->Xzone,,6115178
